AAPL
AMAT
AMD
AMKR
AMZN
ASML
AVGO
BBAI
CLS
COST
CRWV
DELL
GDXJ
GFS
GOOGL
INTC
IREN
KLAC
LRCX
META
MRVL
MRVL
MSFT
MU
NBIS
NFLX
NVDA
NVTS
ORCL
PLTR
QQQ
SILJ
SMCI
SMH
SOXL
SOXS
SPXL
SPY
STX
TSLA
TSM
VRT
