ticker,profit_factor,num_trades,ticker_score,total_return,gross_profit,gross_loss,maxdd
AMAT,37.50107454960707,10,0.4432170033147144,1.006750867257261,0.7849324937919441,0.02093093339908492,-0.022692200535853746
EGO,12.116680951288243,9,0.4301872609190737,1.0606687950099922,0.9635829214223368,0.07952531929297757,-0.06117563988889796
NEM,15.343589266985644,8,0.41563023513756203,1.1336278756867308,0.9178651898976936,0.059820761226490694,-0.062345592185358734
NVDA,6.707547095756753,10,0.41100794100006394,0.6589402456357578,0.7671259602559165,0.11436758464822505,-0.09614546270066426
TEVA,9.722681555110025,8,0.4046950304690735,0.9093538607463116,0.8813258537618498,0.09064637659542027,-0.04704577767151907
SIMO,6.457078155232863,8,0.39345996507513376,0.7857422144959776,0.8410188546028898,0.13024758790031402,-0.1053225025660719
PTGX,6.528497358817657,8,0.3910667627261399,0.7587210740052803,0.7870602016017346,0.12055763498758236,-0.06676932767099786
BLOK,6.620745614059615,9,0.3825289425329289,0.5611513222406042,0.6261681656283312,0.09457668397629104,-0.08632866261808214
BLTE,7.759204996317598,8,0.3795355788707473,0.6454839703103521,0.7473392144604121,0.09631646732043915,-0.09671207913750979
INCY,6.975564691946983,10,0.37892960414124377,0.4628174793285007,0.49401632469423856,0.07082097959245667,-0.07141164432976832
MLI,11.035559074222947,8,0.3773091599631575,0.6220223706003205,0.5967660224679459,0.054076646090534954,-0.055778286734669225
HCA,5.742883132507502,11,0.3723629665731567,0.3929386344881134,0.43560615434122213,0.07585147464963725,-0.039888171944599926
AEM,4.621404919511421,10,0.37035662368558797,0.472576403144354,0.5778813392247865,0.12504451552924745,-0.09171340536130757
ARKW,5.9828466726443486,8,0.36298932916815657,0.5413497618106533,0.6701468867982435,0.11201137576571829,-0.07947018587315957
ARKK,8.192932480431981,8,0.35873566954190067,0.5037790059887541,0.5889868210083934,0.07188962223417938,-0.03035548398437249
REMX,3.6760930689114413,10,0.35024161917799207,0.5264873555694369,0.6782775377222905,0.1845104367619128,-0.14298627632117777
AIQ,45.567900616331784,8,0.34447418159961213,0.42405431240659386,0.4007715174944419,0.008795040194386379,-0.009314247945461762
PALL,3.471252411353586,14,0.33744285023153303,0.38611381613287765,0.5182549013021689,0.14929911164255547,-0.07125847907863525
EIS,42.31378539634458,8,0.33395838910818626,0.373994876621494,0.35142242695392933,0.008305152178237596,-0.01008913208808726
IBM,6.6923330663700735,9,0.332466018043574,0.3147608770485808,0.35272328093406113,0.05270557777623858,-0.03471242045154721
M,3.7158671669692547,9,0.3238591983384938,0.4345620064515965,0.5956372485558538,0.1602956246258041,-0.09428041560484002
GLD,6.803440198967386,8,0.3139494569764274,0.2935551732616022,0.3403039837293696,0.05001939809524898,-0.046418923835462755
BABA,4.511882474022929,8,0.3071143535958945,0.3084937075209102,0.4135700589696248,0.09166241836988129,-0.06815101080269748
FDX,4.193861006115835,8,0.2995849704673469,0.30219466257713834,0.4113782000809222,0.09809056606335224,-0.09689617530476258
AXP,5.213441221738071,8,0.2965793322398077,0.23962976124476532,0.29535892349059917,0.05665335254170788,-0.029078531788733986
ASML,3.559582233165217,8,0.2955406621284502,0.3989974117794053,0.5327429133243151,0.14966444892343297,-0.08598554462018893
BFH,3.583209053557956,8,0.2718762843346842,0.2761955124165738,0.37735225244340725,0.10531125781475531,-0.05888854075063954
ACWX,6.045071120698168,8,0.26533541345951966,0.1198743743043118,0.15140039318586207,0.025045262522631208,-0.026799128309564324
JNJ,3.32120269722094,10,0.2432199950122506,0.13306301544353927,0.21082384394793782,0.06347816233087714,-0.05096620385911643
DINO,2.8708033931289365,8,0.23361299085628714,0.3721585400902787,0.6634633212613902,0.2311071955848117,-0.1573801934687541
FDN,3.0335315474352025,10,0.22461479443470553,0.14231501484954734,0.24338109747584047,0.08023028396774541,-0.061055350671250785
TAN,3.03356194284194,9,0.22260232438589786,0.17269562420265738,0.2773062263912657,0.09141274568188845,-0.08240431327773956
AMG,2.6994800052914476,8,0.21903572048574488,0.41400888549277814,0.7200249356307749,0.2667272712594283,-0.21970634871744688
MAR,2.79483627242301,10,0.20202209168960275,0.1401461287679222,0.2384113071146511,0.08530421243887684,-0.09000739238536559
PLAB,2.4283346410011575,11,0.19015460468433304,0.2765405124576099,0.5688829185677691,0.23426874902761718,-0.1557434826903067
SNOW,2.6329485042559515,8,0.1901022200266781,0.2711349666401863,0.5119932769041766,0.19445624404601164,-0.10519458595479902
bidu,2.2592766047048904,13,0.18171627016131228,0.331000886559655,0.7061328382828203,0.312548200964997,-0.15163110715775707
AER,2.718717744974396,8,0.1810082428146104,0.16302270842211897,0.2769025431342085,0.10185041961272677,-0.0903556178725573
CRS,2.4433966383144052,10,0.17531265398210183,0.21366466333082257,0.4638311592844153,0.18983048106524064,-0.12597250095020907
TARS,2.432855623965615,8,0.16700147754835082,0.2854592812654948,0.5196603946585447,0.2136010002153294,-0.14973966868184607
ANDE,2.505251097299035,8,0.16560309126001074,0.21290152602012746,0.4440236220165861,0.1772371729505667,-0.13199304813709356
BLD,2.296778460726662,10,0.1568710698765326,0.21948374705277884,0.4786100763243609,0.20838321349153405,-0.08506658206619966
LMT,2.3245124724151247,10,0.15496223214077998,0.18244348734159987,0.37332723649892596,0.1606045314573193,-0.1297658313137936
NDAQ,2.318404766469663,9,0.14944837397459307,0.20166624934985244,0.414503435718267,0.17878820890687247,-0.11229419961765352
GM,2.192786440428336,9,0.12673148398095518,0.1513079504020427,0.30583372571082734,0.13947264543057197,-0.13833395842349405
