ticker,profit_factor,num_trades,ticker_score,total_return,gross_profit,gross_loss,maxdd
ATI,68.49210821208092,4,0.9584543347974293,0.9375381935894223,0.8094254915801953,0.011817792045090321,-0.014770135091092595
APH,33.46249673114023,4,0.9583971950116114,0.9227806278956681,0.8671972759469765,0.025915498264059953,-0.028120896392869077
DLTR,241.7189680828479,4,0.9580986680865953,0.8655662555130998,0.7610948517810655,0.0031486765718783155,-0.006135644029951481
XSD,25.38920556401413,4,0.9576922240649212,0.8150491849915549,0.8153516312559659,0.03211410570528524,-0.03385525520731336
XME,47.30052876835482,4,0.9566351560299008,0.7375807960775567,0.6553997026200798,0.013856075601813522,-0.015630069843299288
CMI,inf,4,0.9560511277738798,0.7093454663944134,0.6044134843075977,0.0,-0.000600000000000156
STX,140.55418087014812,5,0.9525738595183959,2.7751033447168836,2.003173330243376,0.014251965454474958,-0.016025247521701314
XLK,inf,5,0.9524709606667777,1.121864707271552,0.8978633633442968,0.0,-0.000600000000000156
BLTE,10.922407542499693,5,0.9524301331892944,1.0801545783529862,1.3813571961222968,0.1264700287685988,-0.1259591699244026
RVMD,11.861841436786436,5,0.9522443683314598,0.9766806656250162,1.20692803363927,0.10174879170921089,-0.10379162532313924
NVT,18.575452301285466,5,0.9520699303895901,0.9237529920647527,0.9604725151146937,0.05170654795028742,-0.05341245221188018
SIMO,14.89954702050558,5,0.9519662694975394,0.9004696856758256,0.8081302014988287,0.05423857519873828,-0.05634839496437338
CAT,25.136655253981193,5,0.9518253170037029,0.8745191344879375,0.7579170752811729,0.030151866571871473,-0.031896545985545366
NGL,11.39676320330478,5,0.9513549614266289,0.8139547591396734,0.8256130978922621,0.07244277021153293,-0.07309899734342873
GS,44.4776668770927,4,0.950900301404137,0.5829058597322814,0.5486948633880369,0.012336412899180886,-0.015288112214486338
DDOG,23.631846175010377,4,0.950514060877286,0.5771672335025149,0.5352751430982682,0.022650585110201748,-0.024408758730743108
DINO,7.132956097053704,5,0.9485125695224239,0.6677315168551434,0.740530308762537,0.10381815038345968,-0.07127532191870223
MLI,100.85228648961558,5,0.9482887256465787,0.6586301712886233,0.5706662301367291,0.0056584362139919225,-0.007447177354695578
FTXL,1240.8194103041367,4,0.947881860419541,0.5440248619613544,0.4808259359468413,0.00038750678136876204,-0.00218572990358612
LRCX,27.732887000020092,6,0.9452983495565571,1.325083674206617,1.0076336305286837,0.03633352815117855,-0.03806708724886887
TCMD,4.548209557493729,4,0.9435736472079144,0.8529703335405672,1.6054170488667279,0.352977809965156,-0.34831418281938653
CX,37.37973647628059,4,0.9424796873551888,0.49586591112969747,0.476013688890201,0.012734538382640999,-0.015076595836696849
DELL,12.193945131606448,4,0.9386039252205491,0.4704389060917116,0.5310404020007852,0.04354951545782666,-0.04543767741302518
TEVA,95.02193631106293,7,0.9368362215437976,1.0431708151559502,0.856482150024602,0.009013520280420618,-0.01079622589257101
AMAT,13.699454922417798,7,0.9358443712139839,0.815725989037752,0.742332017554801,0.0541869747197057,-0.057197305611868976
ASML,12.985505461972885,6,0.9304168020242134,0.505895213143237,0.5009522927518412,0.03857780463139027,-0.02941689187603702
AXSM,6.266117666893121,5,0.9292560094114429,0.4554570172351986,0.5845960077184393,0.09329477019034259,-0.0950558003581945
TEL,8.810139530745948,4,0.9260696100029258,0.41317083721743386,0.5029613866752269,0.05708892406527431,-0.03468530808454462
TARS,9.882597375690105,5,0.9254716806843204,0.43517284992702265,0.5229441997063143,0.052915663749763656,-0.040857596367938176
UTHR,5.895160973239668,7,0.9247607709658524,0.5381278531744469,0.6266281371429583,0.10629533951446904,-0.08134735516290226
FTI,28.917304720455306,7,0.9224842532577864,0.5077766708022777,0.45812719852127914,0.015842665938268188,-0.017613086462236582
SN,8.08117685916218,7,0.9216282123333932,0.50097700021248,0.5233210704612716,0.06475802715144724,-0.06760419450125132
RTX,65.44072921970218,5,0.9211130984821901,0.4174578625006884,0.38869970644494456,0.005939721501879583,-0.008910315565902938
TD,43.64959280198573,4,0.9207567150917856,0.39542296727457105,0.37307344275201215,0.008547008547008485,-0.01033055337654698
NTRA,37.27256048283772,8,0.9161305975613253,0.5355121682157296,0.5166436958584031,0.013861234354862566,-0.011039015065259061
PLAB,30.578243025209307,9,0.9159957804689361,0.8567344833101409,0.7597935270072713,0.024847520715329606,-0.01869848356076953
BOOT,11.629452108421022,6,0.9148545901023191,0.42037063294958243,0.4748492184847921,0.04083160703168021,-0.04543883419041861
BLOK,5.202674235240025,7,0.9130631065223118,0.4682948938053568,0.5981198786635711,0.11496393039799405,-0.08195204737468009
RY,44.11236690414011,4,0.9098439225475542,0.36579579081683766,0.3431814806750546,0.0077797113317636495,-0.009564636467774612
TSM,5.046575417579684,6,0.90944241215561,0.4192548192996277,0.5374666632837226,0.10650126448352758,-0.07484791086621001
ARKW,4.473089139165726,7,0.9041921380162122,0.4907923078345653,0.7059324271471054,0.157817652450979,-0.1428225465618601
GLD,9.762194732499927,8,0.8950990218374211,0.4105491193173383,0.4296436709552184,0.044010971172790174,-0.04052141044556179
AIQ,11.941193206481614,7,0.8940427012681782,0.37864075705669165,0.392934718771722,0.03290581702994632,-0.022520888495727864
ANDE,6.848387888932303,4,0.8898251347962783,0.3259556992774473,0.40473760582379287,0.059099690669959036,-0.06111336650300747
NRIM,8.624592307712858,7,0.8882504728122265,0.36378639945268465,0.3921299190508162,0.04546648758111611,-0.030830561852855598
WWD,14.843511036084374,5,0.8879419651273543,0.3327332349618224,0.3730208826196262,0.02513023244384819,-0.028508710818403782
