ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,pf_capped,zero_loss,num_trades,ticker_score,total_return,gross_profit,gross_loss,gl_per_trade,atr_pct_med,maxdd,eligible,is_neg,num_neg_trades,run_coverage,run_zero_loss_pct,run_cap_pct,run_glpt_med,run_vol_med,run_stability_score,regime
MAR,5.273269884153432,5.273269884153432,4.0,1,0,10,0.9985552596533503,0.1813928942616058,0.2110443216133121,0.0400215286244908,0.004002152862449,0.0207986323904137,-0.018726703777077,1,0,3,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
DDOG,3.378932096527307,3.378932096527307,3.378932096527307,0,0,8,0.9929638291333313,0.4291902376729433,0.5868684510511591,0.1736845945067414,0.0217105743133426,0.0358487571033998,-0.0891625369511686,1,0,3,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
NVT,25.281073287840638,25.281073287840638,4.0,1,0,8,0.9976121290783432,0.318354352771339,0.3037830480943105,0.0120162243365047,0.001502028042063,0.0303061046003145,-0.0120162243372911,1,0,1,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
APH,4.266443514335495,4.266443514335495,4.0,1,0,9,0.9984156789853158,0.2554980769758503,0.3352546678322116,0.078579422581299,0.0087310469534776,0.0272766689093217,-0.0772237877089319,1,0,3,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
ASML,4.746822204823126,4.746822204823126,4.0,1,0,7,0.9954536132298974,0.1638218543163283,0.2023444958322346,0.0426273593366605,0.00608962276238,0.0259281184761195,-0.028072374033361,1,0,3,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
UTHR,4.128259285118843,4.128259285118843,4.0,1,0,6,0.9881102184755316,0.0838422465191646,0.1088074830799448,0.0263567464069332,0.0043927910678222,0.0266363249108803,-0.020109140556571,1,0,2,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
BBIO,4.386743715880622,4.386743715880622,4.0,1,0,10,0.9985552596533503,0.2802798261276598,0.3434053671245433,0.0782825232942987,0.0078282523294298,0.0360310685046527,-0.0439388187542262,1,0,4,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
NKE,15.120986845843513,15.120986845843513,4.0,1,0,8,0.9976121290783432,0.4104331560927896,0.3888767748888278,0.0257176848874597,0.0032147106109324,0.0285137641908432,-0.0257176848882204,1,0,1,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
ARKF,3.6102268634733305,3.6102268634733305,3.6102268634733305,0,0,11,0.9964003605794172,0.3130972725691019,0.4088579927429479,0.1132499447277375,0.0102954495207034,0.0226702334630344,-0.0883353270666412,1,0,4,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
TD,45.46415348453782,45.46415348453782,4.0,1,0,8,0.9976121290783432,0.1121581677102419,0.1104303447375983,0.0024289541600099,0.0003036192700012,0.0133595378476563,-0.0024289541609068,1,0,1,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
