ticker,profit_factor,num_trades,ticker_score,total_return,gross_profit,gross_loss,maxdd
CX,8.720919455213078,6,0.7793942461564383,0.9053729442899379,0.9412548708564721,0.10793069190586561,-0.10993270904763464
TEVA,8.919211160670823,6,0.7793941582977472,0.8133674923397098,0.8297411207969738,0.09302853199122692,-0.09542746878394659
TSM,10.26132731070948,6,0.7793935817482934,0.7206330716060732,0.706024962489357,0.06880444810999228,-0.05027094175796176
LIT,14.549963580972838,6,0.7793701826882342,0.546333198791733,0.5752748214389893,0.03953788737940782,-0.04012799447942139
WWD,43.10440127614438,6,0.7793660322988395,0.538640550108342,0.509489570627022,0.0118198967052813,-0.008513137412532235
ANDE,44.69831475211366,6,0.7792069518845497,0.4477954887811677,0.4269167593638362,0.009551070588039307,-0.01368814880894409
XBI,8.722747537403276,6,0.7790073235744356,0.41335126042519854,0.4707123220510588,0.05396376772715673,-0.043457455261833755
SIMO,6.437000787219819,6,0.7789663530847553,0.7798822997644059,0.8450291926002618,0.1312768509020542,-0.07489595029182883
LVS,5.588258294534064,6,0.7777164108124279,0.5267969927156282,0.6586374155064566,0.11786094714889556,-0.10673792143544181
NVGS,27.00309018232489,6,0.7776306455712008,0.3421042297867398,0.3373179042960527,0.012491826010226307,-0.015415057671466115
EIS,14.470720183626778,6,0.7774056698767827,0.3365098719059201,0.34606492082531465,0.023914837439595965,-0.02683253043506073
JNJ,27.87118931477206,6,0.776819210261376,0.32448892629167214,0.31637863239613384,0.011351457909564319,-0.013831979215930379
BLTE,16.796637616690024,7,0.77677253672275,1.2139845770490623,1.3813447384222044,0.08223936063546597,-0.08581520024271494
XPEL,9.687467100579289,7,0.7767696915737676,0.6502012419489269,0.6718599034377051,0.0693535158842015,-0.06877645260896192
AER,6.801628459732821,6,0.7760042594538819,0.31495165785405055,0.35391570140710343,0.05203396561608216,-0.02886672884542274
PTGX,6.991784550508697,6,0.7751661688451686,0.30328306037991415,0.35437689166178526,0.05068475567314243,-0.032871203675122196
ASML,8.06156496418364,8,0.774341834424759,0.614054466733907,0.633807454717259,0.07862089526452658,-0.07126712982474104
GLD,9.309079107879016,8,0.7740787723983938,0.4302741203343188,0.4640902991221878,0.0498535133007293,-0.032013806884799156
PLAB,5.468162850534299,8,0.772361310714978,0.5342619025169248,0.6716273983353631,0.12282505417148243,-0.08446521831103426
NTRA,4.677237249165056,6,0.7715567624112498,0.35567947183050497,0.4782223035015518,0.10224461108679496,-0.098917689994369
BLOK,4.540797904660069,6,0.7713753277215318,0.5830392077047735,0.7528925547724915,0.16580622405586978,-0.14122824571628867
UHS,6.215350314577095,6,0.7711364629531704,0.27413135117409193,0.34463565084101255,0.05544911121626171,-0.051223290829737644
GM,4.699551531939887,6,0.768920194874954,0.3018894437613584,0.3888127740147467,0.08273401650609244,-0.08538879513984399
RDVT,5.8645632489459425,8,0.7688932418694658,0.29935562848765773,0.3623499815524669,0.0617863541019177,-0.027506854859100316
FROG,5.493906284570618,8,0.7672375575357718,0.29126008141054216,0.3612424733563528,0.06575330095653172,-0.0441650498094639
NVDA,4.7260948526900615,9,0.7666445901450787,0.48727186761730223,0.6718552786041729,0.14215865308368864,-0.09967036413068786
BOOT,4.234935531422024,8,0.7596615793074453,0.33111300603651106,0.5002568556305165,0.11812620331968507,-0.10477153982681642
ARKF,4.022824446262643,7,0.7581015797070098,0.3488890050229112,0.5299939177040257,0.13174671795494589,-0.10763962436817276
VLO,5.970070330440822,6,0.7508966807252607,0.2149868945133515,0.2620375210248408,0.043891865006805086,-0.043474340047804816
EGO,6.351010946035473,6,0.7460789192298187,0.20697150998355784,0.260545597306472,0.041024271493204374,-0.04502050294717519
HCA,3.462109226423331,9,0.7309688021271772,0.3091518049344011,0.4346763238648857,0.12555245817993596,-0.09504216587614689
LUV,3.5741157977896045,9,0.7258194460364148,0.24323206305119793,0.3704136753527448,0.10363784955759558,-0.1024396817541825
AEM,3.3272360236363565,10,0.7256152413135705,0.35759279003127564,0.5394597517482203,0.16213450080365546,-0.1021673810277246
BABA,3.426149987545338,7,0.7195471683443214,0.23634128692254897,0.35900490970325294,0.10478376924778524,-0.06010283438155395
FTI,3.7448643328547075,6,0.7126587465230446,0.19528247978727964,0.273022178151555,0.0729057594306575,-0.041618610508604714
FDN,7.965102000178645,6,0.680327249491559,0.1546754270866677,0.18693651575700676,0.023469444051415045,-0.027956324704869417
PALL,2.6915954304479963,11,0.6580532450895982,0.25297975508338144,0.44914665201401105,0.16687004552510104,-0.11192435642123977
BAC,2.9940961741668035,6,0.6382775551532018,0.16922366901580999,0.2757264282539878,0.09209003726499096,-0.06359067961351372
ACWX,4.740086664603055,6,0.6256201429830315,0.1341715097011562,0.17629893467100125,0.037193188046017484,-0.033887304525464845
bidu,2.353195846785581,12,0.6151769720486779,0.259501134307067,0.5523436035336831,0.23472062654205916,-0.1542643586935314
NTRB,2.290636660512219,7,0.5849917698520031,0.24760138089470796,0.6110287725380777,0.26675063010710875,-0.22076495124372086
IMAX,2.673893884050176,8,0.5738220745477076,0.15275300433422556,0.2704554418229643,0.10114666233998133,-0.06668579800778385
CRS,2.3202736827490433,8,0.5698506073799429,0.19888266069823723,0.41281024252206344,0.17791446138068026,-0.13247054298031202
INCY,2.5126573750581493,7,0.5640570138579125,0.15944560341065506,0.2967540836946696,0.11810368044620566,-0.07187503373149584
AXP,2.6427612281351323,8,0.5545329748920079,0.14467960546613412,0.24970121741708992,0.09448497077932837,-0.053888529151435494
