ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,pf_capped,zero_loss,num_trades,ticker_score,total_return,gross_profit,gross_loss,gl_per_trade,atr_pct_med,maxdd,eligible,is_neg,num_neg_trades
MAR,1.3053465587158566,1.3053465587158566,1.3053465587158566,0,0,8,0.4397245881850761,0.026905310832282092,0.1731250230221704,0.13262763200025846,0.016578454000032307,0.020798632390413786,-0.11200222667422033,1,0,5
DDOG,2.2794874192080306,2.2794874192080306,2.2794874192080306,0,0,6,0.8975570061263404,0.2265849966658393,0.43206646926779224,0.18954545027403857,0.03159090837900643,0.03584875710339988,-0.18079165045306045,1,0,2
NVT,12.719065830503245,12.719065830503245,4.0,1,0,6,0.9875194543339432,0.325582185159758,0.3332395247591844,0.02619999999999995,0.0043666666666666585,0.030306104600314587,-0.02620000000071987,1,0,1
APH,4.344472812782522,4.344472812782522,4.0,1,0,8,0.9976121290783433,0.2782422290229234,0.34763865716637943,0.08001860574280494,0.010002325717850617,0.027276668909321778,-0.07490307459118006,1,0,3
ASML,2.4950250736982977,2.4950250736982977,2.4950250736982977,0,0,6,0.9337619337185743,0.11662120121877506,0.2050294868140329,0.08217532119231336,0.01369588686538556,0.025928118476119512,-0.08011302283543009,1,0,3
UTHR,6.893666076854098,6.893666076854098,4.0,1,0,7,0.9952268372521291,0.3485874093553638,0.4202145960219079,0.06095662182315501,0.008708088831879287,0.026636324910880384,-0.05498323346392375,1,0,2
BBIO,1.7750434780862123,1.7750434780862123,1.7750434780862123,0,0,8,0.7301083304180473,0.05653541760072489,0.14704685558819106,0.08284126975116782,0.010355158718895977,0.036031068504652757,-0.047499486921638856,1,0,6
NKE,1.6778844459027893,1.6778844459027893,1.6778844459027893,0,0,6,0.6693361969411318,0.08248099869168524,0.24248054564612131,0.14451564065584632,0.02408594010930772,0.02851376419084325,-0.1389415669774542,1,0,3
ARKF,1.8386916334836687,1.8386916334836687,1.8386916334836687,0,0,8,0.7612587610987148,0.12036559307145467,0.2898410100544324,0.1576343769538378,0.019704297119229726,0.02267023346303446,-0.13788979206065777,1,0,4
TD,8.501600059207018,8.501600059207018,4.0,1,0,6,0.9875194543339432,0.16303990424709047,0.17573866699807356,0.02067124609181692,0.0034452076819694866,0.013359537847656342,-0.013405812935037287,1,0,2
GLD,0.8410929543998682,0.8410929543998682,0.8410929543998682,0,0,9,0.18927132258729137,-0.024487339104819483,0.11027984044227174,0.13111492596077917,0.014568325106753242,0.011141743274578546,-0.11963942815061979,1,1,5
AMG,12.937135491646048,12.937135491646048,4.0,1,0,9,0.9983365288570824,0.4119488298480667,0.39141419836787533,0.030255089978815243,0.003361676664312805,0.020182153392330298,-0.030074921210308525,1,0,2
BABA,1.986267476742895,1.986267476742895,1.986267476742895,0,0,9,0.8238236730785569,0.17394006792463879,0.3754240013146762,0.18900979133500234,0.02100108792611137,0.03474279074680449,-0.12441444637408594,1,0,5
REGN,1.3916264917017278,1.3916264917017278,1.3916264917017278,0,0,8,0.496939027748644,0.04015968608156317,0.2073009267216237,0.1489630500409123,0.018620381255114036,0.028301022045006608,-0.1331040850113877,1,0,5
PTCT,1.5719193536726688,1.5719193536726688,1.5719193536726688,0,0,6,0.6063838891150343,0.11778434073826105,0.4408550435086053,0.2804565275429566,0.04674275459049276,0.034648786717751796,-0.17268482022671083,1,0,2
ASC,1.4059809526582323,1.4059809526582323,1.4059809526582323,0,0,7,0.5048150297544389,0.06679281828697992,0.2948251592975334,0.20969356572016085,0.029956223674308693,0.030290076335875542,-0.16778317804430454,1,0,4
HTHT,24.183590293753422,24.183590293753422,4.0,1,0,9,0.9983365288570824,0.35391563574061813,0.3258425273614487,0.013473703590058473,0.0014970781766731637,0.02506417112299397,-0.01347370359098743,1,0,1
BAC,5.285965190186629,5.285965190186629,4.0,1,0,7,0.9952268372521291,0.24802308295837872,0.2896731497875431,0.05480042704884247,0.007828632435548924,0.019040966584858997,-0.04147772558091134,1,0,3
PTGX,2.1508160743678606,2.1508160743678606,2.1508160743678606,0,0,8,0.8760581041292825,0.09415870762547485,0.1863976466696343,0.08666368495707744,0.01083296061963468,0.03381017069281164,-0.043348298436390875,1,0,4
ARKK,8.523332849192506,8.523332849192506,4.0,1,0,8,0.9976121290783433,0.4385970714072758,0.44428458068848337,0.05212568704630308,0.006515710880787885,0.03117033603707959,-0.04349522851781118,1,0,2
PBR,2.6873881783408864,2.6873881783408864,2.6873881783408864,0,0,6,0.954163157813815,0.1471819669751877,0.23567057837702146,0.08769502682062011,0.014615837803436685,0.02380139643134026,-0.08578288657605593,1,0,2
JNJ,11.596355888246032,11.596355888246032,4.0,1,0,7,0.9952268372521291,0.08882463059352919,0.09470679062676492,0.008166944127918574,0.0011667063039883677,0.015171299794179641,-0.008158960658349423,1,0,2
TARS,4.023954284176128,4.023954284176128,4.0,1,0,6,0.9875194543339432,0.2100483136511222,0.2782094375631456,0.06913831965168728,0.011523053275281213,0.03618639667705041,-0.06824867738317508,1,0,3
SN,3.4601919741341365,3.4601919741341365,3.4601919741341365,0,0,5,0.9602925248614004,0.26831778152197017,0.3923059982655431,0.11337694590304112,0.022675389180608223,0.036651858272835215,-0.11032185959209062,1,0,2
BLOK,5.176366756651563,5.176366756651563,4.0,1,0,8,0.9976121290783433,0.36843069891074487,0.4155221669478731,0.08027293785045903,0.010034117231307378,0.030595538312317535,-0.07866998860641594,1,0,2
