ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,pf_capped,zero_loss,num_trades,ticker_score,total_return,gross_profit,gross_loss,gl_per_trade,atr_pct_med,maxdd,eligible,is_neg,num_neg_trades
MAR,1.8220669735396169,1.8220669735396169,1.8220669735396169,0,0,7,0.7616207306612053,0.09809292496660271,0.24717728233603017,0.1356576272582638,0.01937966103689483,0.020798632390413786,-0.07858147175243035,1,0,5
DDOG,2.4824616807117517,2.4824616807117517,2.4824616807117517,0,0,8,0.9445726598866244,0.2694911013483072,0.45599007260211,0.18368463696542223,0.02296057962067778,0.03584875710339988,-0.12361203462053327,1,0,4
NVT,3.0013905982254836,3.0013905982254836,3.0013905982254836,0,0,7,0.9813426418630434,0.23781139666250262,0.3698996207475698,0.12324274653431183,0.017606106647758833,0.030306104600314587,-0.1221499387426318,1,0,2
APH,5.589743780201659,5.589743780201659,4.0,1,0,8,0.9977257078141145,0.3944701975907625,0.43585782605786444,0.07797456255537712,0.00974682031942214,0.027276668909321778,-0.064715616518351,1,0,3
ASML,3.3137363696641913,3.3137363696641913,3.3137363696641913,0,0,6,0.982312663514094,0.14436239269746975,0.21118804040562575,0.06373109289530694,0.01062184881588449,0.025928118476119512,-0.062481957033649005,1,0,3
UTHR,0.9059453805422941,0.9059453805422941,0.9059453805422941,0,0,7,0.23039032880694724,-0.011922088022321309,0.08008026772329484,0.08839414543441815,0.012627735062059735,0.026636324910880384,-0.04558530050780696,1,1,4
BBIO,2.807230174459837,2.807230174459837,2.807230174459837,0,0,8,0.9741783682313717,0.1683193196506696,0.2635954897453123,0.09389878042189145,0.011737347552736432,0.036031068504652757,-0.06628993903244618,1,0,5
NKE,1.4056015674037692,1.4056015674037692,1.4056015674037692,0,0,9,0.5234137641197166,0.05585717896299913,0.2556263779926136,0.18186261592235625,0.02020695732470625,0.02851376419084325,-0.16047717433673592,1,0,4
ARKF,2.092326787458681,2.092326787458681,2.092326787458681,0,0,6,0.8563595832614218,0.11036411509975297,0.23339558774656277,0.11154834376041359,0.018591390626735597,0.02267023346303446,-0.10865853372735701,1,0,4
TD,1.8197620498146534,1.8197620498146534,1.8197620498146534,0,0,6,0.7541366323670651,0.0462031184110443,0.10722278421659094,0.05892132118455367,0.009820220197425612,0.013359537847656342,-0.058100854697537674,1,0,3
GLD,1.0111164016816636,1.0111164016816636,1.0111164016816636,0,0,6,0.27660038501405776,-0.0015628609893978407,0.07287196690196528,0.07207079895130417,0.012011799825217362,0.011141743274578546,-0.07054518858350989,1,1,3
AMG,22.380242193066632,22.380242193066632,4.0,1,0,7,0.9954536132298974,0.4467643423342573,0.405734406498557,0.01812913385826776,0.002589876265466823,0.020182153392330298,-0.018129133858982405,1,0,1
BABA,25.71596129203817,25.71596129203817,4.0,1,0,8,0.9977257078141145,0.4545017075261113,0.4115463332756726,0.01600353681521095,0.0020004421019013687,0.03474279074680449,-0.015185143379697452,1,0,2
REGN,0.4995775425510956,0.4995775425510956,0.4995775425510956,0,0,7,0.10881062992702953,-0.1164713205413338,0.10392327826993102,0.2080223176951594,0.02971747395645134,0.028301022045006608,-0.16114486628526203,1,1,5
PTCT,1.3058880118215983,1.3058880118215983,1.3058880118215983,0,0,7,0.4560837455212367,0.04346555411211095,0.37406664867446593,0.286446192390323,0.040920884627189,0.034648786717751796,-0.18816106802949173,1,0,3
ASC,2.1950357742367768,2.1950357742367768,2.1950357742367768,0,0,7,0.8905723923002961,0.15767878242078126,0.3049721471551457,0.13893721037926401,0.01984817291132343,0.030290076335875542,-0.09270856551710771,1,0,4
HTHT,1.5758736182948008,1.5758736182948008,1.5758736182948008,0,0,7,0.6292220973758389,0.06542665024990435,0.2027584817806358,0.1286641767631302,0.01838059668044717,0.02506417112299397,-0.08367060886068711,1,0,3
BAC,5.671198455907244,5.671198455907244,4.0,1,0,6,0.9881102184755315,0.1974522635842162,0.23219652553320216,0.04094311411221048,0.00682385235203508,0.019040966584858997,-0.031924477666957496,1,0,3
PTGX,1.7524870369343202,1.7524870369343202,1.7524870369343202,0,0,7,0.7278947281990623,0.07288605861360797,0.19236544857243318,0.10976711639987022,0.01568101662855289,0.03381017069281164,-0.06628749466589323,1,0,4
ARKK,4.188885005181609,4.188885005181609,4.0,1,0,7,0.9954536132298974,0.3319228414750621,0.41755110408079166,0.0996807273449343,0.014240103906419185,0.03117033603707959,-0.08430094329458027,1,0,2
PBR,1.5048519889067633,1.5048519889067633,1.5048519889067633,0,0,6,0.5796060671190544,0.04674783016852713,0.1590331434553245,0.10568025601697748,0.01761337600282958,0.02380139643134026,-0.10222383808305036,1,0,3
JNJ,21.57139479864704,21.57139479864704,4.0,1,0,6,0.9881102184755315,0.10830771243944692,0.11029023685774206,0.005112800441845302,0.0008521334069742171,0.015171299794179641,-0.005109412540710623,1,0,2
TARS,3.3061989444270954,3.3061989444270954,3.3061989444270954,0,0,6,0.9821789024465871,0.2622036787398492,0.3680110319168992,0.11130940336703449,0.018551567227839082,0.03618639667705041,-0.10762932022940375,1,0,3
SN,3.181616754883904,3.181616754883904,3.181616754883904,0,0,5,0.957297049178628,0.25167781311812454,0.38677802327146593,0.12156650315527376,0.024313300631054753,0.036651858272835215,-0.11815026615257762,1,0,2
BLOK,3.166067295773246,3.166067295773246,3.166067295773246,0,0,6,0.9791810491712135,0.18660988078734464,0.27527072677012104,0.0869440542649274,0.014490675710821235,0.030595538312317535,-0.08581059995086837,1,0,2
