ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,zero_loss,pf_capped,num_trades,ticker_score,total_return,gross_profit,gross_loss,maxdd,eligible,is_neg,num_neg_trades,gl_per_trade,atr_pct_med,profit_factor_raw_csv
WWD,5.921645802663142,5.921645802663142,4.0,0,1,9,0.9982548329219039,0.23549246528542556,0.26824444995482477,0.045298969052520364,-0.02118574320059463,1,0,4,0.005033218783613374,0.022465982002741223,5.921645802663142
CMI,10.589971396944565,10.589971396944565,4.0,0,1,8,0.997571880152677,0.3965464483721568,0.3882208407725749,0.03665929077812099,-0.036095995905299216,1,0,3,0.0045824113472651236,0.021778185593895584,10.589971396944565
LGND,4.659185515666411,4.659185515666411,4.0,0,1,8,0.997571880152677,0.3336122269943429,0.3878377069998899,0.08324152487506539,-0.05075045964309122,1,0,3,0.010405190609383174,0.02604453460851075,4.659185515666411
CAT,8.67475297789168,8.67475297789168,4.0,0,1,8,0.997571880152677,0.31210591205868665,0.3234732337676557,0.03728904264963553,-0.030587771057739133,1,0,3,0.004661130331204441,0.023836817642963283,8.67475297789168
LIT,15.005010600970119,15.005010600970119,4.0,0,1,8,0.997571880152677,0.267058323553665,0.2617339380808236,0.017443102510297577,-0.01744310251110237,1,0,1,0.002180387813787197,0.01849783861671438,15.005010600970119
BABA,9.654784423335807,9.654784423335807,4.0,0,1,8,0.997571880152677,0.2661289162996807,0.27702314304770365,0.028692835686536217,-0.015185143379813804,1,0,2,0.003586604460817027,0.03474279074680449,9.654784423335807
MLI,10.32764383669342,10.32764383669342,4.0,0,1,8,0.997571880152677,0.18433902240935196,0.19221899563966235,0.01861208603618971,-0.018612086037171127,1,0,1,0.002326510754523714,0.019136974037600566,10.32764383669342
SIMO,3.9625820540719996,3.9625820540719996,3.9625820540719996,0,0,8,0.9974299567677936,0.39242741973987916,0.495324717721323,0.12500049486983394,-0.11887029522603143,1,0,4,0.015625061858729243,0.036147791164658036,3.9625820540719996
REMX,3.8956243753316646,3.8956243753316646,3.8956243753316646,0,0,8,0.9971404692341466,0.3298132394412707,0.4087838888930896,0.10493411312487916,-0.06311241262922485,1,0,3,0.013116764140609895,0.026645768025077926,3.8956243753316646
APH,3.6601207673825162,3.6601207673825162,3.6601207673825162,0,0,8,0.9956368941601877,0.25588752721432306,0.3450693507767326,0.09427813252826193,-0.07913121418911284,1,0,4,0.011784766566032742,0.027276668909321778,3.6601207673825162
XME,29.3463734402507,29.3463734402507,4.0,0,1,7,0.9953230308590804,0.5128731620193061,0.4481952189961747,0.015272593048292711,-0.015272593049178051,1,0,1,0.0021817990068989587,0.024712525667350934,29.3463734402507
ARKK,31.539974038406868,31.539974038406868,4.0,0,1,7,0.9953230308590804,0.48410425787561007,0.4364639273770931,0.013838436482084675,-0.013838436482823901,1,0,1,0.001976919497440668,0.03117033603707959,31.539974038406868
FTI,14.62062572029068,14.62062572029068,4.0,0,1,7,0.9953230308590804,0.39762329550960174,0.3742819890596163,0.025599587611369,-0.02286365782614319,1,0,2,0.003657083944481286,0.02799506646567005,14.62062572029068
STX,8.755298897858198,8.755298897858198,4.0,0,1,7,0.9953230308590804,0.35443319404542706,0.37646185757290107,0.04299817310234773,-0.02775198205006224,1,0,3,0.006142596157478247,0.032791495198902246,8.755298897858198
NVGS,16.111550756088047,16.111550756088047,4.0,0,1,7,0.9953230308590804,0.340806532161962,0.3266386437209734,0.020273569482288784,-0.020273569483168385,1,0,1,0.0028962242117555404,0.022238442822383055,16.111550756088047
FDX,42.46637232738588,42.46637232738588,4.0,0,1,7,0.9953230308590804,0.2854906951203571,0.2664867685980361,0.006275242126725834,-0.006275242127687819,1,0,1,0.0008964631609608334,0.023252557664659345,42.46637232738588
LLY,5.379800729022422,5.379800729022422,4.0,0,1,7,0.9953230308590804,0.2578061433567824,0.2984918774551,0.05548381668577894,-0.03162320213162639,1,0,3,0.007926259526539848,0.026254885851569654,5.379800729022422
DINO,4.3972238132649935,4.3972238132649935,4.0,0,1,7,0.9953230308590804,0.2133245355888167,0.2651567076699799,0.060300935074100254,-0.03386055045950487,1,0,2,0.008614419296300036,0.029272475795296533,4.3972238132649935
SU,4.830942970536236,4.830942970536236,4.0,0,1,7,0.9953230308590804,0.2046354028039834,0.24622248092112647,0.05096778877805625,-0.04522607528820666,1,0,3,0.0072811126825794645,0.020194323702377358,4.830942970536236
BAC,5.144202616802221,5.144202616802221,4.0,0,1,7,0.9953230308590804,0.1911684168313037,0.22944264834681966,0.04460217947042054,-0.024780390714407075,1,0,4,0.006371739924345791,0.019040966584858997,5.144202616802221
FTXL,5.277952257207667,5.277952257207667,4.0,0,1,7,0.9953230308590804,0.17466511270233198,0.2090853019612613,0.039614852839134844,-0.0392463654292321,1,0,3,0.0056592646913049775,0.01290552584670217,5.277952257207667
DDOG,3.9361513305529097,3.9361513305529097,3.9361513305529097,0,0,7,0.9950728793333092,0.4145939076439995,0.5119411627678918,0.13006135175600061,-0.09636082195616769,1,0,3,0.018580193108000086,0.03584875710339988,3.9361513305529097
NVT,3.484646765918186,3.484646765918186,3.484646765918186,0,0,7,0.9915372278932916,0.3547610640619785,0.48113059840515376,0.1380715552321925,-0.13531993969894196,1,0,2,0.019724507890313214,0.030306104600314587,3.484646765918186
DLTR,3.388234942403375,3.388234942403375,3.388234942403375,0,0,7,0.9901187342900439,0.289498101350115,0.3907039979265382,0.11531195580239201,-0.06214009983444779,1,0,2,0.016473136543198857,0.031629139072847444,3.388234942403375
