ticker,profit_factor,num_trades,ticker_score,total_return,gross_profit,gross_loss,maxdd
NFLX,39.899116832774084,9,0.4383790662074282,5.188351286668063,4.546457993581927,0.11394883783110102,-0.055726216042590426
NRIM,33.36299311420463,8,0.3669761694127919,1.7638992380469167,1.6155167801061991,0.048422417454457245,-0.032787592305877356
LRCX,inf,5,0.30428847591080044,1.8017061476211316,1.2293523787497467,0.0,-0.000600000000000156
BLTE,6.347465322076024,7,0.29975121972765373,1.0112679589132192,1.4545186955712732,0.22914953005139904,-0.19695035326467458
EGO,56.50752340805689,6,0.29820108820012026,1.2544989855455837,0.9823785901008922,0.017384916748286013,-0.019152562886094127
PALL,5.329901466598053,11,0.2888566021315357,0.5931575268675908,0.6602477824879096,0.12387617043684858,-0.0945008005887984
ASML,27.367099466118205,8,0.28313662913504134,0.6890681335989364,0.5975195678260581,0.02183350005965434,-0.023593143551011164
CX,14.655792450643013,6,0.27458604202252074,0.9308997747043029,0.8621054382731197,0.058823529411764795,-0.06051663079152969
TEVA,37.72956499586231,6,0.2736224130230604,0.9195239934350627,0.8087868662124624,0.021436421710697158,-0.022600126149239896
BOOT,9.812750048070061,8,0.2568864025369545,0.5144139031321062,0.5885119275592525,0.05997420954128951,-0.06287430228433688
TSM,14.819607438540634,6,0.25584060660341107,0.7327974897432676,0.6833294674464266,0.04610982242817882,-0.027112889379700356
CAT,inf,5,0.2519651188319821,0.8862302868551766,0.7343215050848148,0.0,-0.000600000000000156
AMAT,6.5808512829775365,5,0.24972570947843287,0.8652483909007376,0.8944677779713464,0.13591976774874637,-0.13747417914678917
SIMO,4.517112053938183,6,0.24775996217341664,0.701296397891161,0.868630771356292,0.1922978135109551,-0.1137583494571085
AEM,4.4425096173484375,10,0.24435138135652879,0.39709027539214303,0.5024697589770137,0.11310493443048944,-0.1008714729396768
LIT,12.671208443865746,6,0.2437189413041286,0.6285131923406131,0.6418270524490225,0.05065239478084169,-0.054584049135764756
XPEL,4.8488596234911725,7,0.24306412359889282,0.5276310415168532,0.640260141240312,0.13204344752288902,-0.07122516999126105
NEM,5.295678267630247,6,0.24189328753936004,0.6250031305248245,0.7546248224420156,0.1424982380547263,-0.09960039589358094
PTGX,7.5968375640085934,6,0.24153608377342373,0.6137670987777428,0.644603956080037,0.08485161761704187,-0.042892798545881905
BBIO,8.97122805840007,5,0.24027114332290808,0.7561305876603199,0.7686160255440064,0.08567567567567572,-0.08732047218668337
