ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,pf_capped,zero_loss,num_trades,ticker_score,total_return,gross_profit,gross_loss,gl_per_trade,atr_pct_med,maxdd,eligible,is_neg,num_neg_trades
MAR,2.1449136125702357,2.1449136125702357,2.1449136125702357,0,0,7,0.8637546509596378,0.12146009647636302,0.24717728233603017,0.11523880537073904,0.016462686481534147,0.020798632390413786,-0.07047642493710393,1,0,5
DDOG,2.6671885413821905,2.6671885413821905,2.6671885413821905,0,0,7,0.9575246280287129,0.3244623420762205,0.5151986990798527,0.19316170982530784,0.027594529975043976,0.03584875710339988,-0.15633728255801216,1,0,3
NVT,3.9377494089712974,3.9377494089712974,3.9377494089712974,0,0,6,0.9878137452985408,0.22276041676688063,0.30453728569938826,0.0773379039828098,0.012889650663801634,0.030306104600314587,-0.06771998112685551,1,0,3
APH,11.51468262224439,11.51468262224439,4.0,1,0,7,0.9953230308590804,0.26128469746427774,0.273511971258137,0.02375332262565004,0.0033933318036642912,0.027276668909321778,-0.01830015806945373,1,0,2
ASML,6.268100706561588,6.268100706561588,4.0,1,0,6,0.988056166685656,0.2190668776124689,0.2522996292381206,0.040251368165480764,0.006708561360913461,0.025928118476119512,-0.03992983182846144,1,0,2
UTHR,0.3173709145098399,0.3173709145098399,0.3173709145098399,0,0,6,0.054360385875678006,-0.06380321950260992,0.029864542745264046,0.09409980996963133,0.015683301661605222,0.026636324910880384,-0.0710507246467399,1,1,4
BBIO,2.038427697150529,2.038427697150529,2.038427697150529,0,0,7,0.8289699543435063,0.08023651749587524,0.17013276921948456,0.08346274408325066,0.011923249154750095,0.036031068504652757,-0.06985211579980521,1,0,5
NKE,1.9134421369579953,1.9134421369579953,1.9134421369579953,0,0,7,0.7789071687169296,0.07525159496495726,0.17387803932070378,0.09087185651568037,0.01298169378795434,0.02851376419084325,-0.09040953913143446,1,0,2
ARKF,4.78462500400912,4.78462500400912,4.0,1,0,5,0.9659351939524805,0.19669547537194632,0.24539506720371096,0.05128825498301125,0.010257650996602249,0.02267023346303446,-0.05074683678597958,1,0,2
TD,11.04631027412672,11.04631027412672,4.0,1,0,5,0.9659351939524805,0.15834579126644188,0.16568793902966797,0.014999392097264499,0.0029998784194528996,0.013359537847656342,-0.014999392098147823,1,0,1
GLD,1.1803921188004272,1.1803921188004272,1.1803921188004272,0,0,5,0.3139361628825814,0.009177453743496988,0.07888270381379696,0.06682754193069458,0.013365508386138916,0.011141743274578546,-0.06600066316125341,1,0,2
AMG,19.995054580541154,19.995054580541154,4.0,1,0,7,0.9953230308590804,0.37716867708466495,0.3547511715946139,0.01774194564789294,0.0025345636639847054,0.020182153392330298,-0.017741945648644397,1,0,1
BABA,3.555876122665079,3.555876122665079,3.555876122665079,0,0,7,0.9923877657042594,0.16509736341287562,0.2296126086993101,0.06457272435216857,0.009224674907452653,0.03474279074680449,-0.03414897099918612,1,0,4
