ticker,gp,gl,trades,tot_ret,maxdd,num_neg_trades,profit_factor_raw,profit_factor_eff,profit_factor_diag,zero_loss,pf_capped,gl_per_trade,atr_pct_med,score,stability,coverage
MAR,0.19580784454019054,0.08462149601340022,8,0.10425051291227216,-0.0820764723854126,4,2.313925583508751,2.313925583508751,2.313925583508751,0,0,0.010577687001675027,0.020798632390413786,0.3411006450402527,0.9892258147093456,0.03187250996015936
DDOG,0.17351639024072105,0.0,2,0.1761366095688608,-1.000088900582341e-12,0,1000000000.0,1000.0,5.0,1,1,0.0,0.03584875710339988,0.0,0.9895087791147008,0.00796812749003984
NVT,0.24099122716260485,0.010619379770070606,3,0.23665225201681128,-0.010619379770898552,1,22.693531296602508,22.693531296602508,5.0,0,1,0.003539793256690202,0.030306104600314587,0.0,0.9866823811721923,0.01195219123505976
APH,0.18263802801375176,0.03987874544228148,4,0.13635594598919099,-0.03890735170690596,2,4.579833843521807,4.579833843521807,4.579833843521807,0,0,0.00996968636057037,0.027276668909321778,0.38550360254937294,0.987893724263251,0.01593625498007968
ASML,0.35663533320891855,0.023985054887142337,6,0.36906483837081927,-0.01637780899748531,2,14.86906471079622,14.86906471079622,5.0,0,1,0.003997509147857056,0.025928118476119512,0.3819052505604028,0.9867909140021015,0.02390438247011952
UTHR,0.05006455590432257,0.019841946496625296,4,0.0297823135435471,-0.019747141256671763,2,2.523167568909508,2.523167568909508,2.523167568909508,0,0,0.004960486624156324,0.026636324910880384,0.35522786369327974,0.9971627687905659,0.01593625498007968
BBIO,0.163197782972231,0.049717778758780154,5,0.11404534902536723,-0.03322745210276834,2,3.28248339017781,3.28248339017781,3.28248339017781,0,0,0.00994355575175603,0.036031068504652757,0.3805596657556901,0.9928825848984347,0.0199203187250996
NKE,0.08113660490008603,0.06568617673865887,5,0.013201921118840332,-0.06471574900233312,2,1.235215823610784,1.235215823610784,1.235215823610784,0,0,0.013137235347731775,0.02851376419084325,0.2275780485985403,0.9954243588244317,0.0199203187250996
ARKF,0.0430324371205549,0.15766364782936806,7,-0.11198289934427419,-0.11198289934516226,6,0.27293823093023245,0.27293823093023245,0.27293823093023245,0,0,0.022523378261338295,0.02267023346303446,0.16773478201594716,0.9939829106604405,0.027888446215139442
TD,0.06368576039456009,0.03214200748094497,5,0.030775897832355348,-0.019691838483128166,2,1.9813871436722015,1.9813871436722015,1.9813871436722015,0,0,0.006428401496188995,0.013359537847656342,0.3120285883493441,0.9966388411202183,0.0199203187250996
GLD,0.07780458079972873,0.06133297739543342,7,0.014771459888711869,-0.04421245399605911,4,1.2685603097025209,1.2685603097025209,1.2685603097025209,0,0,0.008761853913633346,0.011141743274578546,0.22937680470640942,0.9959301134310864,0.028
AMG,0.12522218475806082,0.043321878544773866,4,0.0792045060984976,-0.028838580952128767,2,2.890506805438773,2.890506805438773,2.890506805438773,0,0,0.010830469636193467,0.020182153392330298,0.3722019214857518,0.9926775043531963,0.01593625498007968
BABA,0.25309343245549554,0.09057105987321473,5,0.1577771854565333,-0.08059887675242916,2,2.794418358466674,2.794418358466674,2.794418358466674,0,0,0.018114211974642948,0.03474279074680449,0.3707529285583628,0.9877177892650598,0.0199203187250996
REGN,0.26437106351636136,0.15075386147940095,10,0.10553974396996013,-0.06973539708253562,4,1.75366031040263,1.75366031040263,1.75366031040263,0,0,0.015075386147940096,0.028301022045006608,0.2874958900281322,0.9888820185159313,0.0398406374501992
PTCT,0.029329809575014455,0.1746062155118966,6,-0.14081316976499547,-0.16293904186386599,3,0.1679768929704344,0.1679768929704344,0.1679768929704344,0,0,0.02910103591864943,0.034648786717751796,0.16707136119768143,0.992588822314928,0.02390438247011952
ASC,0.18463208465128922,0.11793635016957338,8,0.061077731509697974,-0.06083076592662584,4,1.5655231350284977,1.5655231350284977,1.5655231350284977,0,0,0.014742043771196672,0.030290076335875542,0.2656227970420655,0.9917775249488594,0.03187250996015936
HTHT,0.10844223823580114,0.11422931033715729,5,-0.012814841718391756,-0.07768972083963854,3,0.9493381157228812,0.9493381157228812,0.9493381157228812,0,0,0.022845862067431458,0.02506417112299397,0.20330293774620062,0.9919074484318228,0.0199203187250996
BAC,0.18529334084791374,0.09677732952688038,6,0.08157643015203253,-0.03887931743634265,3,1.9146358114422615,1.9146358114422615,1.9146358114422615,0,0,0.01612955492114673,0.019040966584858997,0.3071867887271127,0.9902483000351938,0.02390438247011952
PTGX,0.17842938981547624,0.0764682536237128,4,0.09412233154409888,-0.04075555555642163,2,2.3333786422467124,2.3333786422467124,2.3333786422467124,0,0,0.0191170634059282,0.03381017069281164,0.3472195838544116,0.9892698445671432,0.01593625498007968
ARKK,0.11993800971811962,0.19248696740185797,8,-0.07860780604059925,-0.1530600850237499,5,0.6230967807172275,0.6230967807172275,0.6230967807172275,0,0,0.024060870925232247,0.03117033603707959,0.18148206109538056,0.9908411509128987,0.03187250996015936
PBR,0.0024886655285928172,0.06829376345578811,8,-0.06450750169393737,-0.06491331709189962,5,0.03644059724727171,0.03644059724727171,0.03644059724727171,0,0,0.008536720431973514,0.02380139643134026,0.15748484551332104,0.9972271189185256,0.03187250996015936
JNJ,0.1793408420204939,0.05288757303858476,9,0.12971329680974653,-0.05088962422555987,4,3.3909826395258045,3.3909826395258045,3.3909826395258045,0,0,0.005876397004287196,0.015171299794179641,0.38007215433901576,0.9935910337375122,0.035856573705179286
