ticker,profit_factor,profit_factor_diag,trend_metric,num_trades,ticker_score,total_return,gross_profit,gross_loss,maxdd,eligible
LRCX,30.04244889119612,12.0,5.912010619330946,5,0.2231216275829722,0.5210779266324028,0.4744458128801611,0.0157925146048662,-0.017563025347082095,True
INCY,27.028590089371686,12.0,5.153071232417522,4,0.18723916877946484,0.38058871860279364,0.36101247984490287,0.013356689292752341,-0.015131581890365009,True
PTCT,inf,12.0,5.357849642481603,3,0.1825321736544172,0.4094023483990843,0.3721234639848473,0.0,-0.0006000000000000449,True
PTGX,inf,12.0,7.00566028957489,3,0.174297587194103,0.36156247020990206,0.3330615575673056,0.0,-0.0006000000000000449,True
LGND,inf,12.0,8.176537181372991,5,0.16709254306204208,0.2367538425442588,0.2255970819698189,0.0,-0.0006000000000000449,True
BBIO,inf,12.0,6.363652310958143,3,0.16491166485087733,0.3119823231559795,0.29106044473944404,0.0,-0.0006000000000000449,True
NTRA,inf,12.0,4.560958196550436,3,0.16360726578810728,0.30544790348918416,0.2888404972304558,0.0,-0.0006000000000000449,True
ILMN,inf,12.0,3.5292704134456168,4,0.16170104349835623,0.256964311528024,0.2544923753006517,0.0,-0.0006000000000000449,True
TARS,5.579347549860356,5.579347549860356,5.803848560427587,4,0.16055574128510083,0.25463382596150064,0.3092685440967133,0.05543095161807116,-0.056564094431272194,True
NEM,3.508548689946288,3.508548689946288,5.903713039348184,5,0.15760921232987557,0.2286383300892112,0.3316237041070016,0.09451876927268135,-0.09240418607095224,True
FROG,17.819550025128372,12.0,4.099654617223697,3,0.151973974322378,0.25022403837414053,0.25983705657942807,0.014581572273879918,-0.016354261404735726,True
GE,inf,12.0,5.952433101701446,4,0.15017615947809454,0.20854311020382021,0.20174942349276404,0.0,-0.000600000000000156,True
DLTR,inf,12.0,3.346603237543035,3,0.14922638713089373,0.23801988429735,0.22814003217333975,0.0,-0.0006000000000000449,True
PLAB,3.504225712250171,3.504225712250171,2.3423840241093004,4,0.14891945004596135,0.2374184662503256,0.36808940955523994,0.10504158115970172,-0.10759929400700396,True
CAT,4.374987267522936,4.374987267522936,6.9327713488595695,5,0.14887000883657342,0.17406569945777117,0.23141533483727722,0.052895087616632475,-0.054598853790191804,True
REMX,inf,12.0,6.561548761746108,3,0.1482690100407567,0.23361202024580496,0.22317803596920763,0.0,-0.000600000000000156,True
PALL,inf,12.0,4.820136087254475,2,0.14650762683953114,0.2524919407916948,0.24105279090079068,0.0,-0.0006000000000000449,True
ANDE,7.506755679014518,7.506755679014518,4.466028637471914,4,0.14280216501796264,0.18047991697034638,0.20726277336463536,0.027610166392393456,-0.028776684132382657,True
AEM,10.911306494259259,10.911306494259259,5.2917883136007084,5,0.1405915008111622,0.13853637311248201,0.1565536226093917,0.014347834761287193,-0.017262575571126204,True
CX,14.125333295196574,12.0,7.734724396977779,4,0.13849878754425535,0.16254819739492898,0.17529977644035238,0.012410310806610446,-0.012696311916698733,True
EIS,11.368886217748413,11.368886217748413,9.919301948579164,6,0.13752714258756157,0.0973650395846477,0.11249643674378632,0.009895115017350048,-0.013492581370598389,True
GLW,3.195589087143675,3.195589087143675,6.362816571115155,5,0.13726357841332293,0.167597591050195,0.2528067513132448,0.07911115741705452,-0.08105542895627715,True
TSM,11.960791735053874,11.960791735053874,5.938086985692667,3,0.1351606093137083,0.1778238112359014,0.1929159957266756,0.016129032258064533,-0.017898937631871226,True
APH,4.639664689620017,4.639664689620017,7.003569099404286,4,0.13064978989846524,0.13695040148080362,0.17881432850162304,0.03854035592306299,-0.04026994511366133,True
CMI,inf,12.0,6.464857529390321,4,0.13036379885061689,0.1317479139803921,0.13184734769648815,0.0,-0.000600000000000156,True
MD,inf,12.0,5.506383800348555,2,0.13028444924789864,0.17958981905993854,0.17862722882558846,0.0,-0.0006000000000000449,True
ATI,7.657293381340545,7.657293381340545,5.622265613798043,3,0.1295139113360156,0.15600419093685614,0.18024288643645991,0.023538720205716502,-0.025295296142079815,True
SIMO,4.789420274906937,4.789420274906937,4.614408331487752,4,0.12816775498433758,0.12696677787389699,0.16928895531730132,0.035346439777743405,-0.032469434278311615,True
TK,inf,12.0,4.056045362996025,3,0.12786322446141274,0.14827539485625252,0.14822190153964446,0.0,-0.0006000000000000449,True
XME,inf,12.0,6.434361309731792,2,0.1262927410855223,0.1626282056575541,0.16102370538882546,0.0,-0.0006000000000000449,True
MAR,9.268347657193898,9.268347657193898,2.168395282770262,4,0.12317099665828737,0.10942281031111656,0.12533380697093155,0.01352277791108214,-0.015297371728521636,True
RGLD,inf,12.0,3.1383924647957784,2,0.12156961742187886,0.14314496929558684,0.14344975141803926,0.0,-0.0006000000000000449,True
TD,30.346814909753906,12.0,9.343077701152042,3,0.12098567076458479,0.12109788889249429,0.1259050283016038,0.004148871262965264,-0.005940327990576755,True
IMO,3.877197264099123,3.877197264099123,4.766781407102931,3,0.12009897415133422,0.13037904635510755,0.1821860075415398,0.04698909937559528,-0.048703489950796985,True
FTI,4.059189355066961,4.059189355066961,5.590859321046802,3,0.1183097060467131,0.11987244615601544,0.1659752681338186,0.040888772022087815,-0.04261413659949009,True
AMAT,5.661380906366559,5.661380906366559,4.622427875451411,2,0.11773103140889865,0.128989469585171,0.16585870541137263,0.02929651054301163,-0.031042728673937647,True
AMG,inf,12.0,7.77064964389495,2,0.11503447410554284,0.11615929389784774,0.11611786702373386,0.0,-0.0006000000000000449,True
TMO,inf,12.0,4.439667901119788,2,0.11414519887601277,0.11255873519872384,0.11366948991682949,0.0,-0.000600000000000156,True
