ticker,profit_factor,num_trades,ticker_score,total_return,gross_profit,gross_loss,maxdd
PALL,inf,14,0.28716283893949085,0.05134149108860653,0.0681536904114779,0.0,-0.011931845613292746
bidu,inf,13,0.2853032812953221,0.05546455147442497,0.07044198297943002,0.0,-0.007176287455910146
GLSI,inf,11,0.2808945746101011,0.08070146361002095,0.09449645891120259,0.0,-0.004789932086932902
NKE,inf,11,0.28012435228756594,0.07796736774618385,0.08908945558074943,0.0,-0.002397840863870626
LMT,inf,10,0.27893465046052357,0.10855890931084988,0.11738508530248758,0.0,-0.002397840863870737
SBGI,inf,12,0.2783641219655669,0.047870135576181694,0.0617239570601611,0.0,-0.002397840863870515
ENVA,inf,10,0.27723141106856886,0.10221451107963953,0.11297036855671233,0.0,-0.004789932086932902
REGN,inf,12,0.2751135945645589,0.03679255106570145,0.05124050307224329,0.0,-0.008367318494426734
INCY,inf,10,0.2733021489722154,0.08766254098077186,0.09772772075958794,0.0,-0.002397840863870626
EQNR,inf,13,0.271937699664604,0.010808855518146032,0.026484020754002503,0.0,-0.004789932086932791
SCHD,inf,13,0.2719069271005995,0.010706792801240539,0.02642533649237689,0.0,-0.0073293532580192
MD,inf,11,0.2714267098138686,0.04732885254018382,0.06054835461248568,0.0,-0.0066322685144259985
F,inf,10,0.271308533664314,0.0803213940717491,0.09214496297107572,0.0,-0.0043123324670369945
RDVT,inf,11,0.27032444269976713,0.043474088995725246,0.05662301844622436,0.0,-0.0051027469830098315
AMAT,inf,10,0.26949765923012886,0.07367620553045762,0.08559865807264075,0.0,-0.002397840863870737
LUV,inf,11,0.2648187668294141,0.024301332469706782,0.03745810573262743,0.0,-0.0035946043180566933
MRK,inf,12,0.2645091837424432,0.0009382735651648488,0.01538792148736419,0.0,-0.008367318494426401
JKHY,inf,11,0.26446817317611004,0.02308469126678747,0.036291261414985114,0.0,-0.004789932086932569
NVDA,inf,10,0.2642264564732603,0.054448240792844604,0.0661017510971907,0.0,-0.006674896425296173
SNOW,inf,8,0.2637986198984008,0.15071998419732524,0.15409021141981374,0.0,-0.0035946043180564713
PLAB,inf,11,0.2632437814381609,0.01883944835673579,0.03205952147043166,0.0,-0.004789932086932569
HCA,inf,11,0.26208710908598454,0.01483408887981219,0.028129734550439288,0.0,-0.0059838258928037735
BFH,inf,9,0.2598541803822386,0.08122857472772083,0.09048601925935253,0.0,-0.002397840863870515
PBR,inf,10,0.2586491306450457,0.03426938019068304,0.04668481591016047,0.0,-0.00792210996834286
SU,inf,11,0.25819980380096824,0.001406451285062893,0.014683806798545604,0.0,-0.009210436606400418
BLD,inf,10,0.25780474134159503,0.031227528978784225,0.043035379114920794,0.0,-0.0035946043180568044
TAN,inf,10,0.2573209004573591,0.029485971905109043,0.041323652132606345,0.0,-0.00478993208693268
CRS,inf,11,0.25662857315432436,-0.004007571696479473,0.009216662576954998,0.0,-0.010745095860090315
GM,inf,9,0.2563411349298935,0.06777255216918787,0.0789839018866038,0.0,-0.004789932086932902
MAR,inf,10,0.2560347642644386,0.02486156420027208,0.036762837321009184,0.0,-0.002397840863870626
IQV,inf,10,0.2556666227029552,0.02353917610955758,0.03550254136443441,0.0,-0.0035946043180566933
JNJ,inf,10,0.25461399177542543,0.019761135683669107,0.031982196677804685,0.0,-0.0075501786500712376
NDAQ,inf,10,0.2544833984644629,0.019292729828248145,0.03137238984894207,0.0,-0.00478993208693268
CNQ,inf,11,0.2541237825983867,-0.012624257577115161,0.0004994656941717722,0.0,-0.012624257577115161
LLY,inf,10,0.25350159272909323,0.015773380959985817,0.02784609547606822,0.0,-0.007176287455910368
REMX,inf,10,0.2524612621891983,0.01204826452426655,0.024269692359879604,0.0,-0.008367318494426623
FDN,inf,10,0.25034938880681995,0.004498302284003941,0.016564747396744354,0.0,-0.006718570655798284
M,inf,9,0.24893088883342704,0.03964868000207211,0.05020601729309342,0.0,-0.0031601888745379503
TEVA,inf,8,0.24783003630538117,0.08480352176522366,0.09414883039787372,0.0,-0.0035946043180568044
AEM,inf,10,0.24770592550737697,-0.004931168945171871,0.007083340614913651,0.0,-0.010472525686368805
FROG,inf,9,0.24716652145087079,0.03299799145013105,0.04356633064454791,0.0,-0.00467791468591805
ALNY,inf,8,0.24694020355713175,0.081202154488077,0.09036504352630376,0.0,-0.004789932086932791
BLOK,inf,9,0.24673920596142287,0.0313896139871368,0.042009145696334814,0.0,-0.0035946043180570264
NFLX,inf,9,0.24632419525741012,0.029828406716809974,0.04039957793122031,0.0,-0.0035946043180564713
AMG,inf,8,0.24516859484148326,0.07405102836778688,0.0826461076822435,0.0,-0.002397840863870626
EGO,inf,9,0.24482855016785313,0.024208819729004682,0.03489029858065907,0.0,-0.0035946043180568044
IBM,inf,9,0.244801721690803,0.024108112028758732,0.03483959473750889,0.0,-0.005983825892804107
ARKF,inf,9,0.24407960020525848,0.02139866210492225,0.03238865157057439,0.0,-0.005967452851274646
ABBV,inf,9,0.2435633676667711,0.019463142675401945,0.030323896858933493,0.0,-0.004789932086932791
AAPL,inf,9,0.24309078314955584,0.01769228916202592,0.028547699345690444,0.0,-0.005983825892804218
MLI,inf,9,0.2415128230586067,0.01178620293825583,0.02277602941775199,0.0,-0.007176287455910035
ANDE,inf,9,0.24035722844160853,0.007467318255196087,0.018287525844612882,0.0,-0.004789932086932569
JPM,inf,9,0.24024390480408805,0.00704406320013784,0.017884191871582533,0.0,-0.0042203679008306905
MDT,inf,9,0.23873945099173668,0.0014295482103334756,0.012263015584736109,0.0,-0.007176287455910146
