Open,High,Low,Close,Volume
148.93,149.29,148.81,149.155,34577.0
149.165,149.225,148.15,148.585,95279.0
148.615,149.03,148.38,148.99,54322.0
149.0,149.29,148.74,149.01,41718.0
148.97,149.205,148.855,149.16,33794.0
149.135,149.15,148.905,149.095,24385.0
149.09,149.15,148.83,148.915,67648.0
149.83,150.04,149.45,149.78,44467.0
149.78,149.805,148.925,148.98,64921.0
149.005,149.61,148.91,149.56,24232.0
149.54,149.655,149.42,149.54,22380.0
149.42,149.9,149.42,149.85,24579.0
149.77,149.88,149.695,149.805,27670.0
149.79,150.02,149.63,149.905,54931.0
150.135,150.52,150.02,150.37,37543.0
150.47,150.79,150.145,150.78,120507.0
150.785,151.07,150.61,150.97,35854.0
150.925,151.1,150.815,150.945,33005.0
150.98,151.155,150.95,151.11,24626.0
151.12,151.245,150.915,150.97,33648.0
150.96,151.09,150.52,150.71,96978.0
150.025,150.16,149.645,150.06,38983.0
150.07,150.61,149.93,150.42,32703.0
150.415,150.47,150.02,150.105,18938.0
150.115,150.345,149.87,150.32,11046.0
150.255,150.37,150.15,150.26,14705.0
150.28,150.455,150.085,150.45,23299.0
150.385,150.42,150.02,150.19,83753.0
150.26,150.59,149.935,150.345,43828.0
150.345,150.91,150.29,150.45,55823.0
150.41,150.69,150.12,150.435,33998.0
150.425,150.63,150.3,150.61,12836.0
150.6,150.925,150.6,150.86,19508.0
150.875,151.075,150.83,151.03,14153.0
151.01,151.12,150.935,151.03,70555.0
151.38,151.465,150.62,150.68,35603.0
150.665,151.045,150.485,150.52,75595.0
150.605,150.895,150.38,150.445,36742.0
150.46,150.57,150.02,150.03,28340.0
150.07,150.34,149.88,150.34,29709.0
150.305,150.65,150.225,150.245,42152.0
150.2,150.43,149.87,149.89,78763.0
150.25,150.43,149.42,149.435,49269.0
149.44,149.88,149.25,149.515,80987.0
149.49,149.755,148.41,149.42,57771.0
149.44,149.74,149.285,149.735,26599.0
149.76,149.955,149.76,149.86,20391.0
149.865,150.275,149.84,150.275,11431.0
150.255,150.515,150.255,150.415,48549.0
151.04,151.965,150.98,151.69,47650.0
151.735,151.78,150.82,150.99,57937.0
151.04,151.54,150.965,151.24,26406.0
151.2,151.295,150.935,151.115,26230.0
151.14,151.61,151.115,151.55,17741.0
151.53,151.83,151.46,151.81,17630.0
151.805,151.92,151.66,151.78,80084.0
152.4,152.47,152.07,152.22,53464.0
152.26,152.38,151.64,151.65,147063.0
151.675,151.885,151.605,151.885,24476.0
151.885,151.92,151.13,151.13,31696.0
151.16,151.19,150.815,151.005,24794.0
151.015,151.285,151.0,151.18,25317.0
151.205,151.54,151.09,151.45,53440.0
151.71,151.745,151.13,151.635,39510.0
151.63,151.84,151.37,151.75,40243.0
151.735,152.02,151.72,151.89,16039.0
151.85,151.88,151.58,151.78,14835.0
151.825,151.93,151.64,151.71,22963.0
151.68,151.77,151.35,151.35,14295.0
151.32,151.32,150.595,150.64,58821.0
150.07,150.545,149.85,149.97,59125.0
149.975,150.61,149.72,150.6,70752.0
150.59,150.755,150.23,150.455,103555.0
150.455,150.7,150.175,150.675,84905.0
150.66,151.03,150.575,150.87,19348.0
150.855,151.31,150.79,151.2,34178.0
151.17,151.25,151.0,151.0,62191.0
152.28,153.095,152.105,152.58,55106.0
152.545,152.96,152.46,152.81,78450.0
152.84,153.31,152.73,153.2,32908.0
153.225,153.66,153.225,153.38,27113.0
153.41,153.545,153.26,153.42,27077.0
153.48,153.71,153.435,153.615,54891.0
153.58,153.8,153.58,153.65,61982.0
153.545,154.11,153.1,154.065,35913.0
154.095,154.5,154.075,154.345,61957.0
