number,value,datetime_start,datetime_complete,duration,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
441,3.4066782397143367,2026-01-05 04:14:21.208599,2026-01-05 04:14:21.311274,0 days 00:00:00.102675,69,2.1890027047918235,2.408957504633346,5.895907401620516,1.804704563265198,COMPLETE
454,3.4066782397143367,2026-01-05 04:14:24.244044,2026-01-05 04:14:24.351154,0 days 00:00:00.107110,69,2.6399469075718613,2.272898164984414,5.857084709992649,2.5926813785281317,COMPLETE
67,3.4066782397143367,2026-01-05 04:12:59.162036,2026-01-05 04:12:59.263126,0 days 00:00:00.101090,69,2.4089819674195403,4.36978838724288,3.130432575697048,2.7490927375419787,COMPLETE
387,3.4066782397143367,2026-01-05 04:14:09.564917,2026-01-05 04:14:09.687041,0 days 00:00:00.122124,69,3.465224658189433,3.921419698099245,3.0376857364092764,3.1632461899267046,COMPLETE
427,3.4066782397143367,2026-01-05 04:14:18.089650,2026-01-05 04:14:18.192754,0 days 00:00:00.103104,69,2.4385730310180964,2.25193712808103,5.681309636518612,2.118874269897734,COMPLETE
424,3.4066782397143367,2026-01-05 04:14:17.480106,2026-01-05 04:14:17.581492,0 days 00:00:00.101386,69,2.842872324916742,2.9079438482196167,5.942860053782306,2.0717718388868556,COMPLETE
318,3.4066782397143367,2026-01-05 04:13:54.500597,2026-01-05 04:13:54.597702,0 days 00:00:00.097105,69,3.6128425452501967,3.80514983394088,5.702395749608737,1.6229811885641605,COMPLETE
493,3.4066782397143367,2026-01-05 04:14:33.103021,2026-01-05 04:14:33.202402,0 days 00:00:00.099381,69,2.681257475761583,4.142035094959246,3.205616715431706,2.6955427415595365,COMPLETE
172,3.4066782397143367,2026-01-05 04:13:22.111739,2026-01-05 04:13:22.210625,0 days 00:00:00.098886,69,2.269745718313322,3.564624509383872,3.254001208286908,3.2237549257636045,COMPLETE
236,3.4066782397143367,2026-01-05 04:13:35.761808,2026-01-05 04:13:35.857043,0 days 00:00:00.095235,69,3.696368909959161,3.76619043171129,3.5133567751725714,3.0181909492234933,COMPLETE
251,3.4066782397143367,2026-01-05 04:13:39.068900,2026-01-05 04:13:39.171569,0 days 00:00:00.102669,69,3.7616587508636545,4.122371959720743,3.236169652880668,2.9458966029159663,COMPLETE
224,3.4066782397143367,2026-01-05 04:13:33.168799,2026-01-05 04:13:33.285792,0 days 00:00:00.116993,69,2.762048828792619,3.8635313611893136,3.1176395866998226,2.9676333342257744,COMPLETE
229,3.4066782397143367,2026-01-05 04:13:34.282498,2026-01-05 04:13:34.393676,0 days 00:00:00.111178,69,2.9057981986655905,3.588090193463317,3.0426491362898154,2.6690710233606407,COMPLETE
132,3.4066782397143367,2026-01-05 04:13:13.164588,2026-01-05 04:13:13.263106,0 days 00:00:00.098518,69,3.29504370977534,2.720799221378455,5.0162119051680545,2.159367639489777,COMPLETE
363,3.4066782397143367,2026-01-05 04:14:04.449710,2026-01-05 04:14:04.563384,0 days 00:00:00.113674,69,2.5120623210354456,3.9686943339527265,3.8667630287454693,3.472581343031655,COMPLETE
309,3.4066782397143367,2026-01-05 04:13:52.554620,2026-01-05 04:13:52.652817,0 days 00:00:00.098197,69,3.416134366169967,3.843850778500429,5.548061752479894,1.8385452852029958,COMPLETE
94,3.4066782397143367,2026-01-05 04:13:04.970427,2026-01-05 04:13:05.066499,0 days 00:00:00.096072,69,2.4121136758417543,3.3074468360595772,3.207189698448001,3.3870542578715095,COMPLETE
39,3.4019500686644815,2026-01-05 04:12:52.975679,2026-01-05 04:12:53.072543,0 days 00:00:00.096864,70,2.3879371150145965,3.6743878636924303,3.2591644783263947,2.8491211291029317,COMPLETE
342,3.4019500686644815,2026-01-05 04:13:59.726953,2026-01-05 04:13:59.826888,0 days 00:00:00.099935,70,2.8624789474026957,3.7268561689176076,5.5503932310071535,1.6629102224053436,COMPLETE
85,3.4019500686644815,2026-01-05 04:13:03.139240,2026-01-05 04:13:03.235741,0 days 00:00:00.096501,70,2.3141887872218043,3.4430026161573988,3.0123773342799445,3.0879926490846,COMPLETE
