number,value,datetime_start,datetime_complete,duration,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,state
0,-10.0,2026-01-01 19:19:59.063707,2026-01-01 19:20:05.316746,0 days 00:00:06.253039,14,47,1.2580836121681995,5,32,8,2.3260289895074155,11,COMPLETE
1,-10.0,2026-01-01 19:20:05.450766,2026-01-01 19:20:05.557217,0 days 00:00:00.106451,16,50,1.3818249672071006,6,22,7,1.438425862809464,15,COMPLETE
2,-10.0,2026-01-01 19:20:05.672618,2026-01-01 19:20:05.757675,0 days 00:00:00.085057,14,47,1.492144648535218,4,28,6,1.676270396281799,14,COMPLETE
3,-10.0,2026-01-01 19:20:05.900459,2026-01-01 19:20:05.993024,0 days 00:00:00.092565,15,42,1.8075448519014383,5,24,7,1.421681360793479,14,COMPLETE
4,-10.0,2026-01-01 19:20:06.110330,2026-01-01 19:20:06.383192,0 days 00:00:00.272862,12,44,1.884233026512157,6,35,8,1.7721982418614817,12,COMPLETE
5,-10.0,2026-01-01 19:20:06.518350,2026-01-01 19:20:06.621180,0 days 00:00:00.102830,12,73,1.511711076089411,6,22,5,1.876088427531154,11,COMPLETE
6,-10.0,2026-01-01 19:20:06.726525,2026-01-01 19:20:06.819831,0 days 00:00:00.093306,15,85,1.7978999788110852,6,35,4,2.398436505530052,16,COMPLETE
7,-10.0,2026-01-01 19:20:06.927420,2026-01-01 19:20:07.012443,0 days 00:00:00.085023,12,53,2.0287375091519295,4,22,4,1.663779324701666,12,COMPLETE
8,-10.0,2026-01-01 19:20:07.126831,2026-01-01 19:20:07.213640,0 days 00:00:00.086809,13,90,1.9722447692966576,6,23,6,1.458330385994424,10,COMPLETE
9,-10.0,2026-01-01 19:20:07.368591,2026-01-01 19:20:07.452001,0 days 00:00:00.083410,12,43,1.5584657285442727,5,31,7,1.3506297773826685,15,COMPLETE
