number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
479,4.481494460295076,2026-01-05 23:49:42.927019,2026-01-05 23:49:43.068930,0 days 00:00:00.141911,26,10,71,2.1877030086788567,20,9,11,3,2.645304699678716,34,4,9,5.422745048641776,2.1469303077349906,COMPLETE
325,4.466286800971474,2026-01-05 23:49:03.641930,2026-01-05 23:49:03.940737,0 days 00:00:00.298807,27,9,71,3.4957469117197646,13,8,11,3,3.3005139190846373,37,5,5,3.5258421285851895,2.4977942385690586,COMPLETE
268,4.451595741246008,2026-01-05 23:48:48.892994,2026-01-05 23:48:49.036593,0 days 00:00:00.143599,30,10,71,3.946531586285451,13,10,11,3,2.867146792683329,40,5,10,4.393889885357208,2.242674515967628,COMPLETE
442,4.434279976738279,2026-01-05 23:49:33.878367,2026-01-05 23:49:34.029194,0 days 00:00:00.150827,29,9,72,3.8177358215437347,17,7,11,3,3.9029316337866007,34,4,8,3.932489193333113,2.485656057204878,COMPLETE
468,4.419472785972438,2026-01-05 23:49:40.288779,2026-01-05 23:49:40.432836,0 days 00:00:00.144057,24,9,68,2.438710800915259,19,7,11,3,2.480870510742657,32,5,9,5.830223631017787,2.5391570374318344,COMPLETE
226,4.4058887982232084,2026-01-05 23:48:38.666410,2026-01-05 23:48:38.812483,0 days 00:00:00.146073,30,9,67,3.63448288502729,9,8,11,3,3.5695702551940456,34,5,8,3.841962398016352,2.2176092466519273,COMPLETE
453,4.403781312084415,2026-01-05 23:49:36.570603,2026-01-05 23:49:36.720135,0 days 00:00:00.149532,26,10,71,2.567401131754691,6,7,13,3,2.437833394650461,31,4,8,4.779272650343358,2.964207186777002,COMPLETE
393,4.38703405507712,2026-01-05 23:49:21.323362,2026-01-05 23:49:21.483139,0 days 00:00:00.159777,30,11,71,3.680327857537843,13,10,12,3,2.6198699397318475,43,5,10,4.57352714861383,2.2748471722314147,COMPLETE
230,4.371535343291855,2026-01-05 23:48:39.724553,2026-01-05 23:48:39.882143,0 days 00:00:00.157590,28,10,61,3.132941486607824,10,8,11,3,2.95842188415684,33,5,4,3.417325110431992,2.1986692213628105,COMPLETE
255,4.3698307954795625,2026-01-05 23:48:45.832141,2026-01-05 23:48:45.977909,0 days 00:00:00.145768,29,9,69,3.8634695280500138,14,9,14,3,4.042035222942205,35,4,9,3.9526406258857065,2.5750371269493204,COMPLETE
392,4.36971338334306,2026-01-05 23:49:20.999886,2026-01-05 23:49:21.150084,0 days 00:00:00.150198,30,9,68,3.8696098236347147,13,10,12,3,2.9439972789537077,39,4,10,3.6650393844701417,2.259070838215401,COMPLETE
371,4.35818758455669,2026-01-05 23:49:15.631195,2026-01-05 23:49:15.775872,0 days 00:00:00.144677,29,10,64,3.85159298852736,15,6,12,3,3.9422416761564394,33,5,6,4.305262193603209,2.3384019389307427,COMPLETE
237,4.351434624576917,2026-01-05 23:48:41.421500,2026-01-05 23:48:41.566445,0 days 00:00:00.144945,29,9,69,2.885257981338815,9,9,13,4,3.902669961748514,30,5,6,4.060095474041888,2.433212417537739,COMPLETE
457,4.3494654434226225,2026-01-05 23:49:37.588122,2026-01-05 23:49:37.741271,0 days 00:00:00.153149,19,9,61,2.094669193618921,18,10,11,3,2.715217738756879,32,4,10,5.197888236224593,2.820391744103004,COMPLETE
220,4.348353305683676,2026-01-05 23:48:37.342674,2026-01-05 23:48:37.503781,0 days 00:00:00.161107,28,9,67,3.938530233032293,14,10,12,3,2.8802131685120487,41,5,9,4.3546531224623335,1.9708990374817645,COMPLETE
134,4.3438193411281665,2026-01-05 23:48:16.873490,2026-01-05 23:48:17.011507,0 days 00:00:00.138017,30,10,71,3.8812753817623653,7,10,13,3,4.205541027711783,35,5,10,4.767792833814706,1.6491716698918228,COMPLETE
424,4.337542830544719,2026-01-05 23:49:29.312724,2026-01-05 23:49:29.457331,0 days 00:00:00.144607,29,10,63,3.973704419557472,13,10,11,3,3.456721360827132,41,5,9,4.760356785106814,2.476654325475507,COMPLETE
249,4.333071568689781,2026-01-05 23:48:44.380588,2026-01-05 23:48:44.540812,0 days 00:00:00.160224,30,9,58,2.4318135043860796,6,8,12,3,2.367095224870339,31,4,8,4.478480355846949,2.7543431733697017,COMPLETE
454,4.333071568689781,2026-01-05 23:49:36.817402,2026-01-05 23:49:36.961898,0 days 00:00:00.144496,24,9,63,2.2430007770518783,19,8,12,3,2.7780868058274164,32,4,10,5.55503726498159,2.534376195339605,COMPLETE
427,4.331188114946916,2026-01-05 23:49:30.077961,2026-01-05 23:49:30.225255,0 days 00:00:00.147294,22,10,58,2.3971206848115254,16,9,13,3,2.6393680756308635,34,4,10,5.770849655257077,2.94036783091007,COMPLETE
287,4.323416828930631,2026-01-05 23:48:53.576195,2026-01-05 23:48:53.717247,0 days 00:00:00.141052,29,9,68,3.165239340314888,12,7,12,4,3.0270805085206796,30,5,4,3.4617791172573105,2.0310549562092937,COMPLETE
492,4.319683564904296,2026-01-05 23:49:46.050190,2026-01-05 23:49:46.194535,0 days 00:00:00.144345,30,11,63,2.0742225737094917,20,8,12,3,2.6333708805481466,30,4,10,4.9888712285719485,2.917071378123305,COMPLETE
372,4.318991294695289,2026-01-05 23:49:15.870256,2026-01-05 23:49:16.074769,0 days 00:00:00.204513,28,9,60,3.7389197689144003,9,10,13,3,4.0624424030071715,38,4,5,5.837937361269733,2.9106912907974536,COMPLETE
317,4.3163950911553615,2026-01-05 23:49:01.185857,2026-01-05 23:49:01.349866,0 days 00:00:00.164009,29,9,62,2.89062669041462,9,8,13,3,2.4546123947952205,32,5,9,3.3501231157035063,3.241173490772991,COMPLETE
258,4.315159397404939,2026-01-05 23:48:46.528397,2026-01-05 23:48:46.669150,0 days 00:00:00.140753,28,9,60,3.6656816936874805,15,9,12,3,3.6955016364671476,30,4,10,4.255526985349352,2.6423937747943125,COMPLETE
315,4.315159397404939,2026-01-05 23:49:00.638152,2026-01-05 23:49:00.794844,0 days 00:00:00.156692,29,9,61,3.7241950948320497,15,9,12,3,3.2748422024442965,30,4,9,5.058931458440844,2.663469270515094,COMPLETE
190,4.315129182215456,2026-01-05 23:48:30.355457,2026-01-05 23:48:30.510800,0 days 00:00:00.155343,30,10,68,2.7387707981237526,9,8,12,4,3.060315285569238,31,5,8,4.961493071617439,3.114118406027703,COMPLETE
147,4.31478672566926,2026-01-05 23:48:20.049248,2026-01-05 23:48:20.194430,0 days 00:00:00.145182,29,10,71,3.8246000133512137,9,10,13,3,3.5923253074612123,37,5,10,4.345311383231707,1.6847579027010309,COMPLETE
246,4.314276519926478,2026-01-05 23:48:43.594464,2026-01-05 23:48:43.742860,0 days 00:00:00.148396,29,9,72,3.975512910308256,11,10,12,3,3.764232917766535,41,4,9,4.488512202029929,2.4227820980758445,COMPLETE
398,4.312421480167917,2026-01-05 23:49:22.648158,2026-01-05 23:49:22.792653,0 days 00:00:00.144495,26,9,72,3.1233495926756425,17,9,11,5,3.071143885709221,30,4,8,5.506741707401655,2.6468386876635326,COMPLETE
443,4.307051693713098,2026-01-05 23:49:34.132716,2026-01-05 23:49:34.281566,0 days 00:00:00.148850,30,10,67,3.9544112101039115,14,10,12,3,2.3583048704924146,40,5,9,4.254736560538204,1.6599311942907835,COMPLETE
213,4.301962902290598,2026-01-05 23:48:35.638000,2026-01-05 23:48:35.799519,0 days 00:00:00.161519,29,9,66,3.9513749187941896,13,10,11,3,3.2820828265886877,39,4,10,4.6780902552876915,1.8262282121744988,COMPLETE
418,4.298924221222517,2026-01-05 23:49:27.864726,2026-01-05 23:49:28.007907,0 days 00:00:00.143181,30,10,66,3.446753115546056,13,10,11,3,3.2463381687168833,41,4,10,3.274875540722756,2.7079367549174598,COMPLETE
