number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_median_length,params_min_period,params_sigmoid_margin,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,params_trim_percent,state
1689,3.2443099454587716,2026-01-06 21:33:21.442725,2026-01-06 21:33:21.628764,0 days 00:00:00.186039,30,8,38,2.812404727043899,8,10,14,17,5,0.2363512533132801,2.5453207020963022,30,3,9,4.833649351579042,1.839222386068042,0.16202867508452268,COMPLETE
1783,3.2443099454587716,2026-01-06 21:33:51.097556,2026-01-06 21:33:51.256592,0 days 00:00:00.159036,15,9,39,2.1012633882389804,12,10,16,12,3,0.2780842547326533,2.949144835380052,33,3,9,3.8015715607292835,1.8801851245571313,0.20675867259968467,COMPLETE
641,3.2060063440607554,2026-01-06 21:27:58.029090,2026-01-06 21:27:58.183000,0 days 00:00:00.153910,16,13,39,3.4271265666817525,5,10,16,13,3,0.1755238169179687,2.950126196744166,30,1,8,3.840422200826591,2.99309285269289,0.2836868641380786,COMPLETE
706,3.2060063440607554,2026-01-06 21:28:15.981538,2026-01-06 21:28:16.177198,0 days 00:00:00.195660,16,12,38,3.656660104879661,6,10,15,11,4,0.11827349597582712,2.7510460624247366,31,3,8,3.281634112122571,3.1286279969723707,0.19599003661238537,COMPLETE
1920,3.2060063440607554,2026-01-06 21:34:36.249297,2026-01-06 21:34:36.411245,0 days 00:00:00.161948,18,10,38,2.153764127020209,11,10,14,13,5,0.18947087816577354,3.091353934996085,30,4,10,3.295374076100466,1.5697160280516504,0.0943548865084205,COMPLETE
965,3.2060063440607554,2026-01-06 21:29:33.833824,2026-01-06 21:29:33.993013,0 days 00:00:00.159189,29,10,38,2.927563424192609,13,7,13,11,5,0.20649015573162374,3.033915241885318,34,3,6,5.026596808136625,3.4699134808398924,0.05964361092627084,COMPLETE
890,3.2060063440607554,2026-01-06 21:29:11.631879,2026-01-06 21:29:11.789246,0 days 00:00:00.157367,16,9,39,2.4443652641401035,7,9,14,12,5,0.20769027586347952,2.5657733567405505,31,5,8,3.711143864396636,1.5347076208556554,0.08073275978535027,COMPLETE
1633,3.2060063440607554,2026-01-06 21:33:03.646586,2026-01-06 21:33:03.843246,0 days 00:00:00.196660,10,11,39,2.4189724744330365,7,10,16,19,3,0.2978193053956267,2.686103283130114,31,4,7,3.391540319712494,1.6695172566688532,0.1091720001179533,COMPLETE
746,3.2060063440607554,2026-01-06 21:28:28.094973,2026-01-06 21:28:28.255622,0 days 00:00:00.160649,23,12,38,3.879506875849127,7,8,15,10,4,0.1743145312473816,3.5094320828692545,34,4,7,4.649273147107212,2.8877013660762856,0.27009268620919374,COMPLETE
1786,3.2060063440607554,2026-01-06 21:33:52.044366,2026-01-06 21:33:52.202344,0 days 00:00:00.157978,10,11,38,2.0520514737805406,12,9,16,13,3,0.28309539102857356,2.946957773419176,31,4,7,3.905730910611712,2.1684782968515504,0.16489137379279775,COMPLETE
538,3.2060063440607554,2026-01-06 21:27:28.453978,2026-01-06 21:27:28.599748,0 days 00:00:00.145770,14,11,39,3.977998774662245,5,10,14,12,4,0.19272324956478804,2.9394581018249744,31,2,8,3.8313114947493156,2.845960663073539,0.24855617718643253,COMPLETE
1884,3.2060063440607554,2026-01-06 21:34:23.698860,2026-01-06 21:34:23.862187,0 days 00:00:00.163327,18,10,38,2.2158800291241145,10,10,14,12,4,0.2315973488117024,3.049569630396931,30,5,10,3.0645145072927082,1.5736937038961831,0.1375559217040715,COMPLETE
963,3.1974095635916178,2026-01-06 21:29:33.237741,2026-01-06 21:29:33.395831,0 days 00:00:00.158090,30,8,31,2.7567416815716435,7,6,15,10,3,0.2242542081475947,3.3976121083666126,34,4,6,5.092588471442405,3.1938905050229414,0.026943246059031332,COMPLETE
1781,3.1974095635916178,2026-01-06 21:33:50.426213,2026-01-06 21:33:50.618582,0 days 00:00:00.192369,14,8,33,2.1791073040124025,9,9,15,13,3,0.29522030877914124,3.4341131531560825,33,4,8,3.283721242270217,1.8919025761492276,0.1288034858784603,COMPLETE
1421,3.1974095635916178,2026-01-06 21:31:57.591860,2026-01-06 21:31:57.745725,0 days 00:00:00.153865,16,8,32,2.150068513393117,6,9,15,13,3,0.2636044384919119,3.158708725054471,30,4,10,3.5734741988990315,1.9380876976868822,0.09370111309526016,COMPLETE
900,3.197331126964882,2026-01-06 21:29:14.562905,2026-01-06 21:29:14.748968,0 days 00:00:00.186063,12,8,39,2.421014567474744,6,10,14,13,4,0.2567695067617927,2.966999797656543,32,5,8,4.40742576472341,1.5401963521404447,0.12682080125327466,COMPLETE
879,3.197331126964882,2026-01-06 21:29:08.527124,2026-01-06 21:29:08.667014,0 days 00:00:00.139890,11,9,39,2.541004424003188,7,8,14,11,4,0.20733842734318658,2.07657491702755,31,5,7,4.114086657705359,1.6025624392511957,0.14460061581040026,COMPLETE
1649,3.197331126964882,2026-01-06 21:33:08.720855,2026-01-06 21:33:08.880206,0 days 00:00:00.159351,28,9,38,2.7302192859296435,8,10,14,17,4,0.2607300286082482,2.875907018672243,30,4,8,4.10558120090409,1.5784400025078973,0.2118583095010338,COMPLETE
1745,3.197331126964882,2026-01-06 21:33:39.329398,2026-01-06 21:33:39.496176,0 days 00:00:00.166778,13,8,38,2.115825251448978,8,9,16,13,4,0.297765173414314,3.104478376704193,32,4,9,3.301866003909163,2.082195647274803,0.08505487085383749,COMPLETE
