number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
247,1.0009723158787767,2026-01-02 15:07:26.636673,2026-01-02 15:07:27.765464,0 days 00:00:01.128791,20,16,38,2.759530401764374,7,8,28,3,2.569262626264144,45,3,3,4.4130414543559615,2.1722515445373562,COMPLETE
175,0.9765402656643308,2026-01-02 15:06:12.119035,2026-01-02 15:06:12.996313,0 days 00:00:00.877278,20,19,42,2.080774050689091,10,5,36,3,2.995192765745082,45,3,10,4.974824471121537,2.9950010630434196,COMPLETE
310,0.9764592984631147,2026-01-02 15:08:28.973783,2026-01-02 15:08:30.288632,0 days 00:00:01.314849,16,20,40,1.5837381864280462,5,9,25,10,2.8637004702943165,45,4,9,2.5530997037787437,1.4728180757726759,COMPLETE
373,0.9703822315599624,2026-01-02 15:09:32.158957,2026-01-02 15:09:33.056166,0 days 00:00:00.897209,18,20,34,2.0618455121820016,3,8,26,9,3.931095654897076,45,3,8,4.438333219910298,1.7724630025015615,COMPLETE
319,0.9685939022952668,2026-01-02 15:08:38.910994,2026-01-02 15:08:39.857694,0 days 00:00:00.946700,20,19,44,2.2209286531784844,8,10,20,10,2.405576654462762,44,4,6,3.8061036547589415,1.3420145083751005,COMPLETE
107,0.9663095380405273,2026-01-02 15:05:02.711204,2026-01-02 15:05:03.721409,0 days 00:00:01.010205,16,19,22,1.7456371191920335,4,7,25,10,3.542060246068755,45,3,8,4.138734124904027,1.838049789625466,COMPLETE
95,0.964349578511886,2026-01-02 15:04:50.474870,2026-01-02 15:04:51.354517,0 days 00:00:00.879647,15,18,28,1.9676830436498243,5,7,26,9,3.006332687773016,45,3,8,4.359021031925965,2.2153776174087465,COMPLETE
90,0.962998960926331,2026-01-02 15:04:45.464930,2026-01-02 15:04:46.328602,0 days 00:00:00.863672,13,17,28,2.159910808439789,5,6,23,10,2.870034034611697,45,4,10,4.9624534783528835,2.2330108665112456,COMPLETE
13,0.9611194805568081,2026-01-02 15:03:27.459630,2026-01-02 15:03:28.327050,0 days 00:00:00.867420,12,20,42,2.29447586753401,7,4,25,10,1.732756919514748,40,4,7,4.640255152836644,2.800836114326661,COMPLETE
386,0.9590690843043389,2026-01-02 15:09:46.302707,2026-01-02 15:09:47.243071,0 days 00:00:00.940364,16,18,29,2.876939393959645,6,9,36,7,1.6305684812968808,45,3,2,3.775248851927893,2.311062182510522,COMPLETE
285,0.9582727799258917,2026-01-02 15:08:04.521250,2026-01-02 15:08:05.417753,0 days 00:00:00.896503,19,18,45,2.1459366687989414,6,6,23,10,2.0676380035024327,41,4,6,2.5206868613042945,1.033583958910526,COMPLETE
245,0.957108549950613,2026-01-02 15:07:24.248775,2026-01-02 15:07:25.329268,0 days 00:00:01.080493,18,19,44,1.8259100476285124,6,8,23,10,2.74361278661553,45,3,8,3.665921631678516,1.2340434590783818,COMPLETE
129,0.9569547489216118,2026-01-02 15:05:26.272947,2026-01-02 15:05:27.177288,0 days 00:00:00.904341,20,18,29,2.8024981009994785,7,9,29,6,2.2078715021805033,45,3,1,4.1349705373128876,2.595603924968793,COMPLETE
238,0.9569328413480003,2026-01-02 15:07:16.689150,2026-01-02 15:07:17.644023,0 days 00:00:00.954873,20,18,35,1.8303393114800421,8,10,23,10,2.470375446094757,45,3,7,2.8738418596916646,1.3370560975211854,COMPLETE
151,0.9568583336286668,2026-01-02 15:05:48.642998,2026-01-02 15:05:49.684389,0 days 00:00:01.041391,17,18,33,1.9695718762626229,7,10,22,10,2.9636059217735857,45,3,7,3.4791424831870237,1.143402009159319,COMPLETE
384,0.9564035958126885,2026-01-02 15:09:44.285803,2026-01-02 15:09:45.226143,0 days 00:00:00.940340,14,16,35,2.3467829174324057,7,1,23,10,2.2032302914855197,45,3,10,4.984067360057501,2.987240353318647,COMPLETE
119,0.9561672697584179,2026-01-02 15:05:15.937948,2026-01-02 15:05:16.844358,0 days 00:00:00.906410,19,20,28,1.8881817656469662,6,9,25,10,3.514732987403947,42,4,7,2.8089891752158773,1.1510001994173233,COMPLETE
274,0.955047706763091,2026-01-02 15:07:52.977646,2026-01-02 15:07:53.858310,0 days 00:00:00.880664,20,17,35,1.905884675288711,7,10,22,10,2.3222778241343582,43,4,9,3.018793825585843,1.847846259086895,COMPLETE
64,0.953498269957689,2026-01-02 15:04:18.839522,2026-01-02 15:04:19.782827,0 days 00:00:00.943305,17,15,35,2.2816102331168975,10,4,34,6,2.7376851629388836,45,3,10,4.268104322814474,2.76261332059531,COMPLETE
105,0.9532945154262539,2026-01-02 15:05:00.732301,2026-01-02 15:05:01.622933,0 days 00:00:00.890632,16,19,20,2.6878957133480057,7,9,25,10,3.1255785549817996,40,4,8,4.722217367722903,2.1483569217082774,COMPLETE
241,0.9525477919905122,2026-01-02 15:07:19.744536,2026-01-02 15:07:20.617193,0 days 00:00:00.872657,15,17,34,2.902250932444119,4,8,23,3,1.5917560375416557,45,1,2,4.566081110614614,1.7892169790476846,COMPLETE
329,0.9525017367356434,2026-01-02 15:08:48.815137,2026-01-02 15:08:49.721614,0 days 00:00:00.906477,14,17,45,1.6912354979769948,4,9,20,8,2.510369883413264,44,3,9,1.574076874433476,1.7995749058423371,COMPLETE
117,0.9514668786748325,2026-01-02 15:05:13.613983,2026-01-02 15:05:14.668691,0 days 00:00:01.054708,18,18,24,1.6169182043864598,5,8,28,10,3.4452894225371558,45,4,9,3.010778092227424,1.7108164901521854,COMPLETE
84,0.9507743664531538,2026-01-02 15:04:38.979910,2026-01-02 15:04:39.912010,0 days 00:00:00.932100,12,19,20,2.638739945446207,6,6,23,10,2.365565385607688,41,4,6,4.829524055413325,2.1003235820276975,COMPLETE
365,0.9506034328469473,2026-01-02 15:09:23.934264,2026-01-02 15:09:24.860020,0 days 00:00:00.925756,16,16,28,2.746164270983981,4,9,21,3,1.6221797887356528,43,1,2,4.391230716163205,2.196947596289266,COMPLETE
281,0.9500994096415994,2026-01-02 15:08:00.109737,2026-01-02 15:08:01.102984,0 days 00:00:00.993247,17,18,51,1.8115490873782385,6,6,21,10,1.9846447136000291,45,3,6,3.259296598868438,1.4205821053264887,COMPLETE
225,0.948994396857871,2026-01-02 15:07:03.759163,2026-01-02 15:07:04.649809,0 days 00:00:00.890646,11,16,41,2.027989525542031,8,1,22,10,2.1019516126135396,44,4,10,4.608081650446057,2.954424939275013,COMPLETE
361,0.9483249411205465,2026-01-02 15:09:19.942100,2026-01-02 15:09:20.819331,0 days 00:00:00.877231,15,20,24,1.8524081284401468,2,10,22,9,3.67630965009508,44,4,6,4.733254545967563,1.9494358919307981,COMPLETE
213,0.9481254716204889,2026-01-02 15:06:50.798078,2026-01-02 15:06:51.685639,0 days 00:00:00.887561,19,20,43,1.8051672998323138,8,7,40,3,3.507601316654596,41,3,9,3.7337828804229134,2.9166878536171565,COMPLETE
388,0.9480902726319755,2026-01-02 15:09:48.407949,2026-01-02 15:09:49.398344,0 days 00:00:00.990395,15,16,27,2.8491890127003976,4,10,29,7,1.8759890126014,45,2,1,3.811967143922969,2.438376658568445,COMPLETE
336,0.9479627767904468,2026-01-02 15:08:54.266096,2026-01-02 15:08:55.140152,0 days 00:00:00.874056,15,17,51,1.7514421596422336,3,7,24,9,2.6844357001147765,45,3,7,2.3844422483600938,2.5976293574401863,COMPLETE
342,0.9477869614625151,2026-01-02 15:09:00.360628,2026-01-02 15:09:01.261050,0 days 00:00:00.900422,19,17,33,2.290163975281541,6,10,33,3,2.5671997043418453,45,3,4,4.2127903067255685,1.7191594005708324,COMPLETE
346,0.9475623064712713,2026-01-02 15:09:04.381581,2026-01-02 15:09:05.252419,0 days 00:00:00.870838,14,17,52,1.9725388152979937,4,9,22,9,2.9840995741148344,45,3,8,1.7071410546192705,1.3137974315212224,COMPLETE
190,0.94752806117911,2026-01-02 15:06:28.352104,2026-01-02 15:06:29.232309,0 days 00:00:00.880205,14,17,28,2.3174901749009265,4,2,24,9,3.5882859512275402,45,2,6,4.853809419720753,2.332530467070967,COMPLETE
334,0.9473638680069734,2026-01-02 15:08:52.298940,2026-01-02 15:08:53.197737,0 days 00:00:00.898797,15,17,38,1.9597063888955975,5,7,25,10,3.4341345682523112,43,3,9,3.4909815382061575,1.0851534644732344,COMPLETE
