number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
465,3.2654076429932695,2026-01-05 02:17:16.164785,2026-01-05 02:17:16.309641,0 days 00:00:00.144856,21,9,36,2.011227384882832,7,9,11,6,3.598471675543392,30,5,2,3.513014618963619,2.5729579559187408,COMPLETE
377,3.2578002454746695,2026-01-05 02:16:55.199177,2026-01-05 02:16:55.333645,0 days 00:00:00.134468,23,10,36,1.7625610362502302,20,9,16,4,3.81197670289254,30,5,8,4.366890258414641,1.229284990325859,COMPLETE
141,3.2578002454746695,2026-01-05 02:15:43.295951,2026-01-05 02:15:43.489313,0 days 00:00:00.193362,29,9,36,2.1090116850869483,20,10,14,5,3.7989015605753247,32,5,3,3.9146170775010676,3.2339987990792807,COMPLETE
310,3.2578002454746695,2026-01-05 02:16:35.338836,2026-01-05 02:16:35.474353,0 days 00:00:00.135517,28,10,36,2.5592888827762135,19,6,14,6,3.6519465376504376,30,5,2,3.6917011560511988,2.4435289339523147,COMPLETE
498,3.208310437715912,2026-01-05 02:17:27.031980,2026-01-05 02:17:27.193347,0 days 00:00:00.161367,22,12,36,2.6309588158691675,6,9,14,6,4.184056633897331,32,5,2,3.027859259795937,3.254553469115233,COMPLETE
495,3.208310437715912,2026-01-05 02:17:25.905224,2026-01-05 02:17:26.229964,0 days 00:00:00.324740,27,12,36,2.7686326363677427,12,6,15,5,4.424204444866883,31,5,4,3.1319710521062096,2.444314757033872,COMPLETE
320,3.208310437715912,2026-01-05 02:16:38.502601,2026-01-05 02:16:38.627231,0 days 00:00:00.124630,29,9,36,2.626644317842442,18,7,14,5,3.7813506516032085,36,5,2,4.079904281902888,2.725664205706651,COMPLETE
170,3.208310437715912,2026-01-05 02:15:51.420951,2026-01-05 02:15:51.537572,0 days 00:00:00.116621,30,11,36,2.1982565345873435,17,7,16,4,3.674440311468665,32,5,8,4.212634097929355,2.67530703973237,COMPLETE
342,3.208310437715912,2026-01-05 02:16:44.842392,2026-01-05 02:16:45.040690,0 days 00:00:00.198298,29,13,36,1.697601043580748,16,8,15,5,4.173663382955795,30,5,6,4.766691465214971,1.3915875107970166,COMPLETE
455,3.208310437715912,2026-01-05 02:17:13.682793,2026-01-05 02:17:13.817798,0 days 00:00:00.135005,28,14,36,2.258142665791513,16,7,15,5,4.473788269912414,32,5,3,3.035798911214906,1.77867245763043,COMPLETE
456,3.208310437715912,2026-01-05 02:17:13.922414,2026-01-05 02:17:14.043434,0 days 00:00:00.121020,17,9,36,2.247712443850354,7,9,12,7,3.777979549556639,35,5,2,3.806720166272984,3.2267281044430556,COMPLETE
360,3.208310437715912,2026-01-05 02:16:50.379014,2026-01-05 02:16:50.531897,0 days 00:00:00.152883,28,14,36,1.5231546968349101,16,8,15,5,3.339655307744335,32,5,3,3.6758793374899574,2.8943580573195926,COMPLETE
374,3.208310437715912,2026-01-05 02:16:54.410660,2026-01-05 02:16:54.547998,0 days 00:00:00.137338,25,10,36,2.668431484586227,12,6,12,6,3.427437388573282,35,5,3,3.271000275324977,3.1268298810456256,COMPLETE
437,3.208310437715912,2026-01-05 02:17:09.283161,2026-01-05 02:17:09.467346,0 days 00:00:00.184185,15,10,36,1.8910726852578241,20,8,15,5,3.600369805974829,32,5,8,4.089174207082119,1.5939491686511418,COMPLETE
386,3.1988767342042577,2026-01-05 02:16:57.641437,2026-01-05 02:16:57.760551,0 days 00:00:00.119114,26,9,37,2.436997158710295,8,7,15,5,4.000576985493152,31,5,2,3.1393252096021595,3.3168429186911434,COMPLETE
459,3.1988767342042577,2026-01-05 02:17:14.629670,2026-01-05 02:17:14.750395,0 days 00:00:00.120725,15,9,37,1.7369604415453626,17,7,13,6,4.293473374832443,30,5,7,4.0055017310356735,1.833821586423924,COMPLETE
467,3.193801507720079,2026-01-05 02:17:16.712029,2026-01-05 02:17:16.885952,0 days 00:00:00.173923,30,11,36,1.894791440888114,17,8,12,8,4.4151466299032345,30,5,2,3.3594237761632475,1.8663598357278341,COMPLETE
258,3.193801507720079,2026-01-05 02:16:19.530504,2026-01-05 02:16:19.668851,0 days 00:00:00.138347,28,10,36,1.79860436514059,7,7,15,7,2.2578053296026757,30,5,8,3.688595602606509,3.0125403904723087,COMPLETE
411,3.193801507720079,2026-01-05 02:17:03.322248,2026-01-05 02:17:03.443360,0 days 00:00:00.121112,22,9,36,2.3106192049117835,5,8,13,7,4.395443111154584,30,5,2,3.138619286996546,3.2999597824554976,COMPLETE
452,3.193801507720079,2026-01-05 02:17:12.939368,2026-01-05 02:17:13.054321,0 days 00:00:00.114953,30,11,36,2.408311117498118,18,7,15,6,4.14816288145255,31,5,2,3.1867519360128225,1.9400899539666145,COMPLETE
309,3.193801507720079,2026-01-05 02:16:35.092772,2026-01-05 02:16:35.228067,0 days 00:00:00.135295,28,10,36,2.4579258233814367,19,6,15,6,3.49862627594799,33,5,4,3.548034430262471,2.6598112926477175,COMPLETE
243,3.193801507720079,2026-01-05 02:16:14.967572,2026-01-05 02:16:15.086677,0 days 00:00:00.119105,27,12,36,2.2395174647757723,9,7,16,6,2.493046125514938,30,5,5,3.8009399856211945,3.372699185735706,COMPLETE
330,3.172416068897873,2026-01-05 02:16:41.396138,2026-01-05 02:16:41.654263,0 days 00:00:00.258125,26,9,37,1.630306418008346,12,10,18,3,3.403855429117841,31,5,7,4.438483781612993,1.3951038329596226,COMPLETE
152,3.1560569122361097,2026-01-05 02:15:46.294383,2026-01-05 02:15:46.475001,0 days 00:00:00.180618,29,15,36,2.465542620790564,13,10,18,4,3.8610793635977316,32,5,5,4.466443187378269,2.9955015262846305,COMPLETE
393,3.1560569122361097,2026-01-05 02:16:59.246061,2026-01-05 02:16:59.372235,0 days 00:00:00.126174,21,12,36,2.586543234541839,20,10,18,4,3.146368460735148,32,5,7,4.72698640104705,2.5542961617307536,COMPLETE
492,3.1560569122361097,2026-01-05 02:17:25.181870,2026-01-05 02:17:25.302967,0 days 00:00:00.121097,29,10,36,2.4860079455546313,14,7,16,5,4.083168787923958,33,5,2,3.062831005319319,3.0476625555339685,COMPLETE
