number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
328,2.7226735703114193,2026-01-04 23:35:57.359116,2026-01-04 23:35:59.358212,0 days 00:00:01.999096,12,9,44,2.083817097101299,17,6,12,3,3.229560973801874,43,5,8,3.203272335394265,2.235468185202766,COMPLETE
368,2.7156695948472347,2026-01-04 23:37:03.693271,2026-01-04 23:37:05.558936,0 days 00:00:01.865665,15,9,43,2.877712465267303,14,10,12,3,4.005723017061568,45,5,9,4.614382727342473,2.9951682471033987,COMPLETE
239,2.703462984388936,2026-01-04 23:33:15.768429,2026-01-04 23:33:17.759932,0 days 00:00:01.991503,12,10,45,2.817565013384865,17,9,11,3,3.384318428072875,34,5,8,4.7356307813883225,1.9585368390890383,COMPLETE
360,2.698917531225359,2026-01-04 23:36:52.468372,2026-01-04 23:36:54.285840,0 days 00:00:01.817468,18,9,41,2.974755562745678,19,6,12,3,2.210651128384503,33,5,3,3.169903077465311,3.2384295447716034,COMPLETE
126,2.698200651170688,2026-01-04 23:29:37.236214,2026-01-04 23:29:39.582493,0 days 00:00:02.346279,13,9,43,1.9792032141862688,15,6,12,3,3.2933811163153695,42,5,8,3.7160037001045665,1.7686261517241826,COMPLETE
460,2.6950668965301476,2026-01-04 23:39:45.015585,2026-01-04 23:39:46.980376,0 days 00:00:01.964791,15,9,41,1.7636909094847324,16,7,11,3,3.388244035619312,35,5,8,3.324441007216612,1.5704280299058972,COMPLETE
449,2.694224519377399,2026-01-04 23:39:25.177566,2026-01-04 23:39:27.446030,0 days 00:00:02.268464,13,9,40,1.7885696549555208,15,6,12,3,3.0521745025324236,42,5,7,3.546276998336204,1.7147517849730771,COMPLETE
441,2.6941565824737483,2026-01-04 23:39:12.059830,2026-01-04 23:39:13.927851,0 days 00:00:01.868021,15,11,43,1.6402863242822368,17,6,12,3,3.1709002584760664,42,5,8,3.386986261641855,1.5473260400483435,COMPLETE
308,2.6937095033076712,2026-01-04 23:35:30.000657,2026-01-04 23:35:31.998855,0 days 00:00:01.998198,17,9,41,2.816491545848435,15,6,11,3,2.0252801394313398,36,5,3,3.3774493839109194,3.0058522147246385,COMPLETE
395,2.6933876158933736,2026-01-04 23:37:52.763536,2026-01-04 23:37:54.622922,0 days 00:00:01.859386,13,10,42,2.9157364179423584,20,10,11,3,3.214344440267038,35,5,8,4.415963509472545,1.6416911992556535,COMPLETE
250,2.6933722995663194,2026-01-04 23:33:36.536348,2026-01-04 23:33:38.593090,0 days 00:00:02.056742,13,11,45,2.7249644186273,20,9,12,3,4.181152409452532,34,5,8,4.554889629182156,1.9590764158768086,COMPLETE
251,2.693353489343962,2026-01-04 23:33:38.734590,2026-01-04 23:33:40.590891,0 days 00:00:01.856301,12,9,44,2.9450019917466936,20,10,11,3,3.486234888619072,38,5,10,4.737857098961853,2.096308437917262,COMPLETE
413,2.692918066954821,2026-01-04 23:38:24.363355,2026-01-04 23:38:26.262670,0 days 00:00:01.899315,16,9,43,1.8149989616025985,18,6,11,3,3.452133669685697,40,5,7,3.4988328776093067,1.7863554162459088,COMPLETE
370,2.6916935890233433,2026-01-04 23:37:07.797418,2026-01-04 23:37:09.841289,0 days 00:00:02.043871,14,9,41,2.8037775868985206,12,10,12,3,3.653752442119094,41,5,9,4.541927585401401,2.3826779536893623,COMPLETE
482,2.6893294043443148,2026-01-04 23:40:28.577976,2026-01-04 23:40:30.556785,0 days 00:00:01.978809,15,9,42,2.358167381716644,6,7,11,3,3.7814423969204145,40,5,6,3.608536719286457,1.2290893903039233,COMPLETE
439,2.6891730532676985,2026-01-04 23:39:07.856376,2026-01-04 23:39:09.942501,0 days 00:00:02.086125,14,9,41,2.221523977520238,7,5,11,3,3.426670496954601,43,4,7,3.4203019572737965,1.2558711936409952,COMPLETE
384,2.689058780586325,2026-01-04 23:37:33.296869,2026-01-04 23:37:35.910736,0 days 00:00:02.613867,14,9,37,2.556127396633186,17,10,11,3,3.8029199891505376,40,5,10,4.94363341695757,2.945759161260889,COMPLETE
458,2.689058780586325,2026-01-04 23:39:40.652448,2026-01-04 23:39:42.600482,0 days 00:00:01.948034,14,9,38,1.810564440261488,17,7,11,3,3.2990634323727956,40,5,7,3.645360233143954,1.5059417199800833,COMPLETE
246,2.6890214975358893,2026-01-04 23:33:29.916799,2026-01-04 23:33:31.981305,0 days 00:00:02.064506,13,11,45,2.8607461256697806,20,9,12,3,3.7679826723292815,35,5,10,4.274391375116126,1.8640001124756365,COMPLETE
427,2.6848460788167263,2026-01-04 23:38:45.873025,2026-01-04 23:38:47.836578,0 days 00:00:01.963553,15,9,42,1.7629776543961668,20,6,13,3,3.35174051468877,40,5,8,3.6280444492803485,1.4006081080937884,COMPLETE
174,2.683935555410925,2026-01-04 23:31:13.646351,2026-01-04 23:31:15.520573,0 days 00:00:01.874222,20,10,39,2.679248071275712,19,10,12,3,2.2738420838986992,30,5,6,3.8523540334843203,2.9217027628927825,COMPLETE
468,2.683824398288164,2026-01-04 23:40:01.516326,2026-01-04 23:40:04.225319,0 days 00:00:02.708993,15,9,39,1.9243093131379734,18,6,11,3,2.9679926522546785,38,5,6,4.030603271549095,1.6148750067379387,COMPLETE
456,2.682232866699047,2026-01-04 23:39:36.471928,2026-01-04 23:39:38.414662,0 days 00:00:01.942734,14,10,40,1.8290926582530629,17,6,11,3,3.8529155037631946,36,5,7,4.014989275460011,1.3329356489611048,COMPLETE
292,2.681729255921222,2026-01-04 23:35:00.861467,2026-01-04 23:35:02.799537,0 days 00:00:01.938070,18,11,37,2.6018749369872385,15,6,12,3,2.248456663008408,34,5,3,3.1244251225614375,3.0298693949141136,COMPLETE
373,2.6817090133528643,2026-01-04 23:37:12.252152,2026-01-04 23:37:14.131445,0 days 00:00:01.879293,13,9,41,2.7981375019557397,14,10,13,3,3.61700267180528,44,5,7,4.746175055149558,2.779851963788159,COMPLETE
269,2.68125966817513,2026-01-04 23:34:12.291647,2026-01-04 23:34:14.026622,0 days 00:00:01.734975,15,9,45,2.6789100628464557,19,9,12,3,4.0617205717730736,39,4,10,4.752582914914595,2.8003221188376806,COMPLETE
164,2.680764177740116,2026-01-04 23:30:53.619469,2026-01-04 23:30:55.470329,0 days 00:00:01.850860,25,10,44,2.220572297260237,19,9,12,3,4.401598208504703,31,5,4,3.2600111011128945,1.6653967427951808,COMPLETE
288,2.6805844176284572,2026-01-04 23:34:54.202366,2026-01-04 23:34:56.325781,0 days 00:00:02.123415,14,9,46,1.7021234347172494,19,6,13,3,3.4386987288266773,41,5,9,3.3872606841219737,2.228916475237383,COMPLETE
372,2.6801454619960063,2026-01-04 23:37:10.245374,2026-01-04 23:37:12.119988,0 days 00:00:01.874614,16,9,41,2.788337807199163,14,10,12,3,3.864234978163344,43,4,8,4.823587951829328,3.3631919027039365,COMPLETE
175,2.680103870362181,2026-01-04 23:31:15.639838,2026-01-04 23:31:17.665629,0 days 00:00:02.025791,23,11,40,2.89060975371906,14,9,13,3,2.44006149765024,30,4,3,3.0583920310035704,3.02823856999697,COMPLETE
412,2.678691747638582,2026-01-04 23:38:22.358666,2026-01-04 23:38:24.219096,0 days 00:00:01.860430,14,10,40,2.5524970839470034,16,9,12,3,3.728324025800433,36,5,10,4.602750923878604,3.3825063376568476,COMPLETE
495,2.6785902594691646,2026-01-04 23:40:51.581389,2026-01-04 23:40:53.520736,0 days 00:00:01.939347,15,11,39,2.657211119384203,6,6,12,3,4.3234261042291395,36,5,8,3.4304749957226823,1.2339366900369244,COMPLETE
