number,value,datetime_start,datetime_complete,duration,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,state
0,-10.0,2026-01-01 19:14:44.850615,2026-01-01 19:14:51.009487,0 days 00:00:06.158872,14,47,1.2580836121681995,5,32,8,2.3260289895074155,11,COMPLETE
1,-10.0,2026-01-01 19:14:51.140004,2026-01-01 19:14:51.226285,0 days 00:00:00.086281,16,50,1.3818249672071006,6,22,7,1.438425862809464,15,COMPLETE
2,-10.0,2026-01-01 19:14:51.332848,2026-01-01 19:14:51.422903,0 days 00:00:00.090055,14,47,1.492144648535218,4,28,6,1.676270396281799,14,COMPLETE
3,-10.0,2026-01-01 19:14:51.527040,2026-01-01 19:14:51.609992,0 days 00:00:00.082952,15,42,1.8075448519014383,5,24,7,1.421681360793479,14,COMPLETE
4,-10.0,2026-01-01 19:14:51.706981,2026-01-01 19:14:51.799725,0 days 00:00:00.092744,12,44,1.884233026512157,6,35,8,1.7721982418614817,12,COMPLETE
5,-10.0,2026-01-01 19:14:51.895934,2026-01-01 19:14:51.980793,0 days 00:00:00.084859,12,73,1.511711076089411,6,22,5,1.876088427531154,11,COMPLETE
6,-10.0,2026-01-01 19:14:52.096092,2026-01-01 19:14:52.207521,0 days 00:00:00.111429,15,85,1.7978999788110852,6,35,4,2.398436505530052,16,COMPLETE
7,-10.0,2026-01-01 19:14:52.337366,2026-01-01 19:14:52.431958,0 days 00:00:00.094592,12,53,2.0287375091519295,4,22,4,1.663779324701666,12,COMPLETE
8,-10.0,2026-01-01 19:14:52.535908,2026-01-01 19:14:52.623930,0 days 00:00:00.088022,13,90,1.9722447692966576,6,23,6,1.458330385994424,10,COMPLETE
9,-10.0,2026-01-01 19:14:52.731374,2026-01-01 19:14:52.826821,0 days 00:00:00.095447,12,43,1.5584657285442727,5,31,7,1.3506297773826685,15,COMPLETE
