number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
124,0.8482770231190616,2026-01-02 23:13:01.367303,2026-01-02 23:13:03.712072,0 days 00:00:02.344769,15,56,1.6585632436731144,5,7,21,8,3.7490194280698286,44,4,9,3.8631205162230096,1.301683584619488,COMPLETE
164,0.8480476267056484,2026-01-02 23:14:37.230090,2026-01-02 23:14:39.543206,0 days 00:00:02.313116,11,50,1.8552725665670882,6,9,22,8,3.91936386392427,45,4,10,3.158475882246604,2.465926337871088,COMPLETE
160,0.8472965463355463,2026-01-02 23:14:27.338450,2026-01-02 23:14:29.693915,0 days 00:00:02.355465,12,44,1.8188733260260603,8,10,23,10,2.9750018089195738,40,4,9,2.4060203758064915,2.58921338861644,COMPLETE
195,0.8469302699023452,2026-01-02 23:15:58.978600,2026-01-02 23:16:01.342529,0 days 00:00:02.363929,13,42,2.0097895842259277,5,8,21,10,2.4623603715887468,39,4,6,3.1090848436972567,1.8679689240028021,COMPLETE
181,0.8469302699023452,2026-01-02 23:15:22.427805,2026-01-02 23:15:25.061360,0 days 00:00:02.633555,14,42,2.2966583802923743,2,7,21,10,2.8298541087177584,39,4,10,4.413490907093712,1.8586170429651572,COMPLETE
191,0.8465619600892901,2026-01-02 23:15:48.645257,2026-01-02 23:15:51.011591,0 days 00:00:02.366334,15,43,2.4218267410979206,5,6,24,9,2.0029353449955107,45,4,4,2.6787984506986655,1.7309876176663712,COMPLETE
168,0.8462538822269972,2026-01-02 23:14:46.958594,2026-01-02 23:14:49.179591,0 days 00:00:02.220997,13,52,1.9548041921398536,6,8,30,10,3.2054932714977245,42,3,7,1.8879238689279259,2.284939297651255,COMPLETE
38,0.8458507498334865,2026-01-02 23:09:40.850649,2026-01-02 23:09:43.185223,0 days 00:00:02.334574,10,56,2.2781183130911953,3,6,30,3,1.9942863527780963,44,3,1,4.035865816728591,2.0695161240522384,COMPLETE
56,0.8455302246651117,2026-01-02 23:10:26.766180,2026-01-02 23:10:29.096579,0 days 00:00:02.330399,23,55,1.9979158026910653,3,5,33,3,2.237297985224165,45,3,2,4.958044813006064,1.4124831452600333,COMPLETE
147,0.8453723416396064,2026-01-02 23:13:59.605314,2026-01-02 23:14:02.368507,0 days 00:00:02.763193,17,44,1.9105085079525905,3,10,24,10,2.8340892566230393,42,3,8,2.071512988067173,1.633992759119559,COMPLETE
