number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_median_length,params_min_period,params_position_size_pct,params_sigmoid_margin,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,params_trim_percent,params_use_replacement,user_attrs_avg_max_dd,user_attrs_avg_return_pct,user_attrs_avg_sharpe,user_attrs_avg_win_rate,user_attrs_total_trades,state
0,-10.0,2026-01-01 13:30:30.801987,2026-01-01 13:30:34.400497,0 days 00:00:03.598510,19,10,75,3.0760538835198696,12,7.382222020744102,59,17,4,0.12464314434256739,0.13648417853884823,7.066112369369904,19,7.619350519676518,19.085822813101693,11.552121246680436,3.1512768767949595,0.3190379916438509,False,0.0,0.0,0.0,0.0,0,COMPLETE
1,-10.0,2026-01-01 13:30:30.826093,2026-01-01 13:30:34.020788,0 days 00:00:03.194695,14,18,125,2.0737358898578973,23,15.726841686285171,43,19,8,0.19585214217395314,0.009554486670941087,4.230737541065579,33,6.484755709986402,17.42283337284747,10.806569574636251,3.964504269196926,0.3968788495100757,True,0.0,0.0,0.0,0.0,0,COMPLETE
2,-10.0,2026-01-01 13:30:30.850308,2026-01-01 13:30:34.116511,0 days 00:00:03.266203,16,10,134,3.150584709442485,13,9.051388668954381,49,8,3,0.1375206916209824,0.2218791152584034,3.3722655639494996,41,8.515929332459363,17.332308851503544,9.74072894327248,2.551530211643827,0.22002278260222,True,0.0,0.0,0.0,0.0,0,COMPLETE
3,-10.0,2026-01-01 13:30:30.858852,2026-01-01 13:30:33.522370,0 days 00:00:02.663518,9,12,61,4.5120001272724,5,17.46351034238345,34,5,3,0.09800149929371083,0.2642986116755879,3.870229740624211,44,18.95775316607967,6.324275033023534,5.667305658408777,2.3101579678755986,0.3421326756685783,False,0.0,0.0,0.0,0.0,0,COMPLETE
4,-10.0,2026-01-01 13:30:30.930122,2026-01-01 13:30:33.928263,0 days 00:00:02.998141,13,16,124,2.8287366314884466,18,6.062329791001952,57,20,10,0.1325903818636746,0.17759276925156797,5.711077074046943,29,11.60412618799483,9.404242683022945,6.349940151908655,3.020813177403498,0.19445948611048863,False,0.0,0.0,0.0,0.0,0,COMPLETE
5,-10.0,2026-01-01 13:30:30.944628,2026-01-01 13:30:33.457176,0 days 00:00:02.512548,6,19,118,1.4983093715612754,27,13.95796997781515,60,12,7,0.151600764932137,0.18728335812710176,6.496403959967291,19,17.152878535545927,19.429639280536364,4.419073058559449,4.285613184800241,0.34446155454889943,True,0.0,0.0,0.0,0.0,0,COMPLETE
6,-10.0,2026-01-01 13:30:30.945020,2026-01-01 13:30:34.020009,0 days 00:00:03.074989,15,16,149,2.732183952540959,9,13.169008633929547,27,12,5,0.06443353903258273,0.06539471199046094,6.176671056800037,15,9.739828029922407,15.409844345878914,5.6000592366242525,2.949312394938198,0.2672748404855668,True,0.0,0.0,0.0,0.0,0,COMPLETE
7,-10.0,2026-01-01 13:30:30.930687,2026-01-01 13:30:36.728457,0 days 00:00:05.797770,13,5,140,4.16554785346033,19,13.610077664627307,32,24,8,0.10792642183982662,0.2700877781193761,1.1536298651616548,23,7.421493985374113,10.635012560121211,3.59720025478899,3.525942160550362,0.12499339862215629,True,0.0,0.0,0.0,0.0,0,COMPLETE
8,-10.0,2026-01-01 13:30:31.003504,2026-01-01 13:30:36.707294,0 days 00:00:05.703790,19,19,104,3.8215975848414403,27,16.739741712526296,35,20,3,0.13940612677745662,0.043107539824269715,5.897233047632429,17,12.434879389333648,8.095362469593262,7.905059604984606,3.3597825830682013,0.1988837420356987,False,0.0,0.0,0.0,0.0,0,COMPLETE
9,-10.0,2026-01-01 13:30:30.954854,2026-01-01 13:30:38.382857,0 days 00:00:07.428003,8,7,128,4.211288138875347,17,12.118673125332228,44,17,8,0.17490483949201185,0.205114181958922,1.921466728596715,29,17.536003447028136,5.713673736930581,2.1679057645006177,3.267817498803875,0.29956267677427534,True,0.0,0.0,0.0,0.0,0,COMPLETE
10,-10.0,2026-01-01 13:30:31.033433,2026-01-01 13:30:35.061133,0 days 00:00:04.027700,5,9,136,2.6902532673001107,16,12.61108723961787,45,9,7,0.13359812420690861,0.019896072010156116,1.4520816917800756,51,10.620654490156213,18.60436419352235,11.73848217132102,1.3123290299427959,0.15084301583320853,True,0.0,0.0,0.0,0.0,0,COMPLETE
11,-10.0,2026-01-01 13:30:30.943489,2026-01-01 13:30:38.102287,0 days 00:00:07.158798,10,11,86,1.9175103855323417,25,10.515935296629536,51,24,3,0.10115110903378527,0.18676025674873664,5.754344121210709,28,17.723785376617727,7.65102130265216,3.8083271939787604,3.7543284113335167,0.24350905062101905,True,0.0,0.0,0.0,0.0,0,COMPLETE
12,-10.0,2026-01-01 13:30:31.033984,2026-01-01 13:30:37.295889,0 days 00:00:06.261905,10,12,131,3.597806275332178,8,11.194296815186409,35,19,4,0.1499584883988004,0.041250975095174426,2.7774055267039737,44,12.656033346806183,15.284488404878218,3.017038284324615,4.976304684826779,0.1877953444297741,False,0.0,0.0,0.0,0.0,0,COMPLETE
13,-10.0,2026-01-01 13:30:30.946766,2026-01-01 13:30:38.503005,0 days 00:00:07.556239,6,10,111,2.323655387685308,12,16.099772599812283,25,15,7,0.12305247056185023,0.214806830955069,1.1877685947541023,32,11.313620676155939,12.462916539334081,5.7845722501588615,4.765569055509372,0.3295744731877718,True,0.0,0.0,0.0,0.0,0,COMPLETE
14,-10.0,2026-01-01 13:30:30.933141,2026-01-01 13:30:38.709031,0 days 00:00:07.775890,14,16,139,1.6967477792727013,8,5.266259187938006,43,9,8,0.15932348929217138,0.04275229197890549,3.130828159046315,48,6.787515019842992,17.148442072471102,2.589870705441844,1.716026022355932,0.2950821165771891,False,0.0,0.0,0.0,0.0,0,COMPLETE
15,-10.0,2026-01-01 13:30:31.049712,2026-01-01 13:30:38.660644,0 days 00:00:07.610932,14,8,57,2.507074280227435,16,17.789898002168798,39,16,8,0.162475467852389,0.001596391826001009,5.254624681978003,56,10.92934379709536,19.29731339560019,8.681876322930872,1.0833160797902677,0.3596274780623723,False,0.0,0.0,0.0,0.0,0,COMPLETE
16,-10.0,2026-01-01 13:30:36.492691,2026-01-01 13:30:39.814570,0 days 00:00:03.321879,9,8,153,2.9576072751207647,15,10.826186749622366,44,13,7,0.16769349317807591,0.10377627714798845,6.023783678177036,23,16.69767737242899,11.79665956487603,11.394789796658804,3.8509555009785443,0.339022028845589,False,0.0,0.0,0.0,0.0,0,COMPLETE
17,-10.0,2026-01-01 13:30:36.499795,2026-01-01 13:30:38.706970,0 days 00:00:02.207175,8,9,199,1.7107789225449537,9,13.120718102870805,59,7,3,0.08948564427420734,0.08471388286903805,3.2606910428354308,18,18.195125591275254,10.662923970796854,7.314896080857388,1.3843121982200914,0.10009872551938914,True,0.0,0.0,0.0,0.0,0,COMPLETE
