number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_median_length,params_min_period,params_sigmoid_margin,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,params_trim_percent,state
1384,3.2803650392338337,2026-01-07 05:17:11.845842,2026-01-07 05:17:12.024455,0 days 00:00:00.178613,48,5,34,2.032410078963771,3,7,14,11,3,0.04913206841174442,2.596537462732656,36,4,2,4.709090153762261,2.063265652880137,0.24108050993723168,COMPLETE
721,3.263364958894901,2026-01-07 05:13:20.545462,2026-01-07 05:13:20.700050,0 days 00:00:00.154588,11,5,38,2.5370314143193196,3,11,15,18,3,0.29220651307984485,3.973257016965306,42,2,8,4.511258298008444,2.0771719097874617,0.27044405500090396,COMPLETE
568,3.2443099454587716,2026-01-07 05:12:28.860811,2026-01-07 05:12:29.049910,0 days 00:00:00.189099,13,11,39,2.741463971973366,9,9,18,12,3,0.27159621180474225,3.311563290801719,29,5,7,4.206768421014019,1.60691237432958,0.1209298607717141,COMPLETE
624,3.2060063440607554,2026-01-07 05:12:48.633215,2026-01-07 05:12:48.779158,0 days 00:00:00.145943,45,10,38,2.4203368990394964,7,8,15,11,4,0.06627627062350352,3.566051646004115,31,1,2,4.751594843882425,2.3958627321768424,0.20323127677190345,COMPLETE
1128,3.2060063440607554,2026-01-07 05:15:40.275655,2026-01-07 05:15:40.447306,0 days 00:00:00.171651,49,12,39,2.538286491507161,3,11,16,20,3,0.1035336062463764,4.0890757720212845,31,4,7,4.967018770587918,2.439289514822078,0.14070017129670775,COMPLETE
1554,3.1974095635916178,2026-01-07 05:18:12.991715,2026-01-07 05:18:13.173329,0 days 00:00:00.181614,24,6,32,2.6372492327577524,4,11,15,18,3,0.16564393086707815,3.447146327787508,33,2,10,5.341336046175028,2.0300300632262784,0.2753171683212001,COMPLETE
728,3.1974095635916178,2026-01-07 05:13:22.827753,2026-01-07 05:13:22.986287,0 days 00:00:00.158534,41,6,30,2.036023258018659,4,7,14,14,3,0.07402776754377374,3.0132586491137756,38,3,2,4.260774570509156,2.2262680002790396,0.2966472864086764,COMPLETE
1519,3.1974095635916178,2026-01-07 05:18:00.209197,2026-01-07 05:18:00.395814,0 days 00:00:00.186617,44,6,35,2.1977248221116037,4,5,13,14,4,0.0875335498077993,2.5827535969459197,37,3,2,4.524152655537151,2.4354824892018687,0.28887036964189705,COMPLETE
1532,3.1974095635916178,2026-01-07 05:18:04.682257,2026-01-07 05:18:04.859533,0 days 00:00:00.177276,18,6,33,2.9937812642525325,6,7,14,17,4,0.13561689760836254,3.1952443112768965,34,2,9,4.895391680902556,1.6790034830383491,0.2704637774202017,COMPLETE
1518,3.1974095635916178,2026-01-07 05:17:59.813918,2026-01-07 05:17:59.985166,0 days 00:00:00.171248,17,7,35,3.283213891294672,5,10,15,17,3,0.20844890588606907,3.595333316230674,31,3,10,4.908462574970479,1.8578660049217273,0.23677503515981993,COMPLETE
623,3.1974095635916178,2026-01-07 05:12:48.350172,2026-01-07 05:12:48.501678,0 days 00:00:00.151506,39,8,35,2.054386448071039,5,6,15,12,3,0.10679543752016052,3.4556978028683467,31,3,2,4.466894908849963,2.2193099953152764,0.287673469784571,COMPLETE
1187,3.1974095635916178,2026-01-07 05:16:01.412205,2026-01-07 05:16:01.574632,0 days 00:00:00.162427,43,6,33,2.1040431352542073,3,6,16,9,3,0.11717910086537014,3.4077933410312613,34,5,4,4.425033131647679,2.4390594227646005,0.28563022339640126,COMPLETE
1923,3.1974095635916178,2026-01-07 05:20:29.838381,2026-01-07 05:20:30.019364,0 days 00:00:00.180983,32,6,35,2.2495999016368025,3,6,15,20,3,0.15462460250969498,3.569461013412601,34,3,6,4.099685867597771,1.632185455514033,0.2671689428168702,COMPLETE
706,3.1974095635916178,2026-01-07 05:13:15.904932,2026-01-07 05:13:16.061749,0 days 00:00:00.156817,46,6,31,2.0139247801287983,3,6,14,14,4,0.04834070692782753,3.6837903882388505,32,4,2,4.321130338224665,1.6153555491197862,0.2831285859214728,COMPLETE
433,3.1974095635916178,2026-01-07 05:11:42.869318,2026-01-07 05:11:43.061310,0 days 00:00:00.191992,39,6,37,2.0084523996057566,4,6,16,14,4,0.09987419521985016,4.097809889417527,34,4,2,4.238331194217388,2.1916619096289116,0.2810185829652159,COMPLETE
988,3.1974095635916178,2026-01-07 05:14:50.765651,2026-01-07 05:14:50.920693,0 days 00:00:00.155042,19,6,34,3.194989410836792,4,9,14,14,4,0.23466881460449138,3.5702033240876307,34,3,9,4.6107280209352455,2.127908943310725,0.2870597727056525,COMPLETE
993,3.1974095635916178,2026-01-07 05:14:52.778786,2026-01-07 05:14:52.967368,0 days 00:00:00.188582,40,6,34,2.0235677683782014,4,9,14,20,3,0.10089023124778576,3.5620166610785473,34,3,6,4.304973416965271,1.6669076041266873,0.24362624136801314,COMPLETE
1736,3.1974095635916178,2026-01-07 05:19:19.851428,2026-01-07 05:19:20.107704,0 days 00:00:00.256276,39,6,33,2.250848948634076,3,8,16,8,3,0.11629961371707462,3.247084694304744,33,4,3,5.263821899770026,2.888211767415808,0.14933505763896857,COMPLETE
779,3.1974095635916178,2026-01-07 05:13:39.638999,2026-01-07 05:13:39.828428,0 days 00:00:00.189429,39,6,37,2.2408033045981774,3,7,17,18,3,0.0637049025516183,2.8876748692884027,34,5,4,4.420870107216863,1.6311731542187804,0.24023398390549738,COMPLETE
1174,3.1974095635916178,2026-01-07 05:15:56.553547,2026-01-07 05:15:56.909012,0 days 00:00:00.355465,49,6,37,2.096896427228708,3,7,13,10,4,0.05546521433462592,3.2238227901415777,37,5,2,4.343238838421741,1.809467777833179,0.2896759483147026,COMPLETE
1640,3.183910184769519,2026-01-07 05:18:44.101238,2026-01-07 05:18:44.281742,0 days 00:00:00.180504,15,6,30,2.299122091734586,3,11,13,16,3,0.29314454226631287,4.276693668735001,45,1,10,4.322245486001047,2.4905227355087107,0.2748168361810774,COMPLETE
1141,3.1816424210588994,2026-01-07 05:15:44.603947,2026-01-07 05:15:44.773626,0 days 00:00:00.169679,50,6,38,2.0782459743107458,3,5,16,17,4,0.09359852450850642,4.097302293827553,35,4,7,3.2519690267018158,1.7262170928124938,0.2397498027341539,COMPLETE
1206,3.1816424210588994,2026-01-07 05:16:07.747039,2026-01-07 05:16:07.932258,0 days 00:00:00.185219,37,6,39,2.3532275786621,3,7,17,9,3,0.12576757361160892,3.425208160228541,35,5,3,4.577509700787803,3.048139836967246,0.1938424226147677,COMPLETE
134,3.1816424210588994,2026-01-07 05:10:05.892973,2026-01-07 05:10:06.050929,0 days 00:00:00.157956,17,6,41,2.7761270378043426,6,7,14,16,3,0.26966677379541426,3.8893177564336425,40,2,7,5.5930402569271065,2.007296609068268,0.23886050219825739,COMPLETE
578,3.1816424210588994,2026-01-07 05:12:32.694106,2026-01-07 05:12:33.001062,0 days 00:00:00.306956,47,6,40,2.1246423189107397,5,13,16,14,4,0.07410462437360518,3.714860395952459,35,5,4,3.6065609646001064,2.010088571535795,0.29011540236702005,COMPLETE
1011,3.1816424210588994,2026-01-07 05:14:59.052734,2026-01-07 05:14:59.233890,0 days 00:00:00.181156,43,7,41,2.3255664633029087,4,8,16,18,3,0.09199731879621091,4.151146939664498,37,3,6,3.9149639736019033,1.690062793658696,0.20245229847913906,COMPLETE
1671,3.1801290225309122,2026-01-07 05:18:55.268859,2026-01-07 05:18:55.500674,0 days 00:00:00.231815,19,6,31,2.5223739351114394,3,11,11,16,4,0.2643928599721147,4.428857175805908,45,1,10,3.811642964826579,2.891807431134231,0.26085912604415773,COMPLETE
1789,3.1801290225309122,2026-01-07 05:19:38.710928,2026-01-07 05:19:38.887879,0 days 00:00:00.176951,20,6,32,2.498471205846472,4,10,13,15,3,0.285130368515176,3.849355801091559,46,1,9,3.5535735814991085,1.604260466461463,0.26958057038902206,COMPLETE
392,3.179730443795735,2026-01-07 05:11:29.124291,2026-01-07 05:11:29.276651,0 days 00:00:00.152360,34,6,40,2.4003891750748743,4,6,14,14,3,0.21801702567941417,3.96795593184695,42,5,3,4.428385551078864,1.727172398447135,0.2212716687613584,COMPLETE
569,3.1786359211783863,2026-01-07 05:12:29.229488,2026-01-07 05:12:29.403793,0 days 00:00:00.174305,16,6,36,2.5622795727936283,3,10,11,15,4,0.2974310636319172,3.960759656804802,39,3,10,4.63636967710573,2.1009921926482744,0.25677207314933187,COMPLETE
1406,3.1786359211783863,2026-01-07 05:17:19.609752,2026-01-07 05:17:19.778071,0 days 00:00:00.168319,49,7,33,2.1584027363943563,3,6,12,12,3,0.04279118833210877,3.2191352124344492,36,4,2,4.172264406255478,2.0353010669455784,0.2581269343403426,COMPLETE
1760,3.1725703399073684,2026-01-07 05:19:28.636418,2026-01-07 05:19:28.814378,0 days 00:00:00.177960,19,9,34,2.8376174746502847,7,10,12,11,6,0.2565152287400392,2.7974461093587526,29,4,10,3.958319210828539,1.9921170460211652,0.23594242296354082,COMPLETE
331,3.1672081979303397,2026-01-07 05:11:09.624248,2026-01-07 05:11:09.773690,0 days 00:00:00.149442,18,8,30,2.297110185910343,7,7,15,10,5,0.23590320887251123,3.332531839525587,31,4,10,4.698553539229297,1.8246087792092014,0.03587729837607555,COMPLETE
