number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_max_period,params_min_period,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
140,0.879259956201426,2026-01-02 22:40:57.633525,2026-01-02 22:40:59.880488,0 days 00:00:02.246963,16,41,2.41093113040458,21,5,2.015210032129243,5.380606800906154,1.5875702613310738,COMPLETE
158,0.879259956201426,2026-01-02 22:41:37.267816,2026-01-02 22:41:39.111068,0 days 00:00:01.843252,16,41,2.6163157881064105,21,5,2.4401980188103987,5.147337843431917,1.6194053115321372,COMPLETE
128,0.879259956201426,2026-01-02 22:40:27.695334,2026-01-02 22:40:30.056817,0 days 00:00:02.361483,14,42,2.6372586868619834,21,5,2.3009797903667755,4.754303706056821,1.6867403877199036,COMPLETE
133,0.879259956201426,2026-01-02 22:40:40.535764,2026-01-02 22:40:42.776207,0 days 00:00:02.240443,12,40,3.0315724452253714,21,5,2.407732931041882,4.059512339311669,1.5874585439092728,COMPLETE
145,0.8791202081292666,2026-01-02 22:41:10.338218,2026-01-02 22:41:12.989364,0 days 00:00:02.651146,19,44,2.3611613436439054,21,5,2.1837087350285245,5.577445979447779,1.5520418694781886,COMPLETE
177,0.8791202081292666,2026-01-02 22:42:15.880295,2026-01-02 22:42:17.955789,0 days 00:00:02.075494,12,40,3.203688832579136,21,5,2.952359508482727,4.670807532270747,1.4418324868558303,COMPLETE
74,0.8788788309954038,2026-01-02 22:38:27.645671,2026-01-02 22:38:29.447683,0 days 00:00:01.802012,16,42,1.6493448902992625,21,5,3.9481383763796964,3.9193310883743258,2.8938524707376008,COMPLETE
73,0.8788788309954038,2026-01-02 22:38:25.730515,2026-01-02 22:38:27.516369,0 days 00:00:01.785854,15,40,1.5853164113826979,21,5,3.7513524298306757,4.923309217437455,2.98768461054039,COMPLETE
171,0.8787303946391007,2026-01-02 22:42:02.642975,2026-01-02 22:42:05.136075,0 days 00:00:02.493100,16,43,2.330923938413769,21,5,1.7833703252380217,5.528560919879328,1.331515648736372,COMPLETE
174,0.8785893188334825,2026-01-02 22:42:09.918115,2026-01-02 22:42:11.697709,0 days 00:00:01.779594,12,40,2.860387358326014,21,5,2.501960979553111,5.846988710472601,1.2289105531066775,COMPLETE
168,0.8785635897867416,2026-01-02 22:41:56.945713,2026-01-02 22:41:58.683872,0 days 00:00:01.738159,12,40,2.7837069460778716,21,5,2.2290613773818415,5.944298273556921,1.2225517408238988,COMPLETE
31,0.8777584794028566,2026-01-02 22:36:59.931339,2026-01-02 22:37:01.790457,0 days 00:00:01.859118,11,41,2.2030970249581374,24,4,2.5239165075093157,4.677389490341872,1.9215433510247806,COMPLETE
100,0.8777584794028566,2026-01-02 22:39:21.376240,2026-01-02 22:39:23.243820,0 days 00:00:01.867580,15,40,2.322456186423485,24,4,2.8043381273434256,5.018271903644249,1.570044376601778,COMPLETE
66,0.8777584794028566,2026-01-02 22:38:12.144746,2026-01-02 22:38:13.962564,0 days 00:00:01.817818,12,44,2.3656630143527213,24,4,2.5026457686166554,5.146050355044667,1.8285731475736673,COMPLETE
87,0.8777584794028566,2026-01-02 22:38:54.722393,2026-01-02 22:38:56.992538,0 days 00:00:02.270145,13,50,2.485279433518819,24,4,2.697706121358045,5.5969557633065845,1.9438431407739674,COMPLETE
84,0.8777584794028566,2026-01-02 22:38:48.741643,2026-01-02 22:38:50.494972,0 days 00:00:01.753329,13,44,2.6113174281400107,24,4,2.824125541854282,5.390344907220994,1.9107020591568797,COMPLETE
35,0.8777584794028566,2026-01-02 22:37:07.982578,2026-01-02 22:37:09.833790,0 days 00:00:01.851212,10,42,1.9212125797278425,24,4,2.9123137774707106,4.794144569967968,1.8086548159125226,COMPLETE
164,0.8773706142428916,2026-01-02 22:41:49.059910,2026-01-02 22:41:50.840638,0 days 00:00:01.780728,18,40,2.7276286534160787,24,4,2.0972566699975466,5.749212654550906,2.343837994773931,COMPLETE
55,0.8771145566966837,2026-01-02 22:37:48.441774,2026-01-02 22:37:50.516577,0 days 00:00:02.074803,20,46,1.6771432304245402,21,5,2.0395514641341816,4.2423410260851355,1.0594446400684703,COMPLETE
146,0.8762848620486499,2026-01-02 22:41:13.171782,2026-01-02 22:41:15.394950,0 days 00:00:02.223168,10,45,2.6534592137234223,20,4,2.146655158787614,5.485180259722661,1.9697089742862575,COMPLETE
70,0.8759208461785017,2026-01-02 22:38:19.905530,2026-01-02 22:38:21.636121,0 days 00:00:01.730591,13,40,1.7102677563960709,20,4,3.011641750561517,4.744601896779577,2.2618912618985996,COMPLETE
33,0.8759208461785017,2026-01-02 22:37:03.903014,2026-01-02 22:37:05.759473,0 days 00:00:01.856459,11,40,2.585572580420111,20,4,2.4873605333553597,2.8378708643152994,2.2172609495389053,COMPLETE
63,0.8759208461785017,2026-01-02 22:38:06.252050,2026-01-02 22:38:08.122324,0 days 00:00:01.870274,11,41,2.202767658821229,20,4,2.9546476026179525,3.8584192556274877,2.1418795219111924,COMPLETE
148,0.8759208461785017,2026-01-02 22:41:17.619912,2026-01-02 22:41:19.424282,0 days 00:00:01.804370,11,43,2.378109247355252,20,4,1.841880739987816,5.650164299874082,2.0851421995806763,COMPLETE
