number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_median_length,params_min_period,params_position_size_pct,params_sigmoid_margin,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,params_trim_percent,params_use_replacement,user_attrs_avg_max_dd,user_attrs_avg_return_pct,user_attrs_avg_sharpe,user_attrs_avg_win_rate,user_attrs_total_trades,state
0,-10.0,2026-01-01 13:45:58.979970,2026-01-01 13:46:08.151457,0 days 00:00:09.171487,10,14,82,4.380552164437852,26,15.623369205099802,53,30,10,0.1636081746213237,0.2084916956750748,3.2072661306428247,41,16.124086219397512,5.78784292638895,10.319143628526946,3.2403747571080217,0.22973322431073195,False,0.0,0.0,0.0,0.0,0,COMPLETE
1,-10.0,2026-01-01 13:45:59.066804,2026-01-01 13:46:08.116624,0 days 00:00:09.049820,11,7,103,4.405385619661216,9,5.650653579303956,36,29,8,0.18793337436403795,0.18796330104373568,1.0149097845878143,45,12.756080746617952,12.0920663640312,4.417053542558476,4.854098389110136,0.3193204935612279,False,0.0,0.0,0.0,0.0,0,COMPLETE
2,-10.0,2026-01-01 13:45:59.071112,2026-01-01 13:46:08.197146,0 days 00:00:09.126034,18,20,113,2.9337692516512255,26,8.742081365011815,46,19,4,0.13582067053627422,0.18445235638709012,1.2592290899034637,26,9.688868565372587,10.264713907670693,2.018573758548338,4.682301744494781,0.33369028450192617,True,0.0,0.0,0.0,0.0,0,COMPLETE
3,-10.0,2026-01-01 13:45:59.087671,2026-01-01 13:46:07.917515,0 days 00:00:08.829844,14,14,123,2.9582157114124077,24,18.12525984721615,37,29,5,0.19415426615230796,0.2776802876409589,7.262619548923739,59,19.247576133358734,6.589906504640717,9.183290069478382,1.4939301394965723,0.2024698192720462,False,0.0,0.0,0.0,0.0,0,COMPLETE
4,-10.0,2026-01-01 13:45:59.067931,2026-01-01 13:46:08.279545,0 days 00:00:09.211614,14,9,121,2.5609813847847853,7,14.879556986204527,24,21,4,0.10649981251451682,0.14972576149192166,1.329843710124706,47,5.363280676902123,18.543634600588913,5.781432001351417,4.9165542360957595,0.21800303554385314,False,0.0,0.0,0.0,0.0,0,COMPLETE
5,-10.0,2026-01-01 13:45:59.072369,2026-01-01 13:46:08.419246,0 days 00:00:09.346877,13,18,198,4.839873658557758,22,13.666248494185034,57,20,9,0.18339213356676415,0.15577036660474555,7.813721349276877,33,7.21447196596832,17.59328899129045,3.713174770538657,1.0335630614088642,0.10715952935648136,False,0.0,0.0,0.0,0.0,0,COMPLETE
6,-10.0,2026-01-01 13:45:59.089102,2026-01-01 13:46:07.896083,0 days 00:00:08.806981,15,17,179,2.07415673213556,26,6.714247291250804,57,10,9,0.09402085717592687,0.17508384406568175,5.561093968710577,54,9.145335611449271,19.742593766729144,2.988951100201737,2.2606600751778463,0.32133555733010594,False,0.0,0.0,0.0,0.0,0,COMPLETE
7,-10.0,2026-01-01 13:45:59.088430,2026-01-01 13:46:07.903093,0 days 00:00:08.814663,10,8,62,3.6046199902933025,14,11.10378647469754,44,20,10,0.058768824540594476,0.01108903394070182,2.797564401217299,18,7.413329759991504,8.464608254190944,10.059135695014996,4.069212559443644,0.2967334218893971,False,0.0,0.0,0.0,0.0,0,COMPLETE
8,-10.0,2026-01-01 13:45:59.084613,2026-01-01 13:46:09.284137,0 days 00:00:10.199524,18,15,90,1.4693115603298104,30,6.628211410538995,54,25,8,0.12569043635970964,0.19649228483539913,4.9867032248614915,15,8.90636836150307,9.0614767537224,9.731110820987258,1.104366118448589,0.1353278032269023,False,0.0,0.0,0.0,0.0,0,COMPLETE
9,-10.0,2026-01-01 13:45:59.146722,2026-01-01 13:46:07.939626,0 days 00:00:08.792904,20,5,173,4.803367558497595,17,18.528156026721817,47,9,9,0.06184034965387947,0.2566352731610871,3.6919725225966182,22,7.807139948296793,5.113531221998666,4.352635768415892,4.931105122630603,0.326225614815957,False,0.0,0.0,0.0,0.0,0,COMPLETE
