number,value,datetime_start,datetime_complete,duration,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_tp_multiplier,state
0,-10.0,2026-01-01 20:01:39.790594,2026-01-01 20:01:46.578939,0 days 00:00:06.788345,13,34,1.1522752509513796,6,30,8,1.8929409166199482,11,2.6011150117432087,COMPLETE
1,-10.0,2026-01-01 20:01:46.722645,2026-01-01 20:01:47.029483,0 days 00:00:00.306838,15,35,1.2650640588680906,7,32,3,1.4433937943676303,12,2.524756431632238,COMPLETE
2,-10.0,2026-01-01 20:01:47.158399,2026-01-01 20:01:47.497914,0 days 00:00:00.339515,14,41,1.5104629857953324,2,28,4,1.828140769114411,13,2.1996737821583596,COMPLETE
3,-10.0,2026-01-01 20:01:47.684415,2026-01-01 20:01:48.024815,0 days 00:00:00.340400,14,32,1.953996983528,6,22,6,1.9725056264596474,11,2.8083973481164612,COMPLETE
4,-10.0,2026-01-01 20:01:48.144137,2026-01-01 20:01:48.470019,0 days 00:00:00.325882,13,45,1.1309496690036966,5,29,3,1.9274563216630256,11,2.258779981600017,COMPLETE
5,-10.0,2026-01-01 20:01:48.594345,2026-01-01 20:01:48.793398,0 days 00:00:00.199053,15,60,1.797619541025003,5,27,4,1.9515991532513512,12,2.894827350427649,COMPLETE
6,-10.0,2026-01-01 20:01:48.922297,2026-01-01 20:01:49.143927,0 days 00:00:00.221630,14,40,1.449809560720534,3,22,8,1.4170792254191167,10,2.8287375091519293,COMPLETE
7,-10.0,2026-01-01 20:01:49.257903,2026-01-01 20:01:49.449634,0 days 00:00:00.191731,13,32,1.9881982429404657,2,27,4,1.817795815437326,18,2.198715681534172,COMPLETE
8,-10.0,2026-01-01 20:01:49.596555,2026-01-01 20:01:49.784686,0 days 00:00:00.188131,12,32,1.4226191556898455,7,29,7,1.2926952476201037,18,2.8631034258755936,COMPLETE
9,-10.0,2026-01-01 20:01:49.902426,2026-01-01 20:01:50.081213,0 days 00:00:00.178787,15,52,1.6738017242196919,4,22,4,1.9097701940610612,13,2.4722149251619494,COMPLETE
