number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
0,-10.0,2026-01-01 15:14:56.054793,2026-01-01 15:15:03.957934,0 days 00:00:07.903141,16,9,86,2.5580836121681996,11,11.497327922401265,37,6,4.202230023486417,23,6.637017332034828,11.849549260809972,5.708072577796045,2.041168988591605,COMPLETE
1,-10.0,2026-01-01 15:15:04.106571,2026-01-01 15:15:04.367922,0 days 00:00:00.261351,12,8,91,3.1118528947223796,10,9.599021346475078,31,3,3.5842892970704363,29,7.542703315240835,10.925879806965067,5.366361843293692,2.912139968434072,COMPLETE
2,-10.0,2026-01-01 15:15:04.572608,2026-01-01 15:15:04.697230,0 days 00:00:00.124622,16,10,118,3.4656320330745594,6,9.366114704534336,35,3,3.609227538346741,21,7.48553073033381,9.200762468698006,5.097672114006384,3.3684660530243136,COMPLETE
