number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_sigmoid_margin,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,params_trim_percent,state
1986,3.358581508345467,2026-01-06 23:07:01.165709,2026-01-06 23:07:01.321253,0 days 00:00:00.155544,10,38,3.6701903474661925,0.19111739323775723,2.5171990611963255,5.211193692776781,2.4708422660464007,0.008318077752917992,COMPLETE
852,3.358581508345467,2026-01-06 23:02:13.593275,2026-01-06 23:02:13.679014,0 days 00:00:00.085739,16,38,3.1007968867313447,0.2845895142834225,2.038191656022575,3.5579704364143043,2.6538362876927875,0.10827898596411209,COMPLETE
886,3.358581508345467,2026-01-06 23:02:22.206589,2026-01-06 23:02:22.290511,0 days 00:00:00.083922,22,39,2.777927121561258,0.2426208168678513,2.909676373864132,3.299249540750392,3.2231677547858966,0.10533322450881527,COMPLETE
1958,3.358581508345467,2026-01-06 23:06:53.464300,2026-01-06 23:06:53.569834,0 days 00:00:00.105534,19,39,3.429009210559284,0.2971119164889985,2.6223339754351995,3.9598212039660146,2.7688961090754143,0.101433862328752,COMPLETE
32,3.358581508345467,2026-01-06 22:59:08.509991,2026-01-06 22:59:08.616938,0 days 00:00:00.106947,18,39,3.1434038038530407,0.26094951861649074,2.5262643503365596,3.059666542767009,2.9583339572248146,0.03890313395051366,COMPLETE
34,3.358581508345467,2026-01-06 22:59:08.977674,2026-01-06 22:59:09.051318,0 days 00:00:00.073644,15,39,3.364923140636785,0.23055641622129172,2.0980952274090106,3.7655035023224723,2.547097963247072,0.025594128423547205,COMPLETE
39,3.358581508345467,2026-01-06 22:59:10.047334,2026-01-06 22:59:10.123128,0 days 00:00:00.075794,10,38,3.642669988455203,0.1810587481335009,2.5440147677740192,4.784056848375789,2.5270469764880783,0.01475027603528505,COMPLETE
42,3.358581508345467,2026-01-06 22:59:10.654065,2026-01-06 22:59:10.729285,0 days 00:00:00.075220,16,38,3.2308371744896833,0.12219645608513896,2.14159933806356,4.561290936001734,2.380918411812397,0.06399721510241196,COMPLETE
43,3.358581508345467,2026-01-06 22:59:10.870121,2026-01-06 22:59:11.004855,0 days 00:00:00.134734,17,38,3.4529085476035255,0.1435301343897846,2.1690895640518937,4.796729750249661,2.3070533210661455,0.0995681413401488,COMPLETE
839,3.358581508345467,2026-01-06 23:02:10.573893,2026-01-06 23:02:10.673842,0 days 00:00:00.099949,10,39,2.7970656415371558,0.18843016071492663,2.1453862759556612,3.005176161935723,3.5886075260355113,0.16674056974694346,COMPLETE
847,3.358581508345467,2026-01-06 23:02:12.530767,2026-01-06 23:02:12.617349,0 days 00:00:00.086582,26,38,3.4490483583144287,0.1067199627800792,2.284237192301516,4.174228855319678,2.0351202613652872,0.13653966373076676,COMPLETE
903,3.358581508345467,2026-01-06 23:02:26.457813,2026-01-06 23:02:26.557652,0 days 00:00:00.099839,13,38,3.317099312679321,0.2392545772559455,2.049033537162581,3.8847285501074165,2.244811694191622,0.03380869573353129,COMPLETE
904,3.358581508345467,2026-01-06 23:02:26.767538,2026-01-06 23:02:26.929806,0 days 00:00:00.162268,21,39,3.6313777120254773,0.18867723007107493,2.770062650690354,3.799415675966239,3.0056299590492204,0.027564245755175534,COMPLETE
817,3.358581508345467,2026-01-06 23:02:05.601953,2026-01-06 23:02:05.686848,0 days 00:00:00.084895,13,38,2.8714667216192757,0.24267668448033466,2.223627718881899,3.0087354264277417,3.48237758314855,0.07564411758457273,COMPLETE
819,3.358581508345467,2026-01-06 23:02:06.053312,2026-01-06 23:02:06.136364,0 days 00:00:00.083052,13,38,3.38959166602207,0.19184220664093665,3.234998915689138,3.877789586462989,2.7416760584149396,0.08635799653810558,COMPLETE
820,3.358581508345467,2026-01-06 23:02:06.259774,2026-01-06 23:02:06.340324,0 days 00:00:00.080550,12,38,2.047879994381517,0.24162777115955222,2.1109170819097574,3.3222641826611885,2.5463913892841665,0.19516982043367886,COMPLETE
828,3.358581508345467,2026-01-06 23:02:08.103304,2026-01-06 23:02:08.191551,0 days 00:00:00.088247,14,38,2.459167829616861,0.2854617768912209,2.2513557610044486,3.1243384318085,2.5106779468825757,0.07826097835933521,COMPLETE
831,3.358581508345467,2026-01-06 23:02:08.756582,2026-01-06 23:02:08.850653,0 days 00:00:00.094071,11,39,2.4435211592850203,0.0074076916298699835,4.1239188409117595,5.922678574464285,3.588042507414951,0.25655064750593415,COMPLETE
1947,3.358581508345467,2026-01-06 23:06:50.417543,2026-01-06 23:06:50.522841,0 days 00:00:00.105298,22,39,3.1931126030093417,0.2155207211770703,2.471101107411331,3.3541625028865028,2.327283757050906,0.1368444126724541,COMPLETE
921,3.358581508345467,2026-01-06 23:02:31.103197,2026-01-06 23:02:31.188336,0 days 00:00:00.085139,25,39,3.880474478086043,0.281027615814949,2.0676835641508395,3.144264701976268,3.286344694825221,0.08965963395079997,COMPLETE
927,3.358581508345467,2026-01-06 23:02:32.602849,2026-01-06 23:02:32.716298,0 days 00:00:00.113449,24,38,3.6186595049465105,0.2920790266184557,3.0775339062403253,3.415816821823066,1.98471368881116,0.17975411363229818,COMPLETE
810,3.358581508345467,2026-01-06 23:02:03.980368,2026-01-06 23:02:04.080810,0 days 00:00:00.100442,16,38,3.522171800782788,0.15640640085617968,2.209404186713547,4.976363091780895,2.0067588803802927,0.18205965726439938,COMPLETE
812,3.358581508345467,2026-01-06 23:02:04.447712,2026-01-06 23:02:04.542602,0 days 00:00:00.094890,12,38,2.661271764131136,0.17084248583310935,3.026619392155073,3.386299226887081,3.117460863699518,0.0018127231357465915,COMPLETE
813,3.358581508345467,2026-01-06 23:02:04.681116,2026-01-06 23:02:04.770257,0 days 00:00:00.089141,22,39,3.5641270612406117,0.1474722583607767,2.079681685430872,4.899170465286375,2.3853584008491917,0.060521159851749384,COMPLETE
814,3.358581508345467,2026-01-06 23:02:04.919132,2026-01-06 23:02:05.003874,0 days 00:00:00.084742,22,38,3.2861481836722906,0.25944570635873654,2.943518066640269,3.6559518120952568,3.2577551472849313,0.08264355345246996,COMPLETE
932,3.358581508345467,2026-01-06 23:02:33.957735,2026-01-06 23:02:34.043408,0 days 00:00:00.085673,11,38,3.437264133530574,0.29861144970729425,2.5888030168357474,3.2944477879004,2.534901972066846,0.07515550869077217,COMPLETE
937,3.358581508345467,2026-01-06 23:02:35.183897,2026-01-06 23:02:35.271124,0 days 00:00:00.087227,20,39,3.0190860148231238,0.08936550180966613,2.1031841896857575,4.034547883269988,2.1674824716319234,0.09007881328012834,COMPLETE
938,3.358581508345467,2026-01-06 23:02:35.407196,2026-01-06 23:02:35.547564,0 days 00:00:00.140368,40,38,3.58467031006799,0.052012616983432236,2.676907103992016,3.1888772182214185,2.8795167863428532,0.29945552810087656,COMPLETE
939,3.358581508345467,2026-01-06 23:02:35.677344,2026-01-06 23:02:35.770302,0 days 00:00:00.092958,21,39,3.113283868772666,0.29524984826881384,2.322808162489872,3.131867090934887,2.7502732613226595,0.010380240789897528,COMPLETE
785,3.358581508345467,2026-01-06 23:01:58.371191,2026-01-06 23:01:58.457541,0 days 00:00:00.086350,10,38,3.5544201429579076,0.25908160545277026,2.9012694816041065,3.4744978636766644,1.909375715431251,0.01781289869447482,COMPLETE
