number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
291,3.862473884530547,2026-01-05 02:53:56.897604,2026-01-05 02:53:57.019699,0 days 00:00:00.122095,12,14,48,2.1232982572162022,13,5,22,5,2.393102920105971,48,4,10,4.3612428127779275,2.7617650887585974,COMPLETE
445,3.8588048982639833,2026-01-05 02:54:40.939454,2026-01-05 02:54:41.061846,0 days 00:00:00.122392,28,9,44,2.533397276930807,15,7,16,7,3.658165398981105,47,4,10,4.934672611395347,2.839679028382305,COMPLETE
461,3.843635001572803,2026-01-05 02:54:45.672709,2026-01-05 02:54:45.798732,0 days 00:00:00.126023,21,10,46,2.414353308670103,5,6,16,7,4.076311062681795,47,4,2,3.1905881268590157,2.394396687488684,COMPLETE
344,3.8343160638769116,2026-01-05 02:54:11.501623,2026-01-05 02:54:11.799957,0 days 00:00:00.298334,28,10,47,2.812585776577394,17,9,15,7,3.4690519837805858,48,4,9,4.890012530739676,2.0351963968462043,COMPLETE
369,3.8343160638769116,2026-01-05 02:54:18.796552,2026-01-05 02:54:18.935498,0 days 00:00:00.138946,12,10,48,2.282669732251244,9,7,16,7,3.35903039623073,48,4,3,3.6830283603186587,1.4704458978376207,COMPLETE
489,3.833599898366018,2026-01-05 02:54:52.672570,2026-01-05 02:54:52.837619,0 days 00:00:00.165049,25,9,42,2.4851359082987368,12,7,16,6,3.5356810077181504,46,4,10,4.989021484505416,3.2488761148837955,COMPLETE
115,3.8334294286368085,2026-01-05 02:53:13.983447,2026-01-05 02:53:14.111238,0 days 00:00:00.127791,20,11,48,2.740024600790252,7,8,13,10,3.435549795111164,47,3,3,4.549152532239686,2.426432384454993,COMPLETE
36,3.8326111811823025,2026-01-05 02:52:55.363006,2026-01-05 02:52:55.486460,0 days 00:00:00.123454,29,12,42,1.7009475385244168,14,6,13,9,3.6456741779701747,49,4,10,3.478441950337957,1.5591487238539026,COMPLETE
84,3.8326111811823025,2026-01-05 02:53:06.836355,2026-01-05 02:53:06.961511,0 days 00:00:00.125156,27,10,49,2.7453230622038642,15,5,16,7,2.4964463171411126,47,4,10,4.981876808280214,2.1311654169162093,COMPLETE
120,3.8313840283847616,2026-01-05 02:53:15.102129,2026-01-05 02:53:15.221658,0 days 00:00:00.119529,17,12,45,2.6886274608209315,5,6,15,6,4.377656368831296,50,4,2,3.6195726256281486,2.314103955107686,COMPLETE
63,3.8179454972775315,2026-01-05 02:53:01.693941,2026-01-05 02:53:01.849907,0 days 00:00:00.155966,28,15,48,2.5042742924942947,10,6,16,4,3.58252477658434,46,2,9,4.605572855659952,1.4685096593938842,COMPLETE
38,3.8161891835717454,2026-01-05 02:52:55.990866,2026-01-05 02:52:56.122875,0 days 00:00:00.132009,25,12,36,1.661198313616965,16,7,15,8,3.530465097700227,50,3,10,3.086826217052508,1.3656950418993112,COMPLETE
496,3.8161891835717454,2026-01-05 02:54:54.391242,2026-01-05 02:54:54.514795,0 days 00:00:00.123553,26,12,45,2.6447822380107366,18,9,15,8,3.258093753257711,49,3,10,4.607781139496849,1.9280679926165751,COMPLETE
339,3.8152124136113845,2026-01-05 02:54:10.192482,2026-01-05 02:54:10.322196,0 days 00:00:00.129714,14,9,47,2.9660207682504622,10,7,16,6,3.496126413373606,45,4,3,4.2916677714198705,1.9281697319893107,COMPLETE
305,3.814117963896487,2026-01-05 02:54:01.159994,2026-01-05 02:54:01.284928,0 days 00:00:00.124934,14,15,48,1.9518367087537674,15,5,20,6,2.459145826530522,46,3,10,4.460556720503536,3.0471827227708723,COMPLETE
353,3.812485829139597,2026-01-05 02:54:14.131114,2026-01-05 02:54:14.261868,0 days 00:00:00.130754,28,10,44,2.9592953510328286,18,8,15,6,3.5512173241851963,47,4,8,4.966386553947055,2.3409270402891114,COMPLETE
90,3.8123685027015206,2026-01-05 02:53:08.221777,2026-01-05 02:53:08.348896,0 days 00:00:00.127119,30,10,47,2.9694792273162567,16,9,16,7,3.5094766340566954,50,3,9,4.642616220018567,1.9610857167429332,COMPLETE
271,3.8112388015766676,2026-01-05 02:53:50.785208,2026-01-05 02:53:51.057087,0 days 00:00:00.271879,22,12,39,1.6688484533320098,11,8,14,8,4.019486853147909,47,4,9,3.2771559369207823,1.2109837402634132,COMPLETE
394,3.8111397751860063,2026-01-05 02:54:26.080076,2026-01-05 02:54:26.209663,0 days 00:00:00.129587,29,11,40,2.9935671743952708,16,9,21,7,4.181026384074394,41,3,6,4.90111016642297,2.398253283170064,COMPLETE
176,3.8111397751860063,2026-01-05 02:53:28.117323,2026-01-05 02:53:28.232569,0 days 00:00:00.115246,28,9,47,1.5525032423118708,13,7,19,8,2.3457335285234917,45,3,10,4.538559741471476,1.7632390831707097,COMPLETE
488,3.8110920327484292,2026-01-05 02:54:52.447537,2026-01-05 02:54:52.570187,0 days 00:00:00.122650,27,9,43,2.7736519874226544,12,7,18,6,3.5986285144829964,46,4,10,4.893222132931063,2.9012583012805013,COMPLETE
238,3.810730663418245,2026-01-05 02:53:43.102946,2026-01-05 02:53:43.220708,0 days 00:00:00.117762,17,11,47,2.527591698208089,10,6,15,8,3.8429069927345068,42,4,2,4.599769607825355,2.2648790337398994,COMPLETE
385,3.810160525670547,2026-01-05 02:54:23.439486,2026-01-05 02:54:23.571406,0 days 00:00:00.131920,29,9,43,2.8752523423968834,16,9,18,7,4.1403746074858745,46,4,6,4.988571055080489,2.1525169276712015,COMPLETE
383,3.810160525670547,2026-01-05 02:54:22.962005,2026-01-05 02:54:23.081078,0 days 00:00:00.119073,16,9,46,2.8178675271443065,11,8,18,7,4.156621077432255,46,4,4,4.388991798633268,1.701677383832161,COMPLETE
259,3.810160525670547,2026-01-05 02:53:47.976320,2026-01-05 02:53:48.105891,0 days 00:00:00.129571,25,10,48,2.7366337359824464,8,9,18,6,2.491037654299759,48,4,6,4.495195062820533,2.468248409082981,COMPLETE
335,3.8099076416237607,2026-01-05 02:54:09.231900,2026-01-05 02:54:09.359709,0 days 00:00:00.127809,28,10,50,2.5076047703663393,11,8,17,6,3.3315445118646743,46,4,6,4.674934836922756,2.178532157924814,COMPLETE
389,3.8089713650693797,2026-01-05 02:54:24.685650,2026-01-05 02:54:24.814857,0 days 00:00:00.129207,26,9,46,2.7785729409890334,14,9,22,6,4.347976859781212,47,3,6,4.969498552586253,2.23664455419949,COMPLETE
346,3.808455642975938,2026-01-05 02:54:12.164387,2026-01-05 02:54:12.463367,0 days 00:00:00.298980,15,10,49,2.941099694930121,10,7,16,7,3.9543493616057197,49,4,3,4.066617914380506,1.4185893132283116,COMPLETE
377,3.805966259927439,2026-01-05 02:54:21.168832,2026-01-05 02:54:21.302863,0 days 00:00:00.134031,25,10,50,2.396662699878786,17,7,15,7,2.527269475287771,49,4,10,4.700395101774229,2.5047005397629385,COMPLETE
111,3.805966259927439,2026-01-05 02:53:13.018387,2026-01-05 02:53:13.140340,0 days 00:00:00.121953,29,11,50,2.624586257116418,11,8,16,7,3.47434442018953,46,4,6,4.963674212879396,2.111419399033104,COMPLETE
376,3.805966259927439,2026-01-05 02:54:20.927890,2026-01-05 02:54:21.049762,0 days 00:00:00.121872,14,11,49,2.3517799250782514,11,7,16,9,3.4802157239356046,43,4,4,4.03484439296981,1.4789204657165331,COMPLETE
147,3.8022926213886112,2026-01-05 02:53:21.288569,2026-01-05 02:53:21.415585,0 days 00:00:00.127016,25,12,48,2.607014502358645,9,8,14,8,3.175082358320223,47,4,6,4.231129566298083,2.143507128332722,COMPLETE
283,3.801075471412245,2026-01-05 02:53:54.438273,2026-01-05 02:53:54.559687,0 days 00:00:00.121414,15,12,45,2.0514369138421347,8,5,15,7,2.338709247013548,48,4,9,4.761359241513471,2.7273646413950847,COMPLETE
464,3.801075471412245,2026-01-05 02:54:46.679049,2026-01-05 02:54:46.802629,0 days 00:00:00.123580,20,9,48,2.503301352944302,6,6,15,8,4.083892290140403,44,4,3,3.5203507600085295,2.270564894172011,COMPLETE
279,3.7996528274238144,2026-01-05 02:53:53.326013,2026-01-05 02:53:53.458391,0 days 00:00:00.132378,17,14,49,2.7668065717930386,9,7,20,4,2.3981619014838556,47,4,10,4.439375574183056,2.77360931648243,COMPLETE
430,3.7996528274238144,2026-01-05 02:54:36.428111,2026-01-05 02:54:36.550685,0 days 00:00:00.122574,22,9,49,2.894542869600027,8,8,18,6,2.7265417480882723,45,4,5,4.384624429217667,2.469016939627644,COMPLETE
434,3.799308876422351,2026-01-05 02:54:37.823050,2026-01-05 02:54:37.973728,0 days 00:00:00.150678,15,12,49,2.771162683401675,10,8,15,7,4.04828973128212,48,4,6,4.340463270534503,1.4597642074615023,COMPLETE
451,3.799308876422351,2026-01-05 02:54:42.598622,2026-01-05 02:54:42.723937,0 days 00:00:00.125315,12,11,46,2.3001679329418034,11,7,16,6,3.5063388400804403,49,4,6,3.9076210684678045,1.2207402602148454,COMPLETE
288,3.799308876422351,2026-01-05 02:53:55.921697,2026-01-05 02:53:56.190393,0 days 00:00:00.268696,15,14,46,2.0922804963808015,11,5,16,6,2.1808750693834087,49,4,10,4.844673778395779,2.3816637197928237,COMPLETE
118,3.797954806357047,2026-01-05 02:53:14.677989,2026-01-05 02:53:14.797988,0 days 00:00:00.119999,19,10,47,2.8129864084106058,7,6,15,7,3.7367027711337775,48,5,2,4.045271888032201,2.6348313827401877,COMPLETE
416,3.797356462281282,2026-01-05 02:54:32.575127,2026-01-05 02:54:32.709398,0 days 00:00:00.134271,27,10,40,2.844033908837872,12,10,19,6,4.058569816178428,47,4,5,4.858523046678466,1.7766482969714927,COMPLETE
371,3.797356462281282,2026-01-05 02:54:19.496360,2026-01-05 02:54:19.645386,0 days 00:00:00.149026,12,10,47,2.386026765746335,13,6,19,6,3.7115457979208024,47,4,3,3.5141912673010274,1.8020721886811288,COMPLETE
117,3.795231982944587,2026-01-05 02:53:14.446623,2026-01-05 02:53:14.566989,0 days 00:00:00.120366,24,12,48,2.5884528518945062,6,8,14,8,4.1612118322377984,49,5,4,4.171433109925149,2.537620117282296,COMPLETE
427,3.794992856963082,2026-01-05 02:54:35.515870,2026-01-05 02:54:35.650494,0 days 00:00:00.134624,29,10,45,2.674130039866825,16,9,17,7,3.9085424657528485,47,4,6,4.92042379324835,2.4701970084504734,COMPLETE
