number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
132,0.8896330699770199,2026-01-04 02:25:22.451670,2026-01-04 02:25:24.190924,0 days 00:00:01.739254,16,39,3.157641797462708,9,8,19,11,2.277421093647696,47,4,4,3.7355439834664614,1.6196516656119895,COMPLETE
191,0.8875322606449241,2026-01-04 02:27:03.475996,2026-01-04 02:27:05.192363,0 days 00:00:01.716367,15,45,1.8911875742034798,10,8,29,10,3.712696765304576,49,3,1,5.193716505662232,1.3873981642895954,COMPLETE
94,0.8871998921958204,2026-01-04 02:24:17.296244,2026-01-04 02:24:19.054591,0 days 00:00:01.758347,19,39,2.5593242359225936,7,8,19,10,3.6065554203024144,47,4,1,4.918362092117378,1.2975907935900304,COMPLETE
193,0.886602262419313,2026-01-04 02:27:07.071673,2026-01-04 02:27:08.783951,0 days 00:00:01.712278,10,51,2.7915181197246435,10,7,24,14,3.1988568251996448,48,3,6,5.588681352629914,1.189272417856554,COMPLETE
70,0.8858689319132246,2026-01-04 02:23:27.257455,2026-01-04 02:23:29.632221,0 days 00:00:02.374766,14,46,2.5903498634860544,10,10,24,11,2.039462440350491,48,3,3,2.122609186567371,1.7337749408624128,COMPLETE
154,0.8830842533585068,2026-01-04 02:26:01.473684,2026-01-04 02:26:03.278201,0 days 00:00:01.804517,10,47,2.3391621893866796,9,6,21,15,3.5886390264495716,49,3,5,5.915828344360117,1.3880440511691026,COMPLETE
74,0.8825611728233411,2026-01-04 02:23:37.316090,2026-01-04 02:23:39.503344,0 days 00:00:02.187254,16,36,2.8102483387593553,9,9,21,11,2.893605288531074,47,4,3,3.578915157701804,1.4923747830715746,COMPLETE
189,0.8823633413409804,2026-01-04 02:26:59.682630,2026-01-04 02:27:01.447562,0 days 00:00:01.764932,11,49,2.5313223842316,9,7,23,14,3.7903476607144517,48,3,5,5.966840154054461,1.3001079024328603,COMPLETE
69,0.882110432005057,2026-01-04 02:23:24.978075,2026-01-04 02:23:27.129555,0 days 00:00:02.151480,13,40,2.572850689732929,9,10,18,12,2.1195063872102144,46,4,2,3.1058063997401346,1.5774738784842584,COMPLETE
80,0.8803756511040349,2026-01-04 02:23:49.208754,2026-01-04 02:23:51.379687,0 days 00:00:02.170933,13,46,2.1649161882102277,5,7,19,15,3.934741449913035,48,3,2,4.091148275957056,2.628887893906696,COMPLETE
105,0.8802139859567477,2026-01-04 02:24:35.861175,2026-01-04 02:24:37.560549,0 days 00:00:01.699374,21,40,2.7935638377110257,6,6,19,9,3.815542943885672,47,4,2,5.04710744146835,1.4195797235121124,COMPLETE
67,0.8795323766431572,2026-01-04 02:23:20.421492,2026-01-04 02:23:22.515061,0 days 00:00:02.093569,11,43,2.307334200278227,5,7,20,15,3.250137399752725,47,3,2,4.9791196416866255,2.297678643202383,COMPLETE
29,0.8795323505103078,2026-01-04 02:22:05.548794,2026-01-04 02:22:07.602641,0 days 00:00:02.053847,11,49,2.6530345737731107,6,10,20,15,3.028308394849499,47,3,3,3.9927211357154846,2.5187523374400085,COMPLETE
99,0.8789649825063328,2026-01-04 02:24:24.914294,2026-01-04 02:24:26.618386,0 days 00:00:01.704092,21,36,3.052287073129983,6,8,19,10,3.3873268954837337,46,4,1,4.444470578723791,1.457470645526953,COMPLETE
137,0.8788103679010674,2026-01-04 02:25:30.036662,2026-01-04 02:25:31.785682,0 days 00:00:01.749020,13,49,2.6329780554439246,10,10,25,13,1.7311916549973696,46,3,1,3.4142296967677392,1.6426456006965493,COMPLETE
27,0.8787832192062904,2026-01-04 02:22:01.050743,2026-01-04 02:22:03.105861,0 days 00:00:02.055118,12,40,3.131248472708286,5,10,25,13,3.0254469143621217,45,3,3,4.042277402045071,2.044508265495317,COMPLETE
37,0.8783584195226765,2026-01-04 02:22:23.336859,2026-01-04 02:22:25.495572,0 days 00:00:02.158713,14,44,2.450365097295475,6,10,20,11,2.429181602327552,46,4,1,4.345660167486063,1.5555626490485004,COMPLETE
84,0.8777388948479107,2026-01-04 02:23:54.290873,2026-01-04 02:23:56.639708,0 days 00:00:02.348835,11,43,1.8692810853059862,5,6,23,15,3.5954004682204643,48,3,5,3.703201517821447,2.4065340272403395,COMPLETE
107,0.876464844473028,2026-01-04 02:24:37.929094,2026-01-04 02:24:40.404030,0 days 00:00:02.474936,23,37,3.4146086320848434,7,6,20,8,3.7514262405928487,48,4,3,4.928044954022239,2.034969907439298,COMPLETE
185,0.8754872575702114,2026-01-04 02:26:52.871624,2026-01-04 02:26:55.364253,0 days 00:00:02.492629,23,36,3.3449203906844285,6,6,17,7,3.8378330500652007,54,3,3,4.565830853829042,1.9970060776877352,COMPLETE
171,0.8753545437192338,2026-01-04 02:26:29.541303,2026-01-04 02:26:31.313703,0 days 00:00:01.772400,11,46,2.1080715691203165,9,7,26,14,3.8361368016785087,48,3,1,5.773315670524764,1.6746596708342827,COMPLETE
49,0.8745363551527331,2026-01-04 02:22:49.056883,2026-01-04 02:22:51.263435,0 days 00:00:02.206552,10,46,2.4714840387475205,9,5,21,14,3.3822442487927034,46,3,6,5.84987208972398,1.5672474583310243,COMPLETE
42,0.8743397072158277,2026-01-04 02:22:32.969214,2026-01-04 02:22:35.227333,0 days 00:00:02.258119,11,49,2.497387289377042,6,7,23,14,3.2074989217695156,45,3,5,5.660029220133378,1.206409699834432,COMPLETE
160,0.8742720834081339,2026-01-04 02:26:11.035060,2026-01-04 02:26:12.754471,0 days 00:00:01.719411,11,42,1.8143187318335943,5,8,19,15,3.798554817705427,50,3,3,5.35283691696551,2.3170524852992056,COMPLETE
138,0.8738870380437372,2026-01-04 02:25:31.901435,2026-01-04 02:25:33.560028,0 days 00:00:01.658593,10,47,2.3235824076574265,9,9,20,13,2.2369394161385716,51,3,1,3.927807763490796,1.2017246760020137,COMPLETE
155,0.87313292332472,2026-01-04 02:26:03.392076,2026-01-04 02:26:05.067193,0 days 00:00:01.675117,11,53,2.0537051048258252,8,5,19,11,3.789917507163439,48,3,4,5.622593581767286,1.5086100190955563,COMPLETE
40,0.8731138758158669,2026-01-04 02:22:28.193774,2026-01-04 02:22:30.358129,0 days 00:00:02.164355,11,47,2.5951390344363032,5,9,19,14,3.190989059655589,47,3,4,4.6524467638414055,1.7490412493841003,COMPLETE
53,0.8728970456261361,2026-01-04 02:22:56.350069,2026-01-04 02:22:58.509457,0 days 00:00:02.159388,11,45,2.5534672424430624,8,5,20,14,3.290456558465589,47,3,5,5.590157765020249,2.0979682675859,COMPLETE
159,0.8725854431755891,2026-01-04 02:26:09.188973,2026-01-04 02:26:10.924337,0 days 00:00:01.735364,10,40,1.9277037816540332,5,5,20,15,3.7144191859090188,51,3,8,4.084801335882295,2.6281101125110076,COMPLETE
118,0.8725785152245764,2026-01-04 02:24:59.730313,2026-01-04 02:25:01.406356,0 days 00:00:01.676043,10,51,2.0841439693807278,5,8,17,14,3.887453527930142,45,4,3,3.486872689552337,2.9554724483342576,COMPLETE
90,0.872059788358735,2026-01-04 02:24:08.750883,2026-01-04 02:24:10.898158,0 days 00:00:02.147275,12,46,2.4584334351812718,7,9,22,12,1.6988120165022604,43,4,2,4.38778271175474,1.532881622956774,COMPLETE
128,0.869812425012544,2026-01-04 02:25:16.488757,2026-01-04 02:25:18.269501,0 days 00:00:01.780744,13,36,2.749686024713557,9,9,19,9,3.029687903862998,44,4,2,4.858200264094892,1.7760486517651108,COMPLETE
162,0.8676465873718638,2026-01-04 02:26:14.665700,2026-01-04 02:26:16.353916,0 days 00:00:01.688216,12,55,2.224499450314018,10,6,19,15,3.0496401146065306,47,2,5,5.057452463666029,1.2593218946762228,COMPLETE
192,0.8669669539981327,2026-01-04 02:27:05.302966,2026-01-04 02:27:06.956765,0 days 00:00:01.653799,12,44,2.4725611156543548,10,7,22,15,3.544398901330363,53,3,2,4.512905978137971,2.075685049874175,COMPLETE
51,0.8668908510099141,2026-01-04 02:22:53.786638,2026-01-04 02:22:55.977508,0 days 00:00:02.190870,12,50,2.4984185571829296,9,7,28,13,3.8490043473124302,47,3,7,5.929613285239665,1.8563082653425789,COMPLETE
161,0.8668151034622389,2026-01-04 02:26:12.879601,2026-01-04 02:26:14.555609,0 days 00:00:01.676008,14,49,2.072100199877038,6,9,19,10,2.37830710873984,51,4,2,4.521355713583453,1.537679537768966,COMPLETE
17,0.8664945174923934,2026-01-04 02:21:40.533183,2026-01-04 02:21:42.561715,0 days 00:00:02.028532,16,42,3.4541179430791575,7,8,18,11,3.7301163879427834,40,3,6,4.340123816987683,2.589622607083297,COMPLETE
198,0.8664862931175449,2026-01-04 02:27:16.236366,2026-01-04 02:27:17.937014,0 days 00:00:01.700648,13,49,2.394476327437075,6,6,23,15,3.150086281636831,53,3,3,4.663352117961799,2.463249392198441,COMPLETE
50,0.8662999463643429,2026-01-04 02:22:51.375996,2026-01-04 02:22:53.672650,0 days 00:00:02.296654,13,41,2.5181512353262216,9,5,26,14,3.235897991860093,44,3,4,4.810738191805747,1.287578234168389,COMPLETE
