number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_median_length,params_min_period,params_position_size_pct,params_sigmoid_margin,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,params_trim_percent,params_use_replacement,user_attrs_avg_max_dd,user_attrs_avg_return_pct,user_attrs_avg_sharpe,user_attrs_avg_win_rate,user_attrs_total_trades,state
0,-10.0,2026-01-01 13:37:01.452790,2026-01-01 13:37:11.939732,0 days 00:00:10.486942,17,10,173,2.69622978765356,16,19.855631141250115,20,27,8,0.092013051712535,0.02410097569918046,1.6065202909782879,15,18.91878763631201,14.306819524734088,6.215186253406782,3.6277142173467,0.3324904206952528,True,0.0,0.0,0.0,0.0,0,COMPLETE
1,-10.0,2026-01-01 13:37:01.477329,2026-01-01 13:37:11.623323,0 days 00:00:10.145994,5,7,62,4.493311926080072,20,9.666892626685918,37,22,4,0.14001562328309283,0.0191439496039278,1.5791206143139922,22,14.651971498868566,9.689815469734084,9.968583582110488,2.1738791123954893,0.22325100672495307,False,0.0,0.0,0.0,0.0,0,COMPLETE
2,-10.0,2026-01-01 13:37:01.511688,2026-01-01 13:37:10.936915,0 days 00:00:09.425227,16,6,72,4.824848204421842,8,19.686733473370687,49,10,7,0.08388813397758788,0.2706943810935995,4.752912098575554,31,18.510282594197037,9.52178905355296,4.332105784453758,1.011671238203275,0.19364695118476738,True,0.0,0.0,0.0,0.0,0,COMPLETE
3,-10.0,2026-01-01 13:37:01.564005,2026-01-01 13:37:11.090361,0 days 00:00:09.526356,13,12,63,4.749140959046715,30,6.9368031025419015,30,13,9,0.09884046601650458,0.2684699982981263,7.702181419694216,23,11.284607271095666,5.208567841504556,9.690514217099054,1.1456987850138773,0.3220382176586116,True,0.0,0.0,0.0,0.0,0,COMPLETE
4,-10.0,2026-01-01 13:37:01.567887,2026-01-01 13:37:11.575154,0 days 00:00:10.007267,9,14,134,3.909809210315753,6,17.13856357881974,56,11,4,0.148600961231518,0.1434324984186459,5.719974288926695,20,18.21764382826875,10.01573184682606,8.467494372918601,3.9045918737448018,0.13621663404985324,False,0.0,0.0,0.0,0.0,0,COMPLETE
5,-10.0,2026-01-01 13:37:01.621187,2026-01-01 13:37:11.763555,0 days 00:00:10.142368,13,11,108,4.917035705201876,15,18.47693715591368,33,5,2,0.09777719850429631,0.08211975719167293,1.0050890874505376,40,14.65897318692998,17.447187040635317,8.607508790555777,4.726932576596125,0.16817690212641298,True,0.0,0.0,0.0,0.0,0,COMPLETE
6,-10.0,2026-01-01 13:37:01.620441,2026-01-01 13:37:10.923647,0 days 00:00:09.303206,15,13,158,1.2633443791275605,12,17.616757372317426,25,11,9,0.18986457432484038,0.2644370045587078,6.32293740638368,36,17.94974536593221,7.397991567597599,9.056562110566917,3.479698831677057,0.3577634900624975,True,0.0,0.0,0.0,0.0,0,COMPLETE
7,-10.0,2026-01-01 13:37:01.564525,2026-01-01 13:37:12.305790,0 days 00:00:10.741265,13,14,77,2.4638123354302675,11,7.652032604487587,21,27,6,0.1180074595477713,0.00506529864939812,5.62975746012157,20,14.715036815568125,15.463107744690916,6.250049430573039,4.063075200329954,0.27083514405618614,True,0.0,0.0,0.0,0.0,0,COMPLETE
8,-10.0,2026-01-01 13:37:01.701507,2026-01-01 13:37:10.892282,0 days 00:00:09.190775,20,5,75,4.172837893193794,6,6.542284990524491,25,30,5,0.09953734379989321,0.0655185500377923,4.319989984028478,54,10.160706513820465,11.317792290750875,3.118564519616,4.263552446931827,0.10807596017185617,False,0.0,0.0,0.0,0.0,0,COMPLETE
9,-10.0,2026-01-01 13:37:01.700859,2026-01-01 13:37:11.542949,0 days 00:00:09.842090,16,10,70,3.269160560960359,25,14.264138768260644,39,22,5,0.19400916581072858,0.10143028348012376,3.9728091223743798,52,10.278411062780876,12.300639382079751,10.790356176500595,3.5811910029327922,0.1433218056009266,True,0.0,0.0,0.0,0.0,0,COMPLETE
