number,value,datetime_start,datetime_complete,duration,params_base_period,params_channel_multi,params_fast_period,params_position_size_pct,params_sigmoid_margin,params_sl_multiplier,params_slow_period,params_steepness,params_tp_multiplier,params_trail_multiplier,state
0,-10.0,2026-01-01 14:19:15.615118,2026-01-01 14:19:15.697041,0 days 00:00:00.081923,10,1.5986584841970366,15,0.15621088666940686,0.3045463557541723,1.312037280884873,25,1.5227525095137953,1.3119890406724053,4.3977926559872085,COMPLETE
1,-10.0,2026-01-01 14:19:15.777438,2026-01-01 14:19:15.846867,0 days 00:00:00.069429,5,1.2123391106782762,15,0.0936843710297063,0.22165305913463673,1.3636499344142012,27,3.7381801866358395,1.3668090197068676,2.86140394234507,COMPLETE
2,-10.0,2026-01-01 14:19:15.914101,2026-01-01 14:19:15.999236,0 days 00:00:00.085135,14,1.3663618432936917,6,0.05696756190799966,0.3002831387424008,1.9121399684340719,16,2.7970640394252375,2.570351922786027,2.814054972861252,COMPLETE
