number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_max_period,params_min_period,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
33,0.8519313552345742,2026-01-02 21:57:33.546133,2026-01-02 21:57:35.218998,0 days 00:00:01.672865,25,56,1.6105931284056412,22,3,2.0128144806088457,4.854734773519992,1.738970546580662,COMPLETE
190,0.8519313552345742,2026-01-02 22:02:32.399910,2026-01-02 22:02:34.118513,0 days 00:00:01.718603,13,40,2.0635864640222206,22,3,1.8187390829208878,5.897960868784002,1.6683319783522277,COMPLETE
112,0.8519313552345742,2026-01-02 21:59:56.961368,2026-01-02 21:59:58.757177,0 days 00:00:01.795809,16,41,1.9679194904862076,22,3,1.6315856912218887,5.962124434835595,1.6062850184469155,COMPLETE
100,0.8519313552345742,2026-01-02 21:59:35.600032,2026-01-02 21:59:37.276438,0 days 00:00:01.676406,19,40,1.9278911897851982,22,3,1.8911345395341566,5.830554121738827,1.6681421658261055,COMPLETE
197,0.8517705365319016,2026-01-02 22:02:45.475762,2026-01-02 22:02:47.236836,0 days 00:00:01.761074,12,42,2.223498682235789,22,3,1.540780075419054,5.964771247119303,1.279104121959124,COMPLETE
141,0.8516695896233631,2026-01-02 22:00:55.065688,2026-01-02 22:00:57.199337,0 days 00:00:02.133649,22,56,1.550957220730503,22,3,1.636937855157091,4.723401482204288,1.4574317036123272,COMPLETE
56,0.851561033577699,2026-01-02 21:58:15.662669,2026-01-02 21:58:17.319386,0 days 00:00:01.656717,22,52,1.5071250246509569,22,3,1.903022794798822,3.8909836930886397,2.3027485896641555,COMPLETE
42,0.851561033577699,2026-01-02 21:57:49.500847,2026-01-02 21:57:51.120134,0 days 00:00:01.619287,19,50,2.359756805009228,22,3,2.022738399602461,5.7309685089242315,2.600957426824932,COMPLETE
103,0.851561033577699,2026-01-02 21:59:41.011856,2026-01-02 21:59:42.624382,0 days 00:00:01.612526,21,57,2.2398565073545997,22,3,1.5349141005972646,4.932337062126846,2.5173094376178353,COMPLETE
119,0.851561033577699,2026-01-02 22:00:12.347409,2026-01-02 22:00:14.185186,0 days 00:00:01.837777,16,57,2.0285900013066422,22,3,3.1723244307951015,1.758247668921139,2.958133728313286,COMPLETE
