number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,state
2426,3.1118036734607606,2026-01-07 04:10:30.204755,2026-01-07 04:10:30.254266,0 days 00:00:00.049511,42,38,COMPLETE
2429,3.1118036734607606,2026-01-07 04:10:30.719498,2026-01-07 04:10:30.774944,0 days 00:00:00.055446,47,38,COMPLETE
2401,3.1118036734607606,2026-01-07 04:10:25.119195,2026-01-07 04:10:25.168339,0 days 00:00:00.049144,46,38,COMPLETE
2407,3.1118036734607606,2026-01-07 04:10:26.431071,2026-01-07 04:10:26.486269,0 days 00:00:00.055198,50,38,COMPLETE
2408,3.1118036734607606,2026-01-07 04:10:26.616807,2026-01-07 04:10:26.683198,0 days 00:00:00.066391,44,38,COMPLETE
2409,3.1118036734607606,2026-01-07 04:10:26.870671,2026-01-07 04:10:26.947643,0 days 00:00:00.076972,35,39,COMPLETE
2388,3.1118036734607606,2026-01-07 04:10:22.818319,2026-01-07 04:10:22.877172,0 days 00:00:00.058853,39,39,COMPLETE
2486,3.1118036734607606,2026-01-07 04:10:42.465027,2026-01-07 04:10:42.532978,0 days 00:00:00.067951,50,38,COMPLETE
2380,3.1118036734607606,2026-01-07 04:10:20.993333,2026-01-07 04:10:21.047632,0 days 00:00:00.054299,50,39,COMPLETE
2499,3.1118036734607606,2026-01-07 04:10:44.948815,2026-01-07 04:10:45.001502,0 days 00:00:00.052687,36,38,COMPLETE
2501,3.1118036734607606,2026-01-07 04:10:45.302372,2026-01-07 04:10:45.369446,0 days 00:00:00.067074,50,39,COMPLETE
2504,3.1118036734607606,2026-01-07 04:10:45.838049,2026-01-07 04:10:45.903434,0 days 00:00:00.065385,46,38,COMPLETE
2509,3.1118036734607606,2026-01-07 04:10:46.951243,2026-01-07 04:10:47.037196,0 days 00:00:00.085953,31,39,COMPLETE
2353,3.1118036734607606,2026-01-07 04:10:15.639407,2026-01-07 04:10:15.692009,0 days 00:00:00.052602,47,39,COMPLETE
2355,3.1118036734607606,2026-01-07 04:10:16.044869,2026-01-07 04:10:16.094749,0 days 00:00:00.049880,50,38,COMPLETE
2363,3.1118036734607606,2026-01-07 04:10:17.539740,2026-01-07 04:10:17.593985,0 days 00:00:00.054245,39,39,COMPLETE
2342,3.1118036734607606,2026-01-07 04:10:13.690136,2026-01-07 04:10:13.740271,0 days 00:00:00.050135,43,39,COMPLETE
2512,3.1118036734607606,2026-01-07 04:10:47.555710,2026-01-07 04:10:47.608433,0 days 00:00:00.052723,47,38,COMPLETE
2515,3.1118036734607606,2026-01-07 04:10:48.265613,2026-01-07 04:10:48.317983,0 days 00:00:00.052370,50,38,COMPLETE
2520,3.1118036734607606,2026-01-07 04:10:49.420376,2026-01-07 04:10:49.519473,0 days 00:00:00.099097,43,38,COMPLETE
2523,3.1118036734607606,2026-01-07 04:10:50.097864,2026-01-07 04:10:50.148081,0 days 00:00:00.050217,39,39,COMPLETE
3957,3.1118036734607606,2026-01-07 04:15:40.475469,2026-01-07 04:15:40.537358,0 days 00:00:00.061889,50,38,COMPLETE
3967,3.1118036734607606,2026-01-07 04:15:42.593964,2026-01-07 04:15:42.655538,0 days 00:00:00.061574,38,38,COMPLETE
49,3.1118036734607606,2026-01-07 04:03:10.602079,2026-01-07 04:03:10.641832,0 days 00:00:00.039753,43,39,COMPLETE
2321,3.1118036734607606,2026-01-07 04:10:09.599178,2026-01-07 04:10:09.656485,0 days 00:00:00.057307,31,38,COMPLETE
2328,3.1118036734607606,2026-01-07 04:10:10.884002,2026-01-07 04:10:10.937188,0 days 00:00:00.053186,46,38,COMPLETE
2329,3.1118036734607606,2026-01-07 04:10:11.076875,2026-01-07 04:10:11.132657,0 days 00:00:00.055782,47,39,COMPLETE
2535,3.1118036734607606,2026-01-07 04:10:52.303547,2026-01-07 04:10:52.364117,0 days 00:00:00.060570,50,38,COMPLETE
2536,3.1118036734607606,2026-01-07 04:10:52.498323,2026-01-07 04:10:52.555925,0 days 00:00:00.057602,43,38,COMPLETE
2304,3.1118036734607606,2026-01-07 04:10:06.199995,2026-01-07 04:10:06.249664,0 days 00:00:00.049669,46,38,COMPLETE
2309,3.1118036734607606,2026-01-07 04:10:07.228237,2026-01-07 04:10:07.289760,0 days 00:00:00.061523,50,38,COMPLETE
2319,3.1118036734607606,2026-01-07 04:10:09.202971,2026-01-07 04:10:09.269937,0 days 00:00:00.066966,44,39,COMPLETE
2291,3.1118036734607606,2026-01-07 04:10:03.840181,2026-01-07 04:10:03.898481,0 days 00:00:00.058300,37,38,COMPLETE
68,3.1118036734607606,2026-01-07 04:03:14.304282,2026-01-07 04:03:14.344973,0 days 00:00:00.040691,38,38,COMPLETE
2294,3.1118036734607606,2026-01-07 04:10:04.375171,2026-01-07 04:10:04.425778,0 days 00:00:00.050607,46,38,COMPLETE
2296,3.1118036734607606,2026-01-07 04:10:04.708086,2026-01-07 04:10:04.760709,0 days 00:00:00.052623,40,38,COMPLETE
2303,3.1118036734607606,2026-01-07 04:10:06.033535,2026-01-07 04:10:06.083084,0 days 00:00:00.049549,41,38,COMPLETE
2546,3.1118036734607606,2026-01-07 04:10:54.775997,2026-01-07 04:10:54.827107,0 days 00:00:00.051110,38,39,COMPLETE
2551,3.1118036734607606,2026-01-07 04:10:55.676907,2026-01-07 04:10:55.801005,0 days 00:00:00.124098,44,38,COMPLETE
2272,3.1118036734607606,2026-01-07 04:10:00.151572,2026-01-07 04:10:00.206889,0 days 00:00:00.055317,50,39,COMPLETE
2277,3.1118036734607606,2026-01-07 04:10:01.189612,2026-01-07 04:10:01.239585,0 days 00:00:00.049973,46,39,COMPLETE
2287,3.1118036734607606,2026-01-07 04:10:03.149865,2026-01-07 04:10:03.199792,0 days 00:00:00.049927,46,38,COMPLETE
2567,3.1118036734607606,2026-01-07 04:10:59.031408,2026-01-07 04:10:59.080978,0 days 00:00:00.049570,33,38,COMPLETE
2571,3.1118036734607606,2026-01-07 04:10:59.710729,2026-01-07 04:10:59.757943,0 days 00:00:00.047214,50,38,COMPLETE
2259,3.1118036734607606,2026-01-07 04:09:57.851997,2026-01-07 04:09:57.912171,0 days 00:00:00.060174,43,39,COMPLETE
2269,3.1118036734607606,2026-01-07 04:09:59.605041,2026-01-07 04:09:59.653985,0 days 00:00:00.048944,26,38,COMPLETE
2591,3.1118036734607606,2026-01-07 04:11:03.443601,2026-01-07 04:11:03.513253,0 days 00:00:00.069652,43,38,COMPLETE
2252,3.1118036734607606,2026-01-07 04:09:56.632498,2026-01-07 04:09:56.683994,0 days 00:00:00.051496,46,38,COMPLETE
2255,3.1118036734607606,2026-01-07 04:09:57.166655,2026-01-07 04:09:57.214329,0 days 00:00:00.047674,43,39,COMPLETE
82,3.1118036734607606,2026-01-07 04:03:17.057230,2026-01-07 04:03:17.096311,0 days 00:00:00.039081,49,38,COMPLETE
87,3.1118036734607606,2026-01-07 04:03:17.798565,2026-01-07 04:03:17.841804,0 days 00:00:00.043239,50,38,COMPLETE
3938,3.1118036734607606,2026-01-07 04:15:36.582093,2026-01-07 04:15:36.639044,0 days 00:00:00.056951,32,38,COMPLETE
2596,3.1118036734607606,2026-01-07 04:11:04.371112,2026-01-07 04:11:04.421455,0 days 00:00:00.050343,50,38,COMPLETE
2226,3.1118036734607606,2026-01-07 04:09:51.616688,2026-01-07 04:09:51.678873,0 days 00:00:00.062185,43,38,COMPLETE
2228,3.1118036734607606,2026-01-07 04:09:52.078963,2026-01-07 04:09:52.195907,0 days 00:00:00.116944,33,38,COMPLETE
2230,3.1118036734607606,2026-01-07 04:09:52.587675,2026-01-07 04:09:52.643528,0 days 00:00:00.055853,47,38,COMPLETE
2234,3.1118036734607606,2026-01-07 04:09:53.335603,2026-01-07 04:09:53.385015,0 days 00:00:00.049412,40,38,COMPLETE
2616,3.1118036734607606,2026-01-07 04:11:08.230726,2026-01-07 04:11:08.281218,0 days 00:00:00.050492,43,38,COMPLETE
2618,3.1118036734607606,2026-01-07 04:11:08.579015,2026-01-07 04:11:08.660115,0 days 00:00:00.081100,34,39,COMPLETE
2622,3.1118036734607606,2026-01-07 04:11:09.554776,2026-01-07 04:11:09.605442,0 days 00:00:00.050666,50,39,COMPLETE
2196,3.1118036734607606,2026-01-07 04:09:44.290742,2026-01-07 04:09:44.343751,0 days 00:00:00.053009,41,38,COMPLETE
2627,3.1118036734607606,2026-01-07 04:11:10.465654,2026-01-07 04:11:10.521465,0 days 00:00:00.055811,39,39,COMPLETE
2631,3.1118036734607606,2026-01-07 04:11:11.214114,2026-01-07 04:11:11.263853,0 days 00:00:00.049739,36,38,COMPLETE
2636,3.1118036734607606,2026-01-07 04:11:12.124091,2026-01-07 04:11:12.171791,0 days 00:00:00.047700,43,39,COMPLETE
2637,3.1118036734607606,2026-01-07 04:11:12.311814,2026-01-07 04:11:12.365990,0 days 00:00:00.054176,39,38,COMPLETE
2638,3.1118036734607606,2026-01-07 04:11:12.502388,2026-01-07 04:11:12.570114,0 days 00:00:00.067726,50,38,COMPLETE
108,3.1118036734607606,2026-01-07 04:03:21.067089,2026-01-07 04:03:21.107111,0 days 00:00:00.040022,39,39,COMPLETE
2162,3.1118036734607606,2026-01-07 04:09:37.933091,2026-01-07 04:09:37.983171,0 days 00:00:00.050080,47,39,COMPLETE
2164,3.1118036734607606,2026-01-07 04:09:38.282607,2026-01-07 04:09:38.332544,0 days 00:00:00.049937,43,38,COMPLETE
2171,3.1118036734607606,2026-01-07 04:09:39.538999,2026-01-07 04:09:39.602213,0 days 00:00:00.063214,37,38,COMPLETE
2146,3.1118036734607606,2026-01-07 04:09:35.066526,2026-01-07 04:09:35.115951,0 days 00:00:00.049425,46,38,COMPLETE
2662,3.1118036734607606,2026-01-07 04:11:17.296838,2026-01-07 04:11:17.365570,0 days 00:00:00.068732,47,38,COMPLETE
2664,3.1118036734607606,2026-01-07 04:11:17.677853,2026-01-07 04:11:17.730471,0 days 00:00:00.052618,40,38,COMPLETE
2667,3.1118036734607606,2026-01-07 04:11:18.304270,2026-01-07 04:11:18.353807,0 days 00:00:00.049537,35,39,COMPLETE
2136,3.1118036734607606,2026-01-07 04:09:33.260776,2026-01-07 04:09:33.313032,0 days 00:00:00.052256,39,38,COMPLETE
2143,3.1118036734607606,2026-01-07 04:09:34.525579,2026-01-07 04:09:34.573647,0 days 00:00:00.048068,50,38,COMPLETE
2674,3.1118036734607606,2026-01-07 04:11:19.671331,2026-01-07 04:11:19.725257,0 days 00:00:00.053926,50,39,COMPLETE
2676,3.1118036734607606,2026-01-07 04:11:20.075523,2026-01-07 04:11:20.125404,0 days 00:00:00.049881,47,38,COMPLETE
2112,3.1118036734607606,2026-01-07 04:09:28.696107,2026-01-07 04:09:28.745756,0 days 00:00:00.049649,46,38,COMPLETE
2113,3.1118036734607606,2026-01-07 04:09:28.914231,2026-01-07 04:09:28.974864,0 days 00:00:00.060633,50,39,COMPLETE
