number,value,datetime_start,datetime_complete,duration,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_tp_multiplier,state
0,-10.0,2026-01-01 19:26:49.141382,2026-01-01 19:26:55.025080,0 days 00:00:05.883698,13,34,1.1522752509513796,5,30,8,1.8929409166199482,7,2.6011150117432087,COMPLETE
1,-10.0,2026-01-01 19:26:55.168174,2026-01-01 19:26:55.292508,0 days 00:00:00.124334,15,35,1.2650640588680906,6,32,3,1.4433937943676303,7,2.524756431632238,COMPLETE
2,-10.0,2026-01-01 19:26:55.413092,2026-01-01 19:26:55.532049,0 days 00:00:00.118957,14,41,1.5104629857953324,3,28,4,1.828140769114411,8,2.1996737821583596,COMPLETE
3,-10.0,2026-01-01 19:26:55.652345,2026-01-01 19:26:55.773435,0 days 00:00:00.121090,14,32,1.953996983528,5,22,6,1.9725056264596474,7,2.8083973481164612,COMPLETE
4,-10.0,2026-01-01 19:26:55.896284,2026-01-01 19:26:56.018397,0 days 00:00:00.122113,13,45,1.1309496690036966,4,29,3,1.9274563216630256,7,2.258779981600017,COMPLETE
5,-10.0,2026-01-01 19:26:56.145384,2026-01-01 19:26:56.416120,0 days 00:00:00.270736,15,60,1.797619541025003,5,27,4,1.9515991532513512,7,2.894827350427649,COMPLETE
6,-10.0,2026-01-01 19:26:56.550080,2026-01-01 19:26:56.663127,0 days 00:00:00.113047,14,40,1.449809560720534,3,22,8,1.4170792254191167,6,2.8287375091519293,COMPLETE
7,-10.0,2026-01-01 19:26:56.786544,2026-01-01 19:26:56.894534,0 days 00:00:00.107990,13,32,1.9881982429404657,3,27,4,1.817795815437326,13,2.198715681534172,COMPLETE
8,-10.0,2026-01-01 19:26:57.023173,2026-01-01 19:26:57.116925,0 days 00:00:00.093752,12,32,1.4226191556898455,5,29,7,1.2926952476201037,12,2.8631034258755936,COMPLETE
9,-10.0,2026-01-01 19:26:57.249343,2026-01-01 19:26:57.349093,0 days 00:00:00.099750,15,52,1.6738017242196919,4,22,4,1.9097701940610612,8,2.4722149251619494,COMPLETE
