number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
128,3.1277117468839757,2026-01-07 05:48:17.081915,2026-01-07 05:48:17.145647,0 days 00:00:00.063732,28,39,2.912378253221612,3.297949377300403,5.598151750523753,2.301237979309428,COMPLETE
1133,3.1277117468839757,2026-01-07 05:52:00.503865,2026-01-07 05:52:00.575596,0 days 00:00:00.071731,25,38,2.1552133218566523,3.4423099962685306,5.315158066941589,1.520606770829595,COMPLETE
1135,3.1277117468839757,2026-01-07 05:52:01.029170,2026-01-07 05:52:01.102959,0 days 00:00:00.073789,36,38,3.767313080361905,2.813315822689404,5.301401007178258,2.742881184482294,COMPLETE
1993,3.1277117468839757,2026-01-07 05:55:29.726134,2026-01-07 05:55:29.812907,0 days 00:00:00.086773,40,38,2.876956085328232,3.7142742516797003,4.663603433449121,2.574088911927968,COMPLETE
1666,3.1277117468839757,2026-01-07 05:54:05.198710,2026-01-07 05:54:05.280989,0 days 00:00:00.082279,20,39,2.069425056225926,3.513256185455263,5.090364086025345,1.675346640943375,COMPLETE
1667,3.1277117468839757,2026-01-07 05:54:05.413813,2026-01-07 05:54:05.494122,0 days 00:00:00.080309,26,38,2.359188642067471,3.1885693023488346,5.3214070216477625,2.1117900776759297,COMPLETE
1076,3.1277117468839757,2026-01-07 05:51:48.062292,2026-01-07 05:51:48.134641,0 days 00:00:00.072349,26,39,2.6077380616044876,3.691505127788475,5.336446698623371,1.5661825486225225,COMPLETE
226,3.1277117468839757,2026-01-07 05:48:37.678725,2026-01-07 05:48:37.749270,0 days 00:00:00.070545,15,38,2.359522857935512,3.3974570384885148,5.50283807166918,1.6859838596633883,COMPLETE
1109,3.1277117468839757,2026-01-07 05:51:55.272200,2026-01-07 05:51:55.344476,0 days 00:00:00.072276,44,39,3.1155236116100067,2.941738549993852,5.459454956485485,2.3605831690392347,COMPLETE
1111,3.1277117468839757,2026-01-07 05:51:55.693894,2026-01-07 05:51:55.782355,0 days 00:00:00.088461,24,39,2.195790756494402,3.9687917573301,5.759976218522206,1.7681514625518155,COMPLETE
1113,3.1277117468839757,2026-01-07 05:51:56.137090,2026-01-07 05:51:56.209463,0 days 00:00:00.072373,15,38,2.1743637412168857,4.174879262843686,5.842069174503264,2.133666489553424,COMPLETE
1772,3.1277117468839757,2026-01-07 05:54:33.456454,2026-01-07 05:54:33.698456,0 days 00:00:00.242002,45,39,2.9205116247387397,2.6080857701121665,4.769367392568325,3.0092847825625473,COMPLETE
1164,3.1277117468839757,2026-01-07 05:52:07.468227,2026-01-07 05:52:07.561347,0 days 00:00:00.093120,36,39,2.5922458312943695,3.30089322327356,5.5827769694848,2.1150145232771798,COMPLETE
1117,3.1277117468839757,2026-01-07 05:51:57.043608,2026-01-07 05:51:57.125601,0 days 00:00:00.081993,35,38,3.2042390615581002,2.375637194695707,5.908978885392883,2.2864264758669797,COMPLETE
1118,3.1277117468839757,2026-01-07 05:51:57.257140,2026-01-07 05:51:57.328615,0 days 00:00:00.071475,37,39,2.2089790814440198,2.575659863657474,5.952472222859575,2.3304947292692257,COMPLETE
457,3.1277117468839757,2026-01-07 05:49:27.116709,2026-01-07 05:49:27.189537,0 days 00:00:00.072828,30,39,2.7888781492522914,3.208054341377017,5.733348502214869,2.420239914711195,COMPLETE
235,3.1277117468839757,2026-01-07 05:48:39.445350,2026-01-07 05:48:39.533502,0 days 00:00:00.088152,11,38,2.949207287054281,3.4300742435213283,5.859028866115,1.5643086603363692,COMPLETE
1093,3.1277117468839757,2026-01-07 05:51:51.816759,2026-01-07 05:51:51.889318,0 days 00:00:00.072559,31,39,3.3098863027654084,3.1226687583466486,5.7763454945798935,2.934102864904885,COMPLETE
145,3.1277117468839757,2026-01-07 05:48:20.515132,2026-01-07 05:48:20.587329,0 days 00:00:00.072197,39,39,2.9071679822487884,3.4639343468878434,4.768819079641555,2.464958275260417,COMPLETE
148,3.1277117468839757,2026-01-07 05:48:21.082349,2026-01-07 05:48:21.143247,0 days 00:00:00.060898,27,39,2.453325605010115,3.4400013567489416,5.972555762230785,1.5358655313879197,COMPLETE
1636,3.1277117468839757,2026-01-07 05:53:57.806142,2026-01-07 05:53:57.911057,0 days 00:00:00.104915,13,38,3.6387032819304315,4.00269241985416,4.938258835026903,3.8087711617306503,COMPLETE
1983,3.1277117468839757,2026-01-07 05:55:27.223551,2026-01-07 05:55:27.322076,0 days 00:00:00.098525,43,39,2.372113743279587,2.929797193063559,5.031730192179385,1.9961120987557681,COMPLETE
150,3.1277117468839757,2026-01-07 05:48:21.467093,2026-01-07 05:48:21.543400,0 days 00:00:00.076307,35,39,3.458255478653689,3.4146415343972634,5.506548559108943,2.7610355818839145,COMPLETE
1734,3.1277117468839757,2026-01-07 05:54:21.357566,2026-01-07 05:54:21.439031,0 days 00:00:00.081465,49,39,2.108473634534555,2.0621480371712297,4.238807649137222,3.758252357768098,COMPLETE
370,3.1277117468839757,2026-01-07 05:49:08.541194,2026-01-07 05:49:08.635785,0 days 00:00:00.094591,22,39,2.412465066424119,3.123901824428179,5.890216861752798,1.5466458649313697,COMPLETE
268,3.1277117468839757,2026-01-07 05:48:46.343089,2026-01-07 05:48:46.411887,0 days 00:00:00.068798,37,39,3.2725579481643674,3.1695870192798923,5.918470627442321,3.3389777825272375,COMPLETE
292,3.1277117468839757,2026-01-07 05:48:51.590521,2026-01-07 05:48:51.654567,0 days 00:00:00.064046,48,38,2.8044262503154163,3.058205652013182,4.315241911561017,2.681733786253125,COMPLETE
412,3.1277117468839757,2026-01-07 05:49:17.585805,2026-01-07 05:49:17.673554,0 days 00:00:00.087749,42,38,3.473070402855442,3.9782847502399736,5.997154477591342,3.0124956022584133,COMPLETE
296,3.1277117468839757,2026-01-07 05:48:52.382292,2026-01-07 05:48:52.469392,0 days 00:00:00.087100,42,39,2.6914730446238897,3.4282386983409587,5.527598043798055,2.200496897678752,COMPLETE
189,3.1277117468839757,2026-01-07 05:48:29.940396,2026-01-07 05:48:30.020273,0 days 00:00:00.079877,13,38,2.483978374330296,3.137842419511253,5.785536177637195,2.102714687013764,COMPLETE
1173,3.1277117468839757,2026-01-07 05:52:09.616099,2026-01-07 05:52:09.725614,0 days 00:00:00.109515,46,38,3.524139586200234,3.0939234309040637,5.983721164644179,2.911879563678022,COMPLETE
414,3.1277117468839757,2026-01-07 05:49:18.014557,2026-01-07 05:49:18.092914,0 days 00:00:00.078357,18,38,3.0072710863404386,3.2173785837636433,5.0571890705777935,1.5967302287597367,COMPLETE
170,3.1277117468839757,2026-01-07 05:48:25.659230,2026-01-07 05:48:25.778021,0 days 00:00:00.118791,42,39,2.8677816666780105,3.021545551904359,5.407027584718376,2.68029056233711,COMPLETE
1752,3.1277117468839757,2026-01-07 05:54:26.218649,2026-01-07 05:54:26.307847,0 days 00:00:00.089198,25,39,2.5994799476404555,2.4271653863129075,5.2480953185554196,1.5076311316744486,COMPLETE
1954,3.1277117468839757,2026-01-07 05:55:19.570520,2026-01-07 05:55:19.657173,0 days 00:00:00.086653,41,39,2.8213797888758796,2.7883490492092204,5.764793528178156,2.42816910829726,COMPLETE
172,3.1277117468839757,2026-01-07 05:48:26.138852,2026-01-07 05:48:26.206030,0 days 00:00:00.067178,29,39,2.6539727151708723,3.5748249236289977,5.6688976401144275,1.765402764472544,COMPLETE
175,3.1277117468839757,2026-01-07 05:48:26.873644,2026-01-07 05:48:26.940879,0 days 00:00:00.067235,29,38,2.07521371406608,3.120381215384792,5.786875191067748,1.6211410631480796,COMPLETE
252,3.1277117468839757,2026-01-07 05:48:43.075290,2026-01-07 05:48:43.146668,0 days 00:00:00.071378,43,39,2.731375341434715,3.1482910173798744,5.65799701957645,2.9520926958181124,COMPLETE
1941,3.1277117468839757,2026-01-07 05:55:16.346938,2026-01-07 05:55:16.459169,0 days 00:00:00.112231,22,38,2.021455738045355,3.1898160222639405,5.897214967900575,1.938523286984071,COMPLETE
1943,3.1277117468839757,2026-01-07 05:55:16.831847,2026-01-07 05:55:16.921840,0 days 00:00:00.089993,18,39,2.1498458134372065,2.8122756661758816,5.007299466973255,1.5736924484080967,COMPLETE
378,3.1277117468839757,2026-01-07 05:49:10.277041,2026-01-07 05:49:10.346547,0 days 00:00:00.069506,38,39,2.465319648389158,3.081905693545999,5.5167641800728795,2.402242846065375,COMPLETE
