number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
0,-10.0,2026-01-01 15:12:55.739455,2026-01-01 15:13:01.821049,0 days 00:00:06.081594,23,9,65,1.1742508365045983,11,13.324426408004218,35,10,4.005575058716044,23,6.061695553391381,14.57873793026792,5.956508044572319,1.0823379771832098,COMPLETE
1,-10.0,2026-01-01 15:13:01.946712,2026-01-01 15:13:02.068018,0 days 00:00:00.121306,12,7,79,2.8355586841671383,10,6.996737821583597,26,4,2.4607232426760905,29,7.571172192068058,11.99246345950219,3.564532903055842,2.8242799368681437,COMPLETE
2,-10.0,2026-01-01 15:13:02.167494,2026-01-01 15:13:02.289181,0 days 00:00:00.121687,22,11,145,3.896896099223678,6,6.220382348447789,32,3,2.5230688458668533,21,7.475884550556351,7.162134912354418,1.683704798044687,3.7369321060486276,COMPLETE
