number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
496,2.7242670005403125,2026-01-04 16:55:02.355012,2026-01-04 16:55:04.258751,0 days 00:00:01.903739,28,9,45,2.322151994402362,18,7,12,3,3.427112579499378,32,5,8,4.958811176026489,2.972394749010375,COMPLETE
351,2.719678608560732,2026-01-04 16:51:11.188164,2026-01-04 16:51:12.931198,0 days 00:00:01.743034,20,9,42,2.046993462895197,15,10,12,3,2.239215621569524,32,5,8,4.420000101191719,2.8550553925510256,COMPLETE
409,2.715813468583737,2026-01-04 16:52:43.270087,2026-01-04 16:52:45.043035,0 days 00:00:01.772948,17,9,46,2.4105699817812476,18,9,12,3,2.3414405224105233,32,5,9,4.619005408856432,3.2435689856675407,COMPLETE
153,2.711963737470423,2026-01-04 16:45:57.664364,2026-01-04 16:45:59.804120,0 days 00:00:02.139756,30,9,39,2.2986615939741566,18,9,11,3,2.155382709124743,33,5,10,4.121606760922477,3.1870970633321853,COMPLETE
391,2.7085960162417195,2026-01-04 16:52:20.532261,2026-01-04 16:52:22.214151,0 days 00:00:01.681890,18,9,43,2.7434569524918437,14,8,11,3,2.2510800846728847,34,5,10,4.764138618018185,3.322250130292502,COMPLETE
468,2.7085960162417195,2026-01-04 16:54:18.716413,2026-01-04 16:54:20.449973,0 days 00:00:01.733560,28,9,43,2.3235155226516953,20,8,11,3,2.1447868102702556,34,5,7,4.855328035312293,3.012989730284317,COMPLETE
323,2.708002854387155,2026-01-04 16:50:24.627901,2026-01-04 16:50:26.562585,0 days 00:00:01.934684,20,9,42,2.447642895490119,16,10,12,3,2.264624573629075,34,5,8,4.607672621716191,2.6474474547447144,COMPLETE
141,2.7074236025894125,2026-01-04 16:45:37.851167,2026-01-04 16:45:39.577722,0 days 00:00:01.726555,29,9,38,2.2383858540044588,20,9,11,3,2.445300178901452,36,5,9,4.141712356630801,3.2820404673393435,COMPLETE
212,2.7063390583455984,2026-01-04 16:47:34.853976,2026-01-04 16:47:36.549415,0 days 00:00:01.695439,30,9,40,2.0961150354217293,18,9,12,3,2.161450085272293,34,5,9,3.935574542933897,3.122356902019909,COMPLETE
242,2.7053234323935853,2026-01-04 16:48:23.220475,2026-01-04 16:48:25.063182,0 days 00:00:01.842707,29,9,39,1.544255282345508,17,5,12,3,2.241832309950736,36,4,7,4.072502998104387,3.03786107555859,COMPLETE
437,2.704334523200116,2026-01-04 16:53:27.627409,2026-01-04 16:53:29.366162,0 days 00:00:01.738753,30,9,42,2.236655680850715,20,9,11,3,2.1427349600943244,36,5,8,4.617017142580903,3.0721813727200167,COMPLETE
174,2.703862221887082,2026-01-04 16:46:35.996119,2026-01-04 16:46:37.710030,0 days 00:00:01.713911,28,9,42,2.181890606483365,20,10,11,3,2.382319420609812,34,5,9,3.7281696005037452,3.1365203349336848,COMPLETE
247,2.7018321525806073,2026-01-04 16:48:31.402518,2026-01-04 16:48:33.084926,0 days 00:00:01.682408,26,9,38,2.5518274591310823,20,9,12,3,2.382333239100472,42,5,9,3.4388854427438855,3.3166578814805483,COMPLETE
126,2.701344572763512,2026-01-04 16:45:13.331376,2026-01-04 16:45:15.014699,0 days 00:00:01.683323,24,9,41,2.4181738935218298,16,10,11,3,2.3968346230793616,36,5,10,4.40567445070061,3.241169993947832,COMPLETE
320,2.698827038039626,2026-01-04 16:50:19.489831,2026-01-04 16:50:21.662563,0 days 00:00:02.172732,26,9,43,2.6534871694227253,17,9,11,3,3.0670379175032694,40,5,8,3.2197821915272753,3.2203781484174603,COMPLETE
462,2.6987076736213256,2026-01-04 16:54:07.551709,2026-01-04 16:54:09.332019,0 days 00:00:01.780310,26,10,41,2.590066072734385,19,10,12,3,3.7855601498393034,45,5,8,3.3695597820210783,3.4347633117554586,COMPLETE
354,2.6977548823146105,2026-01-04 16:51:16.756922,2026-01-04 16:51:18.462712,0 days 00:00:01.705790,27,9,46,2.6555898313133137,12,10,12,3,3.337321639560204,36,4,9,3.050568353989259,2.9106205760976254,COMPLETE
383,2.6973834252267346,2026-01-04 16:52:08.951492,2026-01-04 16:52:10.745217,0 days 00:00:01.793725,26,9,44,2.4522571553491654,16,8,11,3,3.1427588906656636,42,5,8,3.333726278205576,3.4780415243149574,COMPLETE
491,2.6966207896764938,2026-01-04 16:54:54.654604,2026-01-04 16:54:56.507627,0 days 00:00:01.853023,27,9,37,2.296165271869675,18,10,11,3,2.53873610852084,38,5,9,4.4150467532246065,3.240104339369067,COMPLETE
255,2.6966207896764938,2026-01-04 16:48:39.592832,2026-01-04 16:48:41.317441,0 days 00:00:01.724609,29,9,36,2.1349244716592977,16,8,11,3,3.3289782530650682,38,5,10,3.5266223148756253,3.3495258177630447,COMPLETE
