number,value,datetime_start,datetime_complete,duration,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
41,3.198731949643991,2026-01-05 04:03:03.474775,2026-01-05 04:03:03.625848,0 days 00:00:00.151073,70,2.008946714722781,3.793815917289498,5.00916210345391,1.9952822680486282,COMPLETE
43,3.198731949643991,2026-01-05 04:03:03.966466,2026-01-05 04:03:04.116134,0 days 00:00:00.149668,70,2.080931785594929,3.2347433349272308,5.142233740472016,1.600565662519567,COMPLETE
418,3.198731949643991,2026-01-05 04:04:59.379522,2026-01-05 04:04:59.548986,0 days 00:00:00.169464,70,3.1121978641586376,2.6038469864233504,4.5474809815578,1.8796529094087076,COMPLETE
427,3.198731949643991,2026-01-05 04:05:02.340407,2026-01-05 04:05:02.638665,0 days 00:00:00.298258,70,2.7054533912181156,2.0791693296908282,4.527371261047134,1.9479421449052365,COMPLETE
463,3.198731949643991,2026-01-05 04:05:14.298666,2026-01-05 04:05:14.637304,0 days 00:00:00.338638,70,2.1807633650940046,3.3422301108075603,4.847403866743019,1.582299753546203,COMPLETE
108,3.198731949643991,2026-01-05 04:03:21.326570,2026-01-05 04:03:21.473000,0 days 00:00:00.146430,70,2.3208298727115793,3.4281490680105997,4.580918396760196,2.2915046706084294,COMPLETE
414,3.198731949643991,2026-01-05 04:04:58.189104,2026-01-05 04:04:58.345610,0 days 00:00:00.156506,70,3.4071987969994075,2.3487341105220483,5.123972109936435,1.630641060083713,COMPLETE
183,3.198731949643991,2026-01-05 04:03:40.810668,2026-01-05 04:03:40.973292,0 days 00:00:00.162624,70,3.633098971863967,2.605274476618345,4.274010256424219,1.5264663783104846,COMPLETE
216,3.198731949643991,2026-01-05 04:03:50.826631,2026-01-05 04:03:51.003876,0 days 00:00:00.177245,70,3.0648228908958712,2.8807276286653645,3.412466202466357,3.3207743823911633,COMPLETE
486,3.198731949643991,2026-01-05 04:05:22.459755,2026-01-05 04:05:22.617852,0 days 00:00:00.158097,70,3.4522148991273527,3.060574690841756,5.071194653464075,1.6915317114846642,COMPLETE
298,3.198731949643991,2026-01-05 04:04:16.355314,2026-01-05 04:04:16.544935,0 days 00:00:00.189621,70,2.5077196233673527,2.109344723647563,5.032856189033437,2.905529490925628,COMPLETE
317,3.198731949643991,2026-01-05 04:04:22.592216,2026-01-05 04:04:22.739468,0 days 00:00:00.147252,70,2.3675054242475646,2.2520906085634373,5.328429429712946,2.916113830894543,COMPLETE
330,3.198731949643991,2026-01-05 04:04:27.679006,2026-01-05 04:04:27.894103,0 days 00:00:00.215097,70,3.470310741920156,2.702595307616808,3.867707438819096,1.895595815940718,COMPLETE
132,3.198731949643991,2026-01-05 04:03:27.514183,2026-01-05 04:03:27.658708,0 days 00:00:00.144525,70,3.504679382874709,2.5365438160542393,4.1063273931058175,2.2065268262337674,COMPLETE
349,3.198731949643991,2026-01-05 04:04:33.978613,2026-01-05 04:04:34.255532,0 days 00:00:00.276919,70,3.9120390423299978,2.610387988233513,4.051415692589473,2.3216844329068103,COMPLETE
391,3.185681636086425,2026-01-05 04:04:50.268430,2026-01-05 04:04:50.432889,0 days 00:00:00.164459,69,2.1785009835032656,3.0758103293332915,5.267199042653809,1.5390620305261995,COMPLETE
94,3.185681636086425,2026-01-05 04:03:17.507316,2026-01-05 04:03:17.649867,0 days 00:00:00.142551,69,2.045897687521821,2.8767196307146103,5.188522474595876,1.6484919198591634,COMPLETE
125,3.185681636086425,2026-01-05 04:03:25.759565,2026-01-05 04:03:25.907556,0 days 00:00:00.147991,69,3.3393066477108517,2.6987576960162944,4.458041700744422,1.7972954309427096,COMPLETE
118,3.185681636086425,2026-01-05 04:03:23.921176,2026-01-05 04:03:24.079939,0 days 00:00:00.158763,69,3.336395087609504,2.6463837922227778,4.50582529211643,1.5441823028663109,COMPLETE
488,3.185681636086425,2026-01-05 04:05:23.194194,2026-01-05 04:05:23.344130,0 days 00:00:00.149936,69,2.193163751391013,3.6383032540943616,4.812112416709554,1.7827431596782952,COMPLETE
346,3.185681636086425,2026-01-05 04:04:33.129384,2026-01-05 04:04:33.298036,0 days 00:00:00.168652,69,3.5824356774314654,2.5530992239523327,4.683277635952688,2.2142402921203415,COMPLETE
165,3.185681636086425,2026-01-05 04:03:36.166207,2026-01-05 04:03:36.315556,0 days 00:00:00.149349,69,2.0340766731566746,3.0489181668894223,3.14295231926627,3.353489352696342,COMPLETE
261,3.185681636086425,2026-01-05 04:04:03.527221,2026-01-05 04:04:03.710515,0 days 00:00:00.183294,69,3.541398132156214,2.6117464838178472,5.627237463552676,2.1674932940764515,COMPLETE
316,3.1701593410433144,2026-01-05 04:04:22.116658,2026-01-05 04:04:22.471536,0 days 00:00:00.354878,61,2.4938788684542574,2.341025496500713,4.8621411980144815,2.9481257021175056,COMPLETE
280,3.1701593410433144,2026-01-05 04:04:10.642739,2026-01-05 04:04:10.793291,0 days 00:00:00.150552,61,2.1350602950430217,4.390478904197141,4.3846301155948835,2.5025057579624006,COMPLETE
293,3.1701593410433144,2026-01-05 04:04:14.670139,2026-01-05 04:04:14.821603,0 days 00:00:00.151464,61,2.6241024623965323,2.3749600563946323,4.782030216426999,2.8900087158881966,COMPLETE
95,3.1701593410433144,2026-01-05 04:03:17.768751,2026-01-05 04:03:17.911799,0 days 00:00:00.143048,61,2.1133699013613607,3.290586523836391,5.362987510410097,2.307834392242823,COMPLETE
67,3.1701593410433144,2026-01-05 04:03:10.145090,2026-01-05 04:03:10.288712,0 days 00:00:00.143622,61,3.2949555359221026,2.1769609590956227,4.2583083978621135,3.4543555606997685,COMPLETE
413,3.1701593410433144,2026-01-05 04:04:57.879906,2026-01-05 04:04:58.088187,0 days 00:00:00.208281,61,2.153196504939144,4.257887711937868,5.02768859666522,2.3276983595766354,COMPLETE
109,3.1701593410433144,2026-01-05 04:03:21.576021,2026-01-05 04:03:21.726943,0 days 00:00:00.150922,61,2.03635559613622,4.334405559058214,5.004015624888215,2.1534914472263242,COMPLETE
367,3.1701593410433144,2026-01-05 04:04:40.798346,2026-01-05 04:04:41.034555,0 days 00:00:00.236209,61,3.737663997829203,2.807972243181042,5.178196301843828,2.4771190129833074,COMPLETE
451,3.1701593410433144,2026-01-05 04:05:10.420979,2026-01-05 04:05:10.602025,0 days 00:00:00.181046,61,2.2848381609649326,4.374030029660586,4.155653677558583,2.570937907242033,COMPLETE
479,3.1701593410433144,2026-01-05 04:05:19.922699,2026-01-05 04:05:20.077384,0 days 00:00:00.154685,61,3.7067303974554973,2.9016575742398065,4.548829596722493,2.215667775882387,COMPLETE
292,3.1701593410433144,2026-01-05 04:04:14.401150,2026-01-05 04:04:14.551776,0 days 00:00:00.150626,61,2.6907418773484983,2.1440303864882706,4.77970165743388,2.8644528020363995,COMPLETE
350,3.1701593410433144,2026-01-05 04:04:34.369234,2026-01-05 04:04:34.524760,0 days 00:00:00.155526,61,3.774495930469426,2.859035242593076,4.488388874479061,2.5222010161270774,COMPLETE
177,3.1701593410433144,2026-01-05 04:03:39.227440,2026-01-05 04:03:39.374670,0 days 00:00:00.147230,61,2.7383252122421466,2.862507906479267,3.962714255903655,2.971052939097564,COMPLETE
412,3.158791592463946,2026-01-05 04:04:57.535782,2026-01-05 04:04:57.696901,0 days 00:00:00.161119,71,2.2119078985738065,3.0037586314935774,5.62751677690626,1.5069835393009883,COMPLETE
426,3.158791592463946,2026-01-05 04:05:02.043998,2026-01-05 04:05:02.209865,0 days 00:00:00.165867,71,3.2318659888698065,2.2708070059062977,4.203910575339616,2.1383955723209365,COMPLETE
128,3.158791592463946,2026-01-05 04:03:26.511603,2026-01-05 04:03:26.662130,0 days 00:00:00.150527,71,3.4768470946284693,2.6814231026147826,4.156947325160174,1.7445280825045237,COMPLETE
482,3.158791592463946,2026-01-05 04:05:21.001518,2026-01-05 04:05:21.227149,0 days 00:00:00.225631,71,2.458167808084734,3.2334816897913776,4.715996651213309,1.8468406546770866,COMPLETE
302,3.158791592463946,2026-01-05 04:04:17.730035,2026-01-05 04:04:17.882281,0 days 00:00:00.152246,71,2.6750339065135056,2.3620428002758054,5.745891892759789,2.6195466713450486,COMPLETE
300,3.158791592463946,2026-01-05 04:04:17.041535,2026-01-05 04:04:17.200839,0 days 00:00:00.159304,71,2.248235033804019,2.324396577185264,5.946627384889506,2.870561466482259,COMPLETE
195,3.158791592463946,2026-01-05 04:03:43.880657,2026-01-05 04:03:44.026989,0 days 00:00:00.146332,71,2.1027949421215983,3.998626528376407,5.53267846008255,1.702852359439495,COMPLETE
226,3.158791592463946,2026-01-05 04:03:53.574643,2026-01-05 04:03:53.722919,0 days 00:00:00.148276,71,3.9800839087306468,2.954855665631999,4.1918367651811455,1.509217044534945,COMPLETE
387,3.158791592463946,2026-01-05 04:04:49.067345,2026-01-05 04:04:49.222962,0 days 00:00:00.155617,71,2.319458730155175,2.953157855791683,4.7418865365169225,1.5047441658567733,COMPLETE
151,3.145361503741617,2026-01-05 04:03:32.556633,2026-01-05 04:03:32.721270,0 days 00:00:00.164637,62,2.4239675012510293,3.2229343828758243,3.3292817270896395,2.942190092123236,COMPLETE
148,3.145361503741617,2026-01-05 04:03:31.760727,2026-01-05 04:03:31.904113,0 days 00:00:00.143386,62,2.9146707981784767,3.010246401401915,3.510417221078699,3.492704958997728,COMPLETE
343,3.145361503741617,2026-01-05 04:04:32.104293,2026-01-05 04:04:32.250676,0 days 00:00:00.146383,62,2.115171212163879,3.946928341602666,3.730247176954536,2.7950102619225414,COMPLETE
