number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_median_length,params_min_period,params_sigmoid_margin,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,params_trim_percent,state
1119,3.3001585604916355,2026-01-06 21:46:29.556954,2026-01-06 21:46:29.737042,0 days 00:00:00.180088,21,6,38,3.0765204057878437,13,7,13,14,3,0.16474225227792502,4.427167284881758,37,5,4,3.9151794114572134,2.0878878243516907,0.10146926278629938,COMPLETE
887,3.275037596702774,2026-01-06 21:45:13.473878,2026-01-06 21:45:13.622498,0 days 00:00:00.148620,26,6,39,3.0961467252073955,11,6,14,19,3,0.25215832757652323,4.195721176205524,33,4,5,3.323565765434765,2.813373480616523,0.1178165585332681,COMPLETE
1854,3.275037596702774,2026-01-06 21:50:51.024024,2026-01-06 21:50:51.218960,0 days 00:00:00.194936,22,7,39,3.07718398651985,10,7,16,19,3,0.22280176920464892,3.7093679173154808,32,3,7,4.203550567114674,2.38507210586105,0.04013310376430988,COMPLETE
1270,3.275037596702774,2026-01-06 21:47:22.572183,2026-01-06 21:47:22.754653,0 days 00:00:00.182470,37,6,38,2.7874103844751628,6,8,15,16,3,0.2694491270052767,3.4257876117148505,38,4,5,3.208065899908246,2.7511678762854115,0.18791358693590476,COMPLETE
1471,3.275037596702774,2026-01-06 21:48:33.179853,2026-01-06 21:48:33.372686,0 days 00:00:00.192833,39,6,39,2.582743427710995,14,5,13,18,4,0.23789267196393307,3.5786792338624993,36,2,4,3.114837624077804,3.1701703457613153,0.09202168596933898,COMPLETE
1237,3.2443099454587716,2026-01-06 21:47:11.331611,2026-01-06 21:47:11.519578,0 days 00:00:00.187967,39,11,38,2.701985402568407,15,5,18,19,3,0.19921608015470618,4.275329040608333,29,4,4,4.167968706753219,2.758333810827263,0.18708773924888747,COMPLETE
1671,3.236492537866395,2026-01-06 21:49:46.856617,2026-01-06 21:49:47.042163,0 days 00:00:00.185546,37,6,32,2.7582552313279747,13,6,11,18,4,0.23297130766247887,4.127266785256634,37,1,7,3.119646322593379,3.533848710557873,0.10340124518643432,COMPLETE
1404,3.2354585774739686,2026-01-06 21:48:10.240409,2026-01-06 21:48:10.408194,0 days 00:00:00.167785,27,14,40,2.0538162068448003,10,5,15,10,2,0.16738977146906212,3.812891705104363,40,3,3,3.1537692691630257,2.024248294046571,0.26933806738652016,COMPLETE
1426,3.2354585774739686,2026-01-06 21:48:17.548317,2026-01-06 21:48:17.752099,0 days 00:00:00.203782,24,14,40,2.0202456986207626,11,6,15,11,2,0.07688698670405193,3.3272367137535994,41,4,3,3.2340435758833017,1.9613225124420715,0.22891320400785783,COMPLETE
718,3.2327438505898347,2026-01-06 21:44:21.364870,2026-01-06 21:44:21.507007,0 days 00:00:00.142137,28,7,39,2.679279453315738,14,6,13,18,4,0.2736880636793151,3.372955719327322,37,2,5,3.226414925480235,3.256825740093172,0.1182797394956818,COMPLETE
1741,3.2327438505898347,2026-01-06 21:50:13.332713,2026-01-06 21:50:13.525914,0 days 00:00:00.193201,16,7,38,3.5634965704019734,13,12,14,15,4,0.27888671675991933,4.406436724573316,33,5,4,3.827897850474993,1.7509797318825613,0.19021540010989482,COMPLETE
906,3.2223196421658433,2026-01-06 21:45:20.130292,2026-01-06 21:45:20.283882,0 days 00:00:00.153590,15,6,30,3.6916787223966905,20,7,13,19,3,0.24752038533914128,4.475036873877955,38,3,3,3.014961018303509,2.563907545363566,0.11869910180381146,COMPLETE
1294,3.2223196421658433,2026-01-06 21:47:31.904716,2026-01-06 21:47:32.066807,0 days 00:00:00.162091,22,6,30,3.7150068050321923,20,7,13,17,3,0.2139742988266573,4.187751690601778,38,3,5,3.069642662852519,2.0095160511191033,0.20350037028590334,COMPLETE
1439,3.2060063440607554,2026-01-06 21:48:22.146256,2026-01-06 21:48:22.314155,0 days 00:00:00.167899,28,12,39,2.215501298292677,8,9,14,10,4,0.09654142780166994,4.020330011798199,33,4,2,3.18729387071458,2.167578794882052,0.27200364312429126,COMPLETE
941,3.1974095635916178,2026-01-06 21:45:31.046007,2026-01-06 21:45:31.199101,0 days 00:00:00.153094,33,8,32,2.2690253655967814,13,5,15,20,3,0.26640382129262613,4.4538555669107325,30,3,6,3.890027808628414,2.7210699904796276,0.19773443358167828,COMPLETE
933,3.1974095635916178,2026-01-06 21:45:28.615497,2026-01-06 21:45:28.770235,0 days 00:00:00.154738,23,7,34,3.4668691633731283,14,14,14,16,3,0.20769429350313767,4.361593673007935,37,1,6,3.6085767438648095,3.4988958587954495,0.2917909671541433,COMPLETE
911,3.1974095635916178,2026-01-06 21:45:22.123673,2026-01-06 21:45:22.270911,0 days 00:00:00.147238,16,8,32,3.502389331842252,20,6,15,18,3,0.17785758460097645,4.03035629703794,31,1,3,3.1447153206532446,2.4825133837111752,0.20318558887480087,COMPLETE
1954,3.1974095635916178,2026-01-06 21:51:24.691282,2026-01-06 21:51:24.898325,0 days 00:00:00.207043,22,8,33,3.6967238668758684,20,6,15,16,3,0.27975054877881506,4.142295708822738,34,3,5,3.1021840950613093,1.9985727944606064,0.15037966012264975,COMPLETE
973,3.1974095635916178,2026-01-06 21:45:41.501947,2026-01-06 21:45:41.650716,0 days 00:00:00.148769,15,6,31,3.0175670781480335,17,9,14,18,4,0.20229018167578583,4.37665591138625,35,3,5,3.356105099164439,3.473098257449809,0.28339929464842095,COMPLETE
825,3.1974095635916178,2026-01-06 21:44:55.627557,2026-01-06 21:44:55.778890,0 days 00:00:00.151333,21,6,36,3.3655100704767857,15,9,14,20,3,0.24187715470071178,4.476011673013441,33,5,3,4.4362664091824895,2.780084696019169,0.2562979249554006,COMPLETE
861,3.1974095635916178,2026-01-06 21:45:05.904321,2026-01-06 21:45:06.052698,0 days 00:00:00.148377,33,7,34,2.471542631383602,11,6,16,19,3,0.2237802181165403,4.26649887444483,34,3,6,3.1948515579922594,2.5946476848260547,0.16416865159984206,COMPLETE
895,3.1974095635916178,2026-01-06 21:45:16.108722,2026-01-06 21:45:16.314131,0 days 00:00:00.205409,40,7,30,2.9148850184179755,7,5,16,19,3,0.24174481157323507,2.7446503856410054,34,3,5,3.068223766035573,2.8389063705395565,0.15276790543937957,COMPLETE
683,3.1974095635916178,2026-01-06 21:44:10.289957,2026-01-06 21:44:10.494254,0 days 00:00:00.204297,13,6,33,3.5019630269591318,16,12,14,16,4,0.23602387612109488,4.1893201703004435,35,5,5,3.356861383702137,2.1431639313795077,0.20064301382309188,COMPLETE
1216,3.1974095635916178,2026-01-06 21:47:04.388969,2026-01-06 21:47:04.583776,0 days 00:00:00.194807,36,6,33,3.0507078022556935,14,7,15,17,3,0.21978663256292877,4.267474263118538,35,2,7,3.1289480408472516,2.7113377752491794,0.16156792132597647,COMPLETE
471,3.1974095635916178,2026-01-06 21:43:07.503524,2026-01-06 21:43:07.664754,0 days 00:00:00.161230,24,6,34,3.4371889051322344,15,11,13,13,4,0.28645729589182384,4.460833384636871,35,2,6,3.1712076246378524,3.377727621952859,0.2856146137518534,COMPLETE
1379,3.1974095635916178,2026-01-06 21:48:01.740298,2026-01-06 21:48:01.906882,0 days 00:00:00.166584,33,6,37,2.3113973160333052,7,6,14,20,3,0.2287846057440368,4.310709265257352,36,4,3,3.252268979405128,3.545721641836355,0.18975514830961573,COMPLETE
544,3.1974095635916178,2026-01-06 21:43:29.283429,2026-01-06 21:43:29.422735,0 days 00:00:00.139306,25,6,37,3.1407047966505717,13,7,14,20,3,0.28618836738614795,4.4919508550090335,35,4,2,4.1442021692729,2.963691841864116,0.2834421824967204,COMPLETE
1335,3.1974095635916178,2026-01-06 21:47:45.862990,2026-01-06 21:47:46.031644,0 days 00:00:00.168654,20,6,34,3.5188651572943854,19,7,12,15,4,0.27550597196740517,3.886616214932922,38,3,6,3.6293085484382903,1.8965685226476572,0.22007667886472496,COMPLETE
1409,3.1974095635916178,2026-01-06 21:48:11.847179,2026-01-06 21:48:12.018635,0 days 00:00:00.171456,26,6,36,3.4002097408835987,5,10,14,15,3,0.23635612970714115,3.360454911550272,35,4,6,3.6965139783981376,2.270831191016271,0.2099042170624217,COMPLETE
472,3.1974095635916178,2026-01-06 21:43:07.853131,2026-01-06 21:43:08.004549,0 days 00:00:00.151418,21,6,34,3.257255832066206,12,13,16,13,3,0.29160632752981613,4.289177896141345,34,1,4,3.6187094085774936,3.9119224663727694,0.27258702742386565,COMPLETE
785,3.1974095635916178,2026-01-06 21:44:42.990558,2026-01-06 21:44:43.137743,0 days 00:00:00.147185,35,6,33,2.735154865118205,10,5,14,20,4,0.24703373214520497,3.785572655153686,36,3,5,3.02774487243064,2.8775202762616843,0.17131374186220205,COMPLETE
803,3.1974095635916178,2026-01-06 21:44:49.013550,2026-01-06 21:44:49.166815,0 days 00:00:00.153265,33,6,31,2.8151930694072513,8,5,14,19,3,0.2479629706060629,3.8674160869185195,36,4,5,3.023972610026103,2.638419594385826,0.1820782829125881,COMPLETE
655,3.1974095635916178,2026-01-06 21:44:01.722236,2026-01-06 21:44:01.866988,0 days 00:00:00.144752,15,6,35,3.368361396361284,14,7,13,16,4,0.23443309653187566,4.395265913349328,37,4,4,3.103001990590266,1.8455337477615978,0.15742336172860172,COMPLETE
652,3.1974095635916178,2026-01-06 21:44:00.824286,2026-01-06 21:44:00.974381,0 days 00:00:00.150095,17,6,31,3.5185454037337918,17,8,15,16,3,0.28377778504362794,4.3541604666114875,37,4,3,3.0934215189620606,2.1645492232678047,0.1669011707545271,COMPLETE
693,3.1974095635916178,2026-01-06 21:44:13.867203,2026-01-06 21:44:14.076316,0 days 00:00:00.209113,16,7,33,3.2455252704179314,19,9,15,11,3,0.2781068367175715,4.37666309090842,35,3,2,3.444621114155928,1.606742158898764,0.1873925157040504,COMPLETE
1082,3.1974095635916178,2026-01-06 21:46:17.289425,2026-01-06 21:46:17.439528,0 days 00:00:00.150103,29,6,37,2.222443926438373,20,7,13,15,4,0.2405633317634706,2.7868408555531023,37,2,7,4.111028885343764,3.4162139940932392,0.10459373886978622,COMPLETE
1058,3.1974095635916178,2026-01-06 21:46:09.749105,2026-01-06 21:46:09.905459,0 days 00:00:00.156354,17,6,36,3.4550797107535365,17,13,14,18,4,0.2436959885267318,4.106583981758746,32,5,3,3.556020210174505,2.3002163126476343,0.22056973068272476,COMPLETE
853,3.1974095635916178,2026-01-06 21:45:03.555374,2026-01-06 21:45:03.706692,0 days 00:00:00.151318,37,7,35,2.439555301569489,7,5,14,13,3,0.1660393789841929,4.055520047812146,37,3,3,3.129262025031001,2.8976836114959825,0.15582732202777513,COMPLETE
464,3.1974095635916178,2026-01-06 21:43:05.438471,2026-01-06 21:43:05.655939,0 days 00:00:00.217468,18,6,34,3.359210587262444,15,13,14,15,3,0.1929155884177996,4.3766049238755755,36,1,7,3.7255868043308853,3.7136277528369943,0.29869240715177914,COMPLETE
1332,3.1974095635916178,2026-01-06 21:47:44.783699,2026-01-06 21:47:44.963205,0 days 00:00:00.179506,37,6,30,2.136598585965001,7,7,14,16,4,0.14599274926457195,3.8804848398706504,36,4,2,3.348757226653966,3.3812854830462387,0.06040238357019463,COMPLETE
1565,3.1974095635916178,2026-01-06 21:49:07.328594,2026-01-06 21:49:07.513053,0 days 00:00:00.184459,32,6,33,2.378772531253262,11,6,13,17,4,0.25787136244758363,2.974238899698333,38,2,4,3.071631668822247,3.404887779715582,0.0864969229485709,COMPLETE
1592,3.1974095635916178,2026-01-06 21:49:16.855740,2026-01-06 21:49:17.073796,0 days 00:00:00.218056,25,6,36,2.9967065430405686,14,10,15,14,3,0.28223681398995354,4.071060088074211,36,1,4,5.109537273216015,3.9879025547997378,0.1890052354592222,COMPLETE
486,3.1974095635916178,2026-01-06 21:43:11.642117,2026-01-06 21:43:11.779397,0 days 00:00:00.137280,11,6,37,2.9865657994049872,17,14,14,16,3,0.2887807334711692,4.325815736350475,39,1,3,3.03955268905917,3.9160723081061493,0.26594165579405754,COMPLETE
1157,3.1943056169301958,2026-01-06 21:46:43.637568,2026-01-06 21:46:43.809108,0 days 00:00:00.171540,20,9,39,2.998252141813823,18,6,14,20,3,0.2513584954373716,4.166223625860557,33,4,5,3.9061400331147658,2.8204329957955574,0.29164061820658543,COMPLETE
1385,3.1850553401787525,2026-01-06 21:48:03.669337,2026-01-06 21:48:03.893394,0 days 00:00:00.224057,39,6,32,3.1234766530694085,9,6,14,20,3,0.21981328824082533,3.7805908108881328,43,3,4,3.0494954086147232,2.618009460993258,0.2043659009713522,COMPLETE
971,3.1816424210588994,2026-01-06 21:45:40.831755,2026-01-06 21:45:41.099382,0 days 00:00:00.267627,29,6,39,2.9144731358447933,12,10,15,20,4,0.2562110932718154,3.586242803677201,37,4,10,3.7787712054162625,2.4541839308565043,0.12018191147817514,COMPLETE
460,3.1816424210588994,2026-01-06 21:43:04.106563,2026-01-06 21:43:04.324886,0 days 00:00:00.218323,21,6,39,3.3858245707883534,17,10,13,16,4,0.20489135836607014,4.101404227648048,40,2,4,3.5008481453755054,3.104269161377574,0.298979354756371,COMPLETE
582,3.1816424210588994,2026-01-06 21:43:40.053405,2026-01-06 21:43:40.207439,0 days 00:00:00.154034,22,6,41,3.0108931144338,19,7,16,17,3,0.2524718363142341,3.789917571524504,36,2,4,3.202267709728584,3.3101447838236364,0.16780471902045002,COMPLETE
1019,3.1816424210588994,2026-01-06 21:45:57.445112,2026-01-06 21:45:57.680239,0 days 00:00:00.235127,17,7,41,3.7371494488150754,18,7,15,16,3,0.2915416944671883,4.3736322837207515,40,2,3,3.1073626957531464,2.6598466324877363,0.19102498328467982,COMPLETE
