signal_idx,side,signal_price,slow_window,fast_window,shift,smooth_len,fill_idx,fill_price,commission_entry,qty,exit_idx,exit_price,commission_exit,reason
111,LONG,1.28,75,38,2,30,111,1.28,5.999999999999999,7812.5,112,1.3475000000000001,6.316406250000001,SL_breach(HA_low < trail_stop_level)
238,LONG,1.9824999999999997,75,38,2,30,238,1.9824999999999997,6.030901640625,5070.114872320304,238,1.9824999999999997,6.030901640625,SL_breach(HA_low < trail_stop_level)
