signal_idx,side,signal_price,fill_idx,fill_price,commission_entry,qty,exit_idx,exit_price,commission_exit,reason
94,LONG,61.95375,94,61.95375,5.999999999999999,161.410729778262,117,71.06125,6.882028932873312,SL_breach(HA_low < trail_stop_level)
118,LONG,72.81875000000001,118,72.81875000000001,6.087429971551359,139.32835456873764,128,72.0925,6.02671764104803,SL_breach(HA_low < trail_stop_level)
237,LONG,66.0175,237,66.0175,6.08063188964427,153.51060677457417,238,59.11749999999999,5.445097977597532,SL_breach(HA_low < trail_stop_level)
