ticker,adapt_RSI_20260120_231930,adapt_RSI_20260126_140217,adapt_RSI_20260126_141318,adapt_RSI_20260126_143129,adapt_RSI_20260126_150435,adapt_RSI_20260127_204646,adapt_RSI_20260127_212111,adapt_RSI_20260127_213730,adapt_RSI_20260127_215341,adapt_RSI_20260128_153040,adapt_half_RSI_20260120_235614,adapt_half_RSI_20260126_104205,half_RSI_20260121_000047,half_RSI_v0.2_20260125_184151,vidya_RSI_20260121_001237
AER,0.3686413881341972,0.0437031644693162,0.0590940369389449,0.0510462610946276,-0.0009709070931298,0.1359215070739006,0.0249757697951393,0.0445351043733783,0.1120839882720128,0.0372695445278616,0.3149516578540505,0.1796205576088243,0.2086954755304717,0.1630227084221189,0.2109206406574351
AIQ,-0.0263132752683252,-0.0889230972940653,-0.0729092659543079,-0.0594688094813505,-0.0954968944760593,-0.0878360938846024,-0.0528034782584341,-0.0084851628945076,0.0134057576967017,-0.0191384305226554,0.1643254028367808,0.2959785085878292,0.3786407570566916,0.4240543124065938,0.1556642040306732
ALNY,0.3807929556072853,0.0088796410441047,-0.1090404717070323,-0.1038433794677097,-0.002084730421336,-0.1333205223530178,-0.2860866747685195,0.026856274396664,-0.0109998789209146,-0.0567239056831176,0.5294045126093421,0.2575299944464391,-0.1757965273407926,-0.1646644246645071,-0.0542720484689105
AMAT,0.5774011634398142,-0.0623540919784005,-0.0635229075313572,-0.0635229075313572,-0.0486239388938521,-0.0324678429421126,-0.0269023324588105,-0.0034848791769406,0.0277380568492553,0.128989469585171,0.6788351635683858,0.8652483909007376,0.815725989037752,1.006750867257261,0.4030394008382918
AMG,0.3751933611720099,-0.0075490104532982,-0.0075490104532982,-0.0075490104532982,-0.0075490104532982,0.0455517469720965,0.0860569763221057,0.1161771547544585,0.1171795025452593,0.1161592938978477,0.9100193834877576,0.9200284919554538,0.0264559332245095,0.4140088854927781,0.4138305264183879
AMX,-0.0193546672330459,0.0695594663002956,0.0,0.0,0.0,0.0804428703226027,0.1277157611100283,0.0562357965928599,0.0233970267370273,0.0433825334990316,-0.03595126973919,0.2741794118910845,0.2748875897664051,0.2253159984223103,0.1313478263278826
ANDE,0.0213426638240006,-0.0885704727891356,0.0795089519271721,0.1509274835289604,0.0576770007036617,0.0679702541375859,0.1503500505332644,0.2379722095505188,0.0310882267256127,0.1804799169703463,0.4477954887811677,0.3635831973626933,0.3259556992774473,0.2129015260201274,0.2415217470086825
APH,0.0013918831703587,0.1189759147055353,0.1625186604812889,0.1841514299729758,0.1520436542761443,0.0640798406394593,0.2274885944887368,0.1210630821096625,0.1746714057852536,0.1369504014808036,0.7696099117028117,0.4530454064493614,0.922780627895668,0.2940497852618196,0.2742080530497244
ARGX,0.1289096662623532,0.1847085849329328,0.0794808034319916,0.0718449920591031,0.0794808034319916,0.0519499085837089,0.0561372669620139,0.0074823642975772,-0.0019025768708106,0.0074823642975772,0.0465995095961713,0.2287201409755161,0.3271263971135936,0.0778833276863377,0.0019146855210423
ARKF,0.0730792268709519,-0.1546883967845732,-0.1546883967845732,-0.1546883967845732,-0.1670216535197607,-0.152334262166474,-0.0728041126468328,-0.1145098804134164,0.0,-0.1226369567710337,0.3488890050229112,0.3009471892929523,-0.1813049295079352,0.1537935256697951,0.1626142113958597
ARKK,0.2413885819296299,-0.0386778454588235,-0.0501586664103959,-0.0501586664103959,-0.0155070250299182,-0.0071367814588236,0.0339657582821766,-0.0175893976306961,-0.0581737189100156,-0.0184423961690965,-0.0353020237499209,0.3205122339632751,-0.0220124367771767,0.5037790059887541,0.0847594478071802
ARKW,0.1459371747985312,-0.1725875523346214,-0.1453281581011141,-0.1453281581011141,-0.1642006521366062,-0.1682554875595788,-0.1281079081221656,0.0,0.0,0.0,0.0005740856295528,0.3467259714616202,0.4907923078345653,0.5413497618106533,0.2289563045045213
ASC,0.5682269715940815,0.1578907453601254,0.1241589963318479,0.1090941490395789,0.0146469094923413,0.2024347909224169,0.2668538353745888,0.0174991225879552,-0.0181186802580168,0.0126653975400312,0.0325946864408754,0.0477926093992286,-0.0601285510031716,-0.1082740162320055,0.0968704047443198
ASML,0.407668508907717,-0.0504993518268201,-0.0357300657744557,-0.001109628989279,-0.0588360431770308,-0.0241090254161727,0.0875747606353833,-0.0044818212511668,-0.0618739558164911,-0.0258837684875141,0.614054466733907,0.6890681335989364,0.505895213143237,0.3989974117794053,0.1405545749001198
ATI,0.5433777095262387,0.1518106038168065,0.0,0.0,0.0,0.0,0.2339265655391211,0.2547555726207087,0.1505524386260501,0.1560041909368561,0.510272363406429,1.4415413712190337,0.9375381935894224,1.259901757388318,0.1558290138364073
