run_id,avg_total_return,median_total_return,avg_pf_eff,median_pf_eff,avg_maxdd,eligible_rate,avg_trades,num_tickers
adapt_half_RSI_20260126_104205,0.3751791134558082,0.2557777071324341,,,-0.10266983952288253,,6.45578231292517,147
half_RSI_v0.2_20260125_184151,0.33239692345110927,0.2765405124576099,,,-0.10981011388636032,,7.795918367346939,147
half_RSI_20260121_000047,0.291226041415763,0.2086954755304717,,,-0.08172147514788553,,6.374149659863946,147
adapt_half_RSI_20260120_235614,0.2573690558001814,0.189449502010244,,,-0.09723825153952213,,6.428571428571429,147
vidya_20260121_meta,0.22377637481884738,0.1813928942616058,21.34199535563246,3.889734614927704,-0.0544379106661929,1.0,7.816326530612245,147
adapt_RSI_20260120_231930,0.20467459442544295,0.1798536842692308,,,-0.08909561725469206,0.9931972789115646,10.156462585034014,147
vidya_RSI_20260121_001237,0.1564840198464188,0.1556642040306732,46.2701733424127,2.9005628451597,-0.07323248126864594,1.0,6.489795918367347,147
adapt_RSI_20260127_213730,0.06432892021655919,0.0283564759409393,,,-0.031043305715363557,0.7687074829931972,2.3945578231292517,147
adapt_RSI_20260127_215341,0.06394393548888877,0.0292109400270887,,,-0.0242889025059908,0.6122448979591837,1.8775510204081634,147
adapt_RSI_20260128_153040,0.059492360032122486,0.0289536079299217,,,-0.03158577632473826,0.7414965986394558,2.360544217687075,147
adapt_RSI_20260127_212111,0.03530099988444591,0.0245179220366713,,,-0.04982764333754148,0.8163265306122449,2.5850340136054424,147
adapt_RSI_20260127_204646,0.03409448330378705,0.0176329215241741,,,-0.031838795026181456,0.6326530612244898,1.8979591836734695,147
adapt_RSI_20260126_150435,0.025806189972949832,0.0,,,-0.02861211727812662,0.5782312925170068,1.748299319727891,147
adapt_RSI_20260126_140217,0.02538401717196313,0.0,,,-0.044485943711328205,0.7074829931972789,2.061224489795918,147
adapt_RSI_20260126_141318,0.02143033432847133,0.0,,,-0.03651333176359543,0.6122448979591837,1.7891156462585034,147
adapt_RSI_20260126_143129,0.019751771118889847,0.0046906502349379,,,-0.036023469555996925,0.6190476190476191,1.870748299319728,147
vidya_RSI_next_open_20260125_210339,,,57.74075640541658,2.3333786422467124,-0.06481420587700959,,,147
